,0,1
0,Age Distribution (P 2014),
1,0-9 years,"459,704"
2,10-19 years,"452,518"
3,20-29 years,"440,897"
4,30-39 years,"239,890"
5,40-49 years,"138,893"
6,50-59 years,"82,205"
7,60-69 years,"41,595"
8,70-79 years,"16,681"
9,80+ years,"5,542"
