,0,1,2,3,4
0,Name,Status,Population Census 1996-12-31,Population Census 2014-03-01,
1,Conakry,Capital,"1,092,936","1,660,973",
2,Dixinn,Urban Sub-Prefecture,"152,236","135,788",
3,Kaloum,Urban Sub-Prefecture,"73,505","62,507",
4,Matam,Urban Sub-Prefecture,"158,207","143,255",
5,Matoto,Urban Sub-Prefecture,"392,758","666,640",
6,Ratoma,Urban Sub-Prefecture,"336,162","652,783",
7,Guinea,Republic,"7,156,406","10,523,261",
