,0,1,2,3,4,5,6,7,8
101,,Niapidou,BSA,...,...,...,"14,145",0,
102,,Niellé,SAV,...,"9,599","6,386","19,116",0,
103,,Odienné,DEN,"13,911","28,776","43,131","42,173",0,
104,,Ogoudou,GDJ,...,...,...,"14,779",0,
105,,Ouangolodougou,SAV,...,"10,692","18,015","37,991",0,
106,,Oumé,GDJ,"14,032","28,772","29,519","45,210",0,
107,,Oupoyo,BSA,...,...,...,"18,386",0,
108,,Para,BSA,...,...,...,"17,594",0,
109,,Pélézi,SMA,...,...,...,"14,100",0,
110,,Rubino,LAG,...,"9,692","11,717","14,025",0,
111,,Sahoua,BSA,...,...,...,"16,075",0,
112,,Saïoua,SMA,...,"23,076","15,869","26,892",0,
113,,Sakassou,VBA,...,"8,526","12,018","13,186",0,
114,,San-Pédro,BSA,"31,606","70,611","131,800","164,944",0,
115,,Sassandra,BSA,"8,401","13,263","16,167","26,608",0,
116,,Séguéla,WOR,"12,692","29,157","43,027","46,189",0,
117,,Sinfra,SMA,"17,569","35,340","49,297","80,658",0,
118,,Soubré,BSA,"7,016","32,817","58,136","101,196",0,
119,,Tabou,BSA,"6,520","9,815","22,498","22,733",0,
120,,Tafiré,VBA,...,"8,909","13,518","17,191",0,
121,,Tanda,ZAN,"6,835","11,501","16,151","27,659",0,
122,,Tengréla,SAV,"8,794","22,181","22,327","40,323",0,
123,,Tiassalé,LAG,"10,178","17,439","18,573","20,057",0,
124,,Tiébissou,LAC,"5,588","10,077","15,501","18,832",0,
125,,Tortiya,VBA,...,"20,090","23,080","15,998",0,
126,,Touba,WOR,"5,263","15,564","21,749","22,361",0,
127,,Touih,BSA,...,...,...,"15,958",0,
128,,Toumodi,LAC,"13,297","22,297","31,511","43,189",0,
129,,Vavoua,SMA,"6,957","17,756","26,224","67,096",0,
130,,Watté,BSA,...,...,...,"20,769",0,
131,,Yabayo,BSA,...,...,...,"20,086",0,
132,,Yamoussoukro,YAM,"37,253","106,786","155,803","212,670",0,
133,,Zagné,MON,...,...,...,"48,863",0,
134,,Zaliohouan,SMA,...,...,...,"20,867",0,
135,,Zou,MON,...,...,...,"19,448",0,
136,,Zouan-Hounien,MON,...,"6,189","13,391","22,872",0,
137,,Zuénoula,SMA,"9,286","19,445","23,972","34,018",0,
