,0,1,2,3,4
139,Elig-Mfomo,Arrondissement,...,"16,161",
140,Evodoula,Arrondissement,...,"18,899",
141,Lobo,Arrondissement,...,"10,157",
142,Monatélé,Arrondissement,...,"36,933",
143,Obala,Arrondissement,...,"78,929",
144,Okola,Arrondissement,...,"41,081",
145,Sa'a,Arrondissement,...,"53,219",
146,Logone-et-Chari,Department,"276,183","486,997",
147,Blangoua,Arrondissement,...,"50,398",
148,Darak,Arrondissement,...,"23,901",
149,Fotokol,Arrondissement,...,"36,893",
150,Goulfey,Arrondissement,...,"58,117",
151,Hile-Alifa,Arrondissement,...,"18,425",
152,Kousséri,Arrondissement,...,"101,246",
153,Logone-Birni,Arrondissement,...,"52,589",
154,Makary,Arrondissement,...,"104,843",
155,Waza,Arrondissement,...,"15,013",
156,Zina,Arrondissement,...,"25,572",
157,Lom-et-Djérem,Department,"156,642","275,784",
158,Bélabo,Arrondissement,...,"30,953",
159,Bertoua I,City Arrondissement,...,"52,355",
160,Bertoua II,City Arrondissement,...,"42,534",
161,Bétaré-Oya,Arrondissement,...,"41,173",
162,Diang,Arrondissement,...,"15,795",
163,Garoua-Boulaï,Arrondissement,...,"41,388",
164,Mandjou,Arrondissement,...,"17,097",
165,Ngoura,Arrondissement,...,"34,489",
166,Manyu,Department,"119,621","181,039",
167,Akwaya,Arrondissement,...,"85,914",
168,Eyumodjock,Arrondissement,...,"35,999",
169,Mamfé Central,Arrondissement,...,"31,641",
170,Upper Banyang,Arrondissement,...,"27,485",
171,Mayo-Banyo,Department,"92,315","187,066",
172,Bankim,Arrondissement,...,"70,132",
173,Banyo,Arrondissement,...,"93,880",
174,Mayo-Darlé,Arrondissement,...,"23,054",
175,Mayo-Danay,Department,"356,471","529,061",
176,Datcheka,Arrondissement,...,"31,545",
177,Gobo,Arrondissement,...,"53,119",
178,Guéré,Arrondissement,...,"38,328",
179,Kaï-Kaï,Arrondissement,...,"55,366",
180,Kalfou,Arrondissement,...,"26,203",
181,Kar-Hay,Arrondissement,...,"42,963",
182,Maga,Arrondissement,...,"85,100",
