,0,1,2,3
0,,Name,Adm.,Population Estimate (E) 2020-07-01
1,1,Port-Louis,PLO,"145,793"
2,2,Vacoas/Phoenix,PLA,"105,688"
3,3,Beau-Bassin/Rose-Hill,PLA,"103,452"
4,4,Curepipe,PLA,"78,256"
5,5,Quatre-Bornes,PLA,"77,084"
