,0,1
0,Language at Home (C 2011),
1,Bhojpuri,"65,284"
2,Chinese languages,"3,276"
3,Creole,"1,030,005"
4,English,"5,558"
5,French,"50,863"
6,Hindi,"8,685"
7,Other language,"32,712"
