,0,1
0,Age Distribution (C 2011),
1,0-9 years,"154,128"
2,10-19 years,"187,243"
3,20-29 years,"177,465"
4,30-39 years,"185,073"
5,40-49 years,"183,904"
6,50-59 years,"155,677"
7,60+ years,"152,300"
