Indicator (italics indicate national -level data),Unit ,Source,"Year of source consulted(* indicates year of creation of institution, if available)","Maputo, Mozambique","Ibadan, Nigeria","Kano, Nigeria","Johannesburg, South Africa","Cape Town, South Africa","Durban, South Africa","Al-Khartum (Khartoum), Sudan","Lusaka, Zambia ","Harare, Zimbabwe","Cotonou, Benin","Douala, Cameroon","Yaoundé, Cameroon","Abidjan, Cote d'Ivoire ","Addis Ababa, Ethiopia","Accra, Ghana","Kumasi, Ghana","Conakry, Guinea","Nairobi, Kenya","Lagos, Nigeria","Dakar, Senegal","Kampala, Uganda","Luanda, Angola","Ouagadougou, Burkina Faso","Kinshasa, Democratic Republic of the Congo","Lubumbashi, Democratic Republic of the Congo","Mbuji-Mayi, Democratic Republic of the Congo","Brazzaville, Congo","Blantyre, Malawi","Lilongwe, Malawi","Abuja, Nigeria","Dar es Salaam, Tanzania"
City population served by utility ,Number of residents served by utility,"Maoulidi, M. 2010 A water and sanitation needs assessment for Kumasi, Ghana, MCI Social Sector Working Paper Series, No.16/2010",2010,,,,,,,,,,,,,,,,64509,,,,,,,,,,,,,,,
City population served by utility ,Number of residents served by utility,"Longe, E.O. et al. 2008 Private Sector Participation in Water Supply: Prospects and Challenges in Developing Economies, IWRA World Water Congress, 1-4 September, Montpellier, France, ",2008,,,,,,,,,,,,,,,,,,,3000000,,,,,,,,,,,,
City population served by utility ,Number of residents served by utility,National Water and Sewerage Corporation Annual Report 2009-2010.,2010,,,,,,,,,,,,,,,,,,,,,127407,,,,,,,,,,
City population served by utility ,Number of residents served by utility,"Cain, A. and M. Mulenga 2009 Water Service provision for the peri-urban poor in post-conflict Angola, Human Settlements Working Paper Series Water-6, ",2009,,,,,,,,,,,,,,,,,,,,,,1300000,,,,,,,,,
City population served by utility ,Number of residents served by utility,"World Bank 2009 Project Appraisal Document to Burkina Faso for an Urban Water Sector Project, April 30 2009, Report No: 47392-BF.",2009,,,,,,,,,,,,,,,,,,,,,,,1129300,,,,,,,,
City population served by utility ,Number of residents served by utility,"World Bank 2008 Project Appraisal Document to the Republic of Congo for an Urban Water Supply Project, Report No:  46545",2008,,,,,,,,,,,,,,,,,,,,,,,,1450350,,,,,,,
City population served by utility ,Number of residents served by utility,"The World Bank 2011 Implementation Completion and Results Report to the United Republic of Tanzania for a Dar Es Salaam Water Supply and Sanitation Project, Report No.ICR00001361.",2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2800000
Improved water coverage access,% of city residents with access to improved water supply,IBNET http://www.ib-net.org/ ,Latest available year,36,,,54,100,87,62,70,,,42,,,99,,,,63,,,,,,,,,,75,72,,82
Improved water coverage access,% of city residents with access to improved water supply,African Development Bank 2009 Project Appraisal Report Urban Water Supply and Sanitation for Oyo and Taraba States.,2009,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Improved water coverage access,% of city residents with access to improved water supply,"National Bureau of Statistics 2009 Social Statistics of Nigeria, http://www.nigerianstat.gov.ng/ext/latest_release/ssd09.pdf",2009,,,24,,,,,,,,,,,,,,,,14,,,,,,,,,,,12,
Improved water coverage access,% of city residents with access to improved water supply,"City of Cape Town 2009 Water Services Development Plan for City of Cape Town 2010/2011 - 2012/2014, Final Report.",2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Improved water coverage access,% of city residents with access to improved water supply,"Hove, M. and A. Tirimboi 2011 Assessment of Harare Water Service Delivery, Journal of Sustainable Development in Africa, 13(4), 61-84.",2011,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,
Improved water coverage access,% of city residents with access to improved water supply,"Keener, S. et al. 2010 Provision of Water to the Poor in Africa: Experience with Water Standposts and the Informal Water Sector, Policy Research Working Paper 5387, The World Bank.",2010,,,,,,,,,,57,,,,,,,,,,,,,,,,,,,,,
Improved water coverage access,% of city residents with access to improved water supply,"Ngendo Yonsi, N.B. 2011 Access and management of Drinking Water in Developing Cities: Evidence from Yaounde (Cameroon), Research Journal of Environmental Sciences, 5(2), 124-133.",2011,,,,,,,,,,,,56,,,,,,,,,,,,,,,,,,,
Improved water coverage access,% of city residents with access to improved water supply,"OECD 2007 Cote d'Ivoire, Perspectives Economiques en Afrique",2007,,,,,,,,,,,,,82,,,,,,,,,,,,,,,,,,
Improved water coverage access,% of city residents with access to improved water supply,"Adank, M. et al. 2011 Towards integrated urban water management in the Greater Accra Metropolitan Area: current status and strategic directions for the future, SWITCH/RCN Ghana.",2011,,,,,,,,,,,,,,,51,,,,,,,,,,,,,,,,
Improved water coverage access,% of city residents with access to improved water supply,"Maoulidi, M. 2010 A water and sanitation needs assessment for Kumasi, Ghana, MCI Social Sector Working Paper Series, No.16/2010",2010,,,,,,,,,,,,,,,,80,,,,,,,,,,,,,,,
Improved water coverage access,% of city residents with access to improved water supply,"Bah, A.K. et al. 2007 Approvisionnement en eau des menages de Conakry, Afrique Contemporaine, 221, 225/245.",2007,,,,,,,,,,,,,,,,,90,,,,,,,,,,,,,,
Improved water coverage access,% of city residents with access to improved water supply,"Barron, J. et al. 2007 Water and Poverty linkages. Senegal –a case study, Stockholm Environment Institute.",2007,,,,,,,,,,,,,,,,,,,,96,,,,,,,,,,,
Improved water coverage access,% of city residents with access to improved water supply,National Water and Sewerage Corporation Annual Report 2009-2010.,2010,,,,,,,,,,,,,,,,,,,,,74,,,,,,,,,,
Improved water coverage access,% of city residents with access to improved water supply,"Cain, A. and M. Mulenga 2009 Water Service provision for the peri-urban poor in post-conflict Angola, Human Settlements Working Paper Series Water-6, ",2009,,,,,,,,,,,,,,,,,,,,,,42,,,,,,,,,
Improved water coverage access,% of city residents with access to improved water supply,"World Bank 2009 Project Appraisal Document to Burkina Faso for an Urban Water Sector Project, April 30 2009, Report No: 47392-BF.",2009,,,,,,,,,,,,,,,,,,,,,,,69,,,,,,,,
Improved water coverage access,% of city residents with access to improved water supply,"World Bank 2008 Project Appraisal Document to the Republic of Congo for an Urban Water Supply Project, Report No:  46545",2008,,,,,,,,,,,,,,,,,,,,,,,,72,70,,,,,,
Improved water coverage access,% of city residents with access to improved water supply,"Republique Democratique du Congo 2005 Monographie de la Province du Kasai -Oriental, Unite de Pilotage du processus DSRP, ",2005,,,,,,,,,,,,,,,,,,,,,,,,,,49,,,,,
Improved water coverage access,% of city residents with access to improved water supply,World Bank 2010 Project Appraisal Report to the Republic of Congo for a Water and Urban Development Project. Report 52995.,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,35,,,,
Water sold by utility that is metered,% of water sold by utility ,IBNET http://www.ib-net.org/ ,Latest available year,44,,,100,100,100,0.3,,,100,100,,,100,,,,,,,,,,,,,,,,,
Water sold by utility that is metered,% of water sold by utility ,"Iliyas, M.H. 2000 Strengthening the Capacity of Water Utilities to Deliver Water and sanitation Services, Environmental Health and Hygiene to Low Income Communities, Case Study for Kano (town), Nigeria, Context and Practices, Water Utilities Project No.5, MIT.",2000,,,1,,,,,,,,,,,,,,,,,,,,100,,,,,100,,,
Water sold by utility that is metered,% of water sold by utility ,NWASCO 2011 Urban and Peri-Urban Water Supply and Sanitation Sector Report 2010/2011.,2011,,,,,,,,62,,,,,,,,,,,,,,,,,,,,,,,
Water sold by utility that is metered,% of water sold by utility ,"Adank, M. et al. 2011 Towards integrated urban water management in the Greater Accra Metropolitan Area: current status and strategic directions for the future, SWITCH/RCN Ghana.",2011,,,,,,,,,,,,,,,51,,,,,,,,,,,,,,,,
Water sold by utility that is metered,% of water sold by utility ,"Longe, E.O. et al. 2008 Private Sector Participation in Water Supply: Prospects and Challenges in Developing Economies, IWRA World Water Congress, 1-4 September, Montpellier, France, ",2008,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,
Water sold by utility that is metered,% of water sold by utility ,National Water and Sewerage Corporation Annual Report 2009-2010.,2010,,,,,,,,,,,,,,,,,,,,,99,,,,,,,,,,
Water sold by utility that is metered,% of water sold by utility ,"Cain, A. and M. Mulenga 2009 Water Service provision for the peri-urban poor in post-conflict Angola, Human Settlements Working Paper Series Water-6, ",2009,,,,,,,,,,,,,,,,,,,,,,52,,,,,,,,,
Water sold by utility that is metered,% of water sold by utility ,"World Bank 2008 Project Appraisal Document to the Republic of Congo for an Urban Water Supply Project, Report No:  46545",2008,,,,,,,,,,,,,,,,,,,,,,,,55,64,,,,,,
Water sold by utility that is metered,% of water sold by utility ,World Bank 2010 Project Appraisal Report to the Republic of Congo for a Water and Urban Development Project. Report 52995.,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,
Water sold by utility that is metered,% of water sold by utility ,Africa Infrastructure Country Diagnostic Database http://data.worldbank.org/data-catalog/africa-infrastructure,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83
Collection rate ,% of collection rate from population billed,IBNET http://www.ib-net.org/ ,Latest available year,85,13,,98,83,,,80,,91,,,,91,,,,75,,,,,95,,,,,94,96,,
Collection rate ,% of collection rate from population billed,"eThekwini Municipality 2004 Draft Water Services Development Plan, volume 2",2004,,,,,,108,,,,,,,,,,,,,,,,,,,,,,,,,
Collection rate ,% of collection rate from population billed,Africa Infrastructure Country Diagnostic Database http://data.worldbank.org/data-catalog/africa-infrastructure,2012,,,,,,,62,,,,,,,,,,,,,,,,,,,,,,,20,
Collection rate ,% of collection rate from population billed,"Sangare, S. 2006 Presentation du Rapport diagnostic Approvisionnement en Eau Potable, http://www.gn.undp.org/Docs/omd/Diagn-EauAss-OMD-Guin%C3%A9e2006.pdf",2006,,,,,,,,,,,,,,,,,90,,,,,,,,,,,,,,
Collection rate ,% of collection rate from population billed,"Longe, E.O. et al. 2008 Private Sector Participation in Water Supply: Prospects and Challenges in Developing Economies, IWRA World Water Congress, 1-4 September, Montpellier, France, ",2008,,,,,,,,,,,,,,,,,,,55,,,,,,,,,,,,
Collection rate ,% of collection rate from population billed,Pinsent Masons Water Yearbook 2011-2012,2012,,,,,,,,,,,,,,,,,,,,98,,,,,,,,,,,
Collection rate ,% of collection rate from population billed,"World Bank (2012) Africa's urban transition: implications for water management. Waste Water, Drainage and Solid Waste Management",2012,,,,,,,,,,,,,,,,,,,,,,23,,,,,,,,,
Collection rate ,% of collection rate from population billed,"World Bank 2008 Project Appraisal Document to the Republic of Congo for an Urban Water Supply Project, Report No:  46545",2008,,,,,,,,,,,,,,,,,,,,,,,,46,64,,,,,,
Collection rate ,% of collection rate from population billed,World Bank 2010 Project Appraisal Report to the Republic of Congo for a Water and Urban Development Project. Report 52995.,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,53,,,,
Collection rate ,% of collection rate from population billed,"World Bank 2011 Implementation Completion and Results Report to the United Republic of Tanzania for a Dar Es Salaam Water Supply and Sanitation Project, Report No.ICR00001361.",2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79
Non-revenue water,% of non-revenue water from total water supplied into the system,IBNET http://www.ib-net.org/ ,Latest available year,57,42,,,26,38,5,48,,28,40,,,41,52,,,42,,,,,18,,,,,49,41,,
Non-revenue water,% of non-revenue water from total water supplied into the system,"IUCN 2006 Water Audit for Komadugu Yobe Basin, Final Report",2006,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Non-revenue water,% of non-revenue water from total water supplied into the system,Africa Infrastructure Country Diagnostic Database http://data.worldbank.org/data-catalog/africa-infrastructure,Latest available year,,,,41,,,,,,,,,,,,,,,,,,,,,,,,,,80,
Non-revenue water,% of non-revenue water from total water supplied into the system,"Hove, M. and A. Tirimboi 2011 Assessment of Harare Water Service Delivery, Journal of Sustainable Development in Africa, 13(4), 61-84. and African Development Bank 2010 Urgent Water Supply and Sanitation Rehabilitation Project, Country: Zimbabwe, Project ",2011,,,,,,,,,40,,,,,,,50,,,,,,,,,,,,,,,
Non-revenue water,% of non-revenue water from total water supplied into the system,"Kuma, J.S. et al. 2010 Evaluating the Water Supply System in Kumasi, Ghana, European Journal of Scientific Research, 40(4), 506-514",2010,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,
Non-revenue water,% of non-revenue water from total water supplied into the system,"LSWC 2001 Reports in  in Obayagbona, H. 2008 Governance without government: water provision in Lagos, Nigeria, MA Thesis, Graduate School of Development Studies, Institute of Social Studies, The Hague, page 28.",2001,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,
Non-revenue water,% of non-revenue water from total water supplied into the system,Pinsent Masons Water Yearbook 2011-2012,2012,,,,,,,,,,,,,,,,,,,,,39,,,,,,,,,,
Non-revenue water,% of non-revenue water from total water supplied into the system,National Water and Sewerage Corporation Annual Report 2009-2010.,2010,,,,,,,,,,,,,,,,,,,,,,,,54,36,,,,,,
Non-revenue water,% of non-revenue water from total water supplied into the system,"World Bank 2008 Project Appraisal Document to the Republic of Congo for an Urban Water Supply Project, Report No:  46545",2008,,,,,,,,,,,,,,,,,,,,,,,,,,,45,,,,
Non-revenue water,% of non-revenue water from total water supplied into the system,World Bank 2010 Project Appraisal Report to the Republic of Congo for a Water and Urban Development Project. Report 52995.,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56
City utility operating ratio,Operating revenue to cost ratio (%),IBNET http://www.ib-net.org/ ,Latest available year,82,,,98,87,55,200,135,,196,120,120,104,187,116,116,96,100,,244,134,,207,64,64,64,,106,170,,77
Water Utility Vulnerability Index,Index unit,"IBNET (not yet released) (see Moffitt et al, 2012)",Latest available year,,,,73,,6,,,,80,99,99,,13,,,31,,,53,,,,,,,,,,,
Improved sanitation access,% of city population ,IWAWaterWiki,2012,74,,,,,,,,,,,,,,,,,,,93,,,,,,,,,,,
Improved sanitation access,% of city population ,"National Bureau of Statistics 2009 Social Statistics of Nigeria, http://www.nigerianstat.gov.ng/ext/latest_release/ssd09.pdf",2009,,44,67,,,,,,,,,,,,,,,,89,,,,,,,,,,,62,
Improved sanitation access,% of city population ,"SSA 2007 Community Survey, Statistics of South Africa - Household Services, http://www.statssa.gov.za/",2007,,,,92,93,75,,,,,,,,,,,,,,,,,,,,,,,,,
Improved sanitation access,% of city population ,NWASCO 2011 Urban and Peri-Urban Water Supply and Sanitation Sector Report 2010/2011.,2011,,,,,,,,65,,,,,,,,,,,,,,,,,,,,,,,
Improved sanitation access,% of city population ,"World Bank 2010 Republique du Benin: Analyse environnementale Pays, Rapport No: 58190-BJ",2010,,,,,,,,,,26,,,,,,,,,,,,,,,,,,,,,
Improved sanitation access,% of city population ,"Strategie Nationale d'Assainissement liquide au Cameroon, Rapport Diagnostic, Avril 2011",2011,,,,,,,,,,,58,39,,,,,,,,,,,,,,,,,,,
Improved sanitation access,% of city population ,"OECD 2007 Cote d'Ivoire, Perspectives Economiques en Afrique",2007,,,,,,,,,,,,,49,,,,,,,,,,,,,,,,,,
Improved sanitation access,% of city population ,"Adank, M. et al. 2011 Towards integrated urban water management in the Greater Accra Metropolitan Area: current status and strategic directions for the future, SWITCH/RCN Ghana.",2011,,,,,,,,,,,,,,,54,,,,,,,,,,,,,,,,
Improved sanitation access,% of city population ,"Thift, C. 2007 Sanitation Policy in Ghana: Key Factors and the Potential for Ecological Sanitation solutions, EcoSanRes, Stockholm Environment Institute.",2007,,,,,,,,,,,,,,,,86,,,,,,,,,,,,,,,
Improved sanitation access,% of city population ,"Republique de Guinee 2007 Document de Strategie de Reduction de la Pauvrete DSRP2 (2007-2010), Ministere de l'Economie, des Finances et du Plan",2007,,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,
Improved sanitation access,% of city population ,City Council of Nairobi 2007 City of Nairobi Environment Outlook.,2007,,,,,,,,,,,,,,,,,,68,,,,,,,,,,,,,
Improved sanitation access,% of city population ,"Newton, J. 2004 Kampala Sanitation Plan, Mott MacDonald, http://www.ewb-uk.org/system/files/James%20Newton%20-%20Kampala_SMP_Presentation_to_EWB-",2004,,,,,,,,,,,,,,,,,,,,,93,,,,,,,,,,
Improved sanitation access,% of city population ,"Development Workshop 2011 Poverty and Environmental Vulnerability in Angola's growing Slums: comparative analysis of Luanda, Huambo and Cachiungo.",2011,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,
Improved sanitation access,% of city population ,"World Bank 2009 Project Appraisal Document to Burkina Faso for an Urban Water Sector Project, April 30 2009, Report No: 47392-BF.",2009,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,
Improved sanitation access,% of city population ,"PNUD 2009 Province de Kinshasa, Profil Resume, Pauvrete et Conditions de Vie des Menages, Mars 2009. ",2009,,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,
Improved sanitation access,% of city population ,"Republique Democratique du Congo 2005 Monographie de la Province du Katanga, Unite de Pilotage du processus DSRP, Ministere du Plan, Mars 2005",2005,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,,,
Improved sanitation access,% of city population ,World Bank 2010 Project Appraisal Report to the Republic of Congo for a Water and Urban Development Project. Report 52995.,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,
Improved sanitation access,% of city population ,"National Statistical Office 2010 Malawi, Demographic and Health Survey. http://www.nso.malawi.net/images/stories/data_on_line/demography/MDHS2010/MDHS2010%20report.pdf",2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,13,,
Improved sanitation access,% of city population ," World Bank 2011 Implementation Completion and Results Report to the United Republic of Tanzania for a Dar Es Salaam Water Supply and Sanitation Project, Report No.ICR00001361.",2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14
Wastewater treatment,% of wastewater produced that is treated,"Nyenje, P.M. et al. 2010 Eutrophication and nutriend release in urban areas of sub-saharan Africa, Science of the Total Environment, 408, 447-455.",2010,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wastewater treatment,% of wastewater produced that is treated,Africa Infrastructure Country Diagnostic Database http://data.worldbank.org/data-catalog/africa-infrastructure,2012,,,,,100,,16,,,,,,,20,,,,,,,,,,,,,,,,,
Wastewater treatment,% of wastewater produced that is treated,"eThekwini Municipality 2004 Draft Water Services Development Plan, volume 2",2004,,,,,,93,,,,,,,,,,,,,,,,,,,,,,,,,
Wastewater treatment,% of wastewater produced that is treated,"African Development Bank 2010 Urgent Water Supply and Sanitation Rehabilitation Project, Country: Zimbabwe, Project Appraisal Report. ",2010,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,
Wastewater treatment,% of wastewater produced that is treated,"Adank, M. et al. 2011 Towards integrated urban water management in the Greater Accra Metropolitan Area: current status and strategic directions for the future, SWITCH/RCN Ghana.",2011,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,,,
Wastewater treatment,% of wastewater produced that is treated,"UN-Habitat 2011 Green Hills, Blue Cities. An ecosystems approach to water resources management for African cities",2011,,,,,,,,,,,,,,,,,,56,,14,,,,,,,,,,,
Wastewater treatment,% of wastewater produced that is treated,"Nyenje, P.M. et al. 2010 Eutrophication and nutriend release in urban areas of sub-saharan Africa, Science of the Total Environment, 408, 447-455.",2010,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,
Wastewater treatment,% of wastewater produced that is treated,"Mtethiwa, A.H. et al. 2008  Efficiency of oxidation ponds in wastewater treatment, International Journal of Environmental Research, 2(2), 149-152.",2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,
Wastewater treatment,% of wastewater produced that is treated,"World Bank 2011 Implementation Completion and Results Report to the United Republic of Tanzania for a Dar Es Salaam Water Supply and Sanitation Project, Report No.ICR00001361.",2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100
Cholera cases ,Number of cases of cholera from last outbreak,"WHO 2011 Regional Humanitarian Health Update, Eastern and Southen Africa, May 2011",2011,1229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cholera cases ,Number of cases of cholera from last outbreak,"African Development Bank 2008 Water and Sanitation for Oyo and Taraba States, http://www.afdb.org/en/projects-and-operations/project-portfolio/project/p-ng-e00-004/",2004,,1872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cholera cases ,Number of cases of cholera from last outbreak,WHO 2006 Cholera Update Northern Sudan 8 October 2006.,2006,,,,,,,1019,,,,,,,,,,,,,,,,,,,,,,,,
Cholera cases ,Number of cases of cholera from last outbreak,"OCHA 2009 Zimbabwe Monthly Situation Report, January 2009",2009,,,,,,,,,14513,,,,,,,,,,,,,,,,,,,,,,
Cholera cases ,Number of cases of cholera from last outbreak,"WHO 2011 Cholera Country Profile: Benin, Last Update 31 October 2011",2005,,,,,,,,,,510,,,,,,,,,,,,,,,,,,,,,
Cholera cases ,Number of cases of cholera from last outbreak,"Assako RJ. Et al. 2005 Etude géographique de l’épidémie de choléra à Douala ou la qualité de vie à l’épreuve des pratiques urbaines, ",2005,,,,,,,,,,,7000,,,,,,,,,,,,,,,,,,,,
Cholera cases ,Number of cases of cholera from last outbreak,"IWA Cholera, Diarrhea and dysentery update 2011 (05): Africa, http://www.iwa-microbiology.org/index.aspx?id=6181",2011,,,,,,,,,,,,,,,4190,,,,,,,,,,,,,,,,
Cholera cases ,Number of cases of cholera from last outbreak,"Sudre, B. and D. Bompangue 2009 Epidemiologie du cholera et Evaluation du Systeme d'Alerte Precoce en Republique de Guinee, Rapport de Mission, Universite de Franche-Comte, Centre de la Recherche Scientifique",2009,,,,,,,,,,,,,,,,,3799,,,,,,,,,,,,,,
Cholera cases ,Number of cases of cholera from last outbreak,"IFRC 2007 Senegal: Cholera, DREF bulletin, 26 October 2007",2007,,,,,,,,,,,,,,,,,,,,62,,,,,,,,,,,
Cholera cases ,Number of cases of cholera from last outbreak,"WHO 2009 Cholera Country Profile: Angola, Last Update 3 September 2009.",2009,,,,,,,,,,,,,,,,,,,,,,6816,,,,,,,,,
Cholera cases ,Number of cases of cholera from last outbreak,OMS 2011  Rapport de Situation sur l'epidemie de cholera (30 Aout 2011).,2011,,,,,,,,,,,,,,,,,,,,,,,,386,,,,,,,
Cholera cases ,Number of cases of cholera from last outbreak,"IFRC 2003 Democratic Republic of Congo: Cholera in Mbuji-Mayi, 14 December 2003",2003,,,,,,,,,,,,,,,,,,,,,,,,,,383,,,,,
Cholera cases ,Number of cases of cholera from last outbreak,"IFRC 2011 DREF Operation update, Republic of Congo: Cholera outbreak, 1 February 2012",2011,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,
Cholera cases ,Number of cases of cholera from last outbreak,"Zeleza Manda M.A. 2009 Water and sanitation in urban Malawi: Can the Millenium Development Goals be met? A study of informal settlements in three cities, Human Settlements Working Papers Series, IIED.",2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,1497,1478,,
Flood events,Frequency of flood events (events/ 100 years),"UNEP/GRID-Europe PREVIEW flood dataset, Strzepek, K. et al. 2011, and Dartmouth Flood Observatory, Dartmouth College.",2011,10,10,25,2,7,10,21,2,2,19,2,2,2,10,2,2,7,14,7,10,18,7,17,10,14,2,10,20,20,14,10
