,0,1
0,Age Distribution (P 2020),
1,0-9 years,"5,437,697"
2,10-19 years,"4,433,804"
3,20-29 years,"3,232,834"
4,30-39 years,"2,175,273"
5,40-49 years,"1,404,568"
6,50-59 years,"835,920"
7,60-69 years,"500,222"
8,70-79 years,"285,908"
9,80+ years,"143,602"
