,0,1
0,Tribe (C 2018),
1,Chewa,"6,020,944"
2,Tumbuka,"1,614,577"
3,Lomwe,"3,302,634"
4,Yao,"2,321,763"
5,Ngoni,"1,819,347"
6,Sena,"670,908"
7,Mang'anja,"559,885"
8,Other Tribe,"1,196,480"
