,0,1,2,3,4,5,6,7,8,9,10,11,12
0,,Name,Abbr.,Capital,Area A (km²),Population Census (Cf) 1977-09-20,Population Census (Cf) 1987-09-01,Population Census (Cf) 1998-09-01,Population Census (Cf) 2008-06-08,Population Census (C) 2018-09-03,Population Projection (P) 2020-09-03,,
1,,Malawi,MWI,Lilongwe,"94,552","5,547,460","7,988,507","9,933,868","13,029,498","17,563,749","18,449,800",,
2,,Central,CEN,Lilongwe,"35,641","2,143,716","3,110,986","4,066,340","5,497,252","7,523,340","7,922,400",3564100,
3,,Northern,NOR,Mzuzu,"27,131","648,853","911,787","1,233,560","1,679,491","2,289,780","2,383,000",2713100,
4,,Southern,SOU,Blantyre,"31,780","2,754,891","3,965,734","4,633,968","5,852,755","7,750,629","8,144,400",3178000,
