area,Country,project_name,developer,Google Pin Location,number_of_bedrooms,typology,unit_plinth_area_sqm,total_units, Unit Price, price_per_sqm, Rent per Month,rent_per_sqm,service_charge,"Mortgage Installments (90%present value, 20years tenor, 15% interest rate)",mortgage_installments, mortgage_to_rent_ratio,"Projected Yield assuming 90% occupancy rate, 6% stamp duty"
Syokimau,Kenya,Bluebells Gardens Apartments,Safaricom Investment Sacco,"-1.38071, 36.93960",3,Apartments,105,200,7400000,70476,35000,333,3000,87698.19,87698.1862,2.5,5
Kimunyu,Kenya,Brickstone Garden Estate,Mahiga Homes,"-1.05164, 36.94929",3,Bungalows,106,50,4250000,40094,30000,283,3000,50367.2,47569.02367,1.7,7
Kasarani,Kenya,Clay City,HF development and investment limited,"-1.21872, 36.90306",2,Apartments,73,40,6500000,89041,35000,479,3000,77032.19,72752.62444,2.2,5
Kasarani,Kenya,Clay City,HF development and investment limited,"-1.21872, 36.90306",2,Apartments,86,40,6700000,78134,40000,466,3000,79402.41,74991.16673,2,6
Kasarani,Kenya,Clay City,HF development and investment limited,"-1.21872, 36.90306",3,Apartments,110,480,8650000,78923,45000,411,3000,102512.07,96816.95406,2.3,5
Juja,Kenya,Cornerstone Estate,Mahiga Homes,"-1.05217, 36.94569",3,Bungalows,104,48,3750000,36058,30000,288,3000,44441.65,41972.66794,1.5,8
Syokimau,Kenya,Crystal Rivers Apartments,Safaricom Staff Pension Scheme,"-1.43808, 36.98331",3,Apartments,100,40,8500000,85034,35000,350,3000,100734.4,100734.4031,2.9,4
Syokimau,Kenya,Crystal Rivers Apartments,Safaricom Staff Pension Scheme,"-1.43808, 36.98331",3,Apartments,160,40,14000000,87500,45000,281,3000,165915.49,165915.4874,3.7,3
Syokimau,Kenya,Crystal Rivers Apartments,Safaricom Staff Pension Scheme,"-1.43808, 36.98331",4,Apartments,144,40,15000000,104167,55000,382,3000,177766.59,177766.5936,3.2,4
Ruiru,Kenya,Dahlia Gardens,Cytonn Real Estate,"-1.15591, 36.96061",2,Apartments,80,48,7500000,93750,33000,413,3003,88883.3,123660.884771413,2.7,4
Ruiru,Kenya,Dahlia Gardens,Cytonn Real Estate,"-1.15591, 36.96061",3,Apartments,105,20,8500000,80952,45000,429,3003,100734.4,123660.884771413,2.2,5
Imara Daima,Kenya,Daima Springs,Cytonn Real Estate,"-1.32321, 36.87606",3,Apartments,137,100,8750000,63869,60000,438,3000,103697.18,97936.2252,1.7,7
Imara Daima,Kenya,Daima Springs,Cytonn Real Estate,"-1.32321, 36.87606",4,Apartments,165,10,9750000,59091,70000,424,3000,115548.29,109128.9367,1.7,7
Thindigua,Kenya,Dainty Apartments,Cytonn Real Estate,"-1.20081, 36.83632",2,Apartments,93,48,10500000,112903,40000,430,3000,124436.62,117523.4702,3.1,4
Thindigua,Kenya,Dainty Apartments,Cytonn Real Estate,"-1.20081, 36.83632",3,Apartments,108,24,12000000,111111,50000,463,3000,142213.27,134312.5374,2.8,4
Lukenya,Kenya,Daystar Hostels,Heri Homes,"-1.44092, 37.04367",1,Apartments,45,40,12174005.0890585,93429.5354752343,15000,333,3003,139923.78536802,123660.884771413,2.46908850726552,5
Lukenya,Kenya,Daystar Hostels,Heri Homes,"-1.44092, 37.04367",1,Studio,26,300,2500000,96154,12000,462,3000,29627.77,27981.77863,2.5,5
Racecourse,Kenya,Denali Apartments,Cytonn Real Estate,"-1.29950, 36.74840",2,Apartments,100,24,7950000,79500,40000,400,3000,94216.29,88982.05604,2.4,5
Racecourse,Kenya,Denali Apartments,Cytonn Real Estate,"-1.29950, 36.74840",3,Apartments,129,20,9950000,77132,50000,388,3000,117918.51,111367.4789,2.4,5
Mlolongo,Kenya,Encasa Estate,Suraya Property Group,"-1.39276, 36.96004",1,Apartments,15,40,1155000,77000,5000,333,3000,13688.03,13688.02771,2.7,4
Mlolongo,Kenya,Encasa Estate,Suraya Property Group,"-1.39276, 36.96004",1,Apartments,18,40,1760000,97778,6000,333,3000,20857.95,20857.94699,3.5,3
Mlolongo,Kenya,Encasa Estate,Suraya Property Group,"-1.39276, 36.96004",1,Apartments,27,40,2530000,93704,8000,296,3000,29983.3,29983.2988,3.7,3
Mlolongo,Kenya,Encasa Estate,Suraya Property Group,"-1.39276, 36.96004",2,Apartments,38,40,3190000,83947,12000,316,3000,37805.03,37805.02892,3.2,4
Mlolongo,Kenya,Encasa Estate,Suraya Property Group,"-1.39276, 36.96004",2,Apartments,40,40,3190000,79750,12000,300,3000,37805.03,37805.02892,3.2,4
Mlolongo,Kenya,Encasa Estate,Suraya Property Group,"-1.39276, 36.96004",2,Apartments,42,40,3630000,86429,12000,286,3000,43019.52,43019.51566,3.6,3
Mlolongo,Kenya,Encasa Estate,Suraya Property Group,"-1.39276, 36.96004",2,Apartments,45,40,3520000,78222,15000,333,3000,41715.89,41715.89398,2.8,4
Mlolongo,Kenya,Encasa Estate,Suraya Property Group,"-1.39276, 36.96004",3,Apartments,68,40,4950000,72794,15000,221,3000,58662.98,58662.9759,3.9,3
Ongata Rongai,Kenya,Erungu Apartments,Cytonn Real Estate,"-1.35578, 36.65638",2,Apartments,90,32,5000000,55556,40000,444,3003,59255.53,123660.884771413,1.5,8
Ongata Rongai,Kenya,Erungu Apartments,Cytonn Real Estate,"-1.35578, 36.65638",2,Apartments,90,32,4500000,50000,15000,167,3000,53329.98,50367.20153,3.6,3
Ongata Rongai,Kenya,Expo Garden Apartments,Cytonn Real Estate,"-1.39126, 36.76993",3,Apartments,110,40,5700000,51818,35000,318,3003,67551.31,123660.884771413,1.9,6
Ongata Rongai,Kenya,Expo Garden Apartments,Cytonn Real Estate,"-1.39126, 36.76993",3,Apartments,110,40,6500000,59091,20000,182,3000,77032.19,72752.62444,3.9,3
Kiambu,Kenya,Five Star Meadows,AMS Properties,"-1.19128, 36.84059",3,Maisonette,212,31,35000000,165237,120000,567,3000,414788.72,391744.9008,3.5,3
Kiambu,Kenya,Five Star Meadows,AMS Properties,"-1.19128, 36.84059",4,Maisonette,263,85,39000000,148338,150000,571,3000,462193.14,436515.7466,3.1,4
Kiambu,Kenya,Five Star Paradise,AMS Properties,"-1.20108, 36.82834",3,Maisonette,242,25,31500000,130210,120000,496,3000,373309.85,352570.4107,3.1,4
Kiambu,Kenya,Five Star Paradise,AMS Properties,"-1.20108, 36.82834",4,Maisonette,195,40,28250000,144801,160000,820,3000,334793.75,316194.0985,2.1,6
Kiambu,Kenya,Five Star Paradise,AMS Properties,"-1.20108, 36.82834",4,Maisonette,242,24,31500000,130165,150000,620,3000,373309.85,352570.4107,2.5,5
Kiambu,Kenya,Five Star Paradise,AMS Properties,"-1.20108, 36.82834",4,Maisonette,286,76,36500000,127643,180000,629,3000,432565.38,408533.968,2.4,5
Kiambu,Kenya,Five Star Paradise,AMS Properties,"-1.20108, 36.82834",4,Townhouses,324,12,43250000,133508,200000,617,3000,512560.35,484084.7703,2.6,5
Kiambu,Kenya,Five Star Paradise,AMS Properties,"-1.20108, 36.82834",5,Villas,396,25,53500000,135118,250000,631,3000,634034.18,598810.0627,2.5,5
Kiambu,Kenya,Fourways Junction,Suraya Property Group,"-1.21316, 36.83797",3,Apartments,108,40,12600000,116667,60000,556,3003,149323.94,123660.884771413,2.5,5
Kiambu,Kenya,Fourways Junction,Suraya Property Group,"-1.21316, 36.83797",3,Apartments,120,40,13000000,108333,70000,583,3003,154064.38,123660.884771413,2.2,5
Kiambu,Kenya,Fourways Junction,Suraya Property Group,"-1.21316, 36.83797",4,Apartments,148,40,14500000,97973,59775.1237623762,488.966974900925,3003,171841.04,123660.884771413,2.46908850726552,5
Kiambu,Kenya,Fourways Junction,Suraya Property Group,"-1.21316, 36.83797",2,Apartments,73,40,11495000,157466,55000,753,3000,136228.47,128660.2181,2.5,5
Kiambu,Kenya,Fourways Junction,Suraya Property Group,"-1.21316, 36.83797",2,Apartments,80,40,13200000,165000,60000,750,3000,156434.6,147743.7912,2.6,5
Kiambu,Kenya,Fourways Junction,Suraya Property Group,"-1.21316, 36.83797",3,Apartments,108,40,15070000,139537,65000,602,3000,178596.17,168674.1616,2.7,4
Kiambu,Kenya,Fourways Junction,Suraya Property Group,"-1.21316, 36.83797",3,Apartments,120,40,16940000,141167,70000,583,3000,200757.74,189604.532,2.9,4
Kiambu,Kenya,Fourways Junction,Suraya Property Group,"-1.21316, 36.83797",3,Apartments,147,40,29370000,199796,100000,680,3000,348066.99,328729.9353,3.5,3
Kiambu,Kenya,Fourways Junction,Suraya Property Group,"-1.21316, 36.83797",3,Apartments,157,40,31790000,202484,110000,701,3000,376746.67,355816.2971,3.4,4
Kiambu,Kenya,Fourways Junction,Suraya Property Group,"-1.21316, 36.83797",4,Apartments,148,40,18700000,126351,90000,608,3000,221615.69,209303.7042,2.5,5
Kiambu,Kenya,Fourways Junction,Suraya Property Group,"-1.21316, 36.83797",4,Apartments,205,40,35530000,173317,130000,634,3000,421069.8,397677.0379,3.2,4
Athi River,Kenya,Graceland Estate,Graceland Holdings Limited,"-1.43253, 36.99221",3,Maisonette,148,209,12000000,81081,45000,304,3000,142213.27,142213.2749,3.2,4
Kikuyu,Kenya,Grandville Apartments,Key Signature Developers,"-1.25918, 36.69434",2,Apartments,90,40,8000000,88889,50000,556,3000,94808.85,123660.884771413,1.9,6
Kikuyu,Kenya,Grandville Apartments,Key Signature Developers,"-1.25918, 36.69434",3,Apartments,125,14,12000000,96000,65000,520,3000,142213.27,123660.884771413,2.2,6
Kikuyu,Kenya,Grandville Apartments,Key Signature Developers,"-1.25918, 36.69434",2,Apartments,90,40,8500000,94444,35000,389,3000,100734.4,95138.04734,2.9,4
Kikuyu,Kenya,Grandville Apartments,Key Signature Developers,"-1.25918, 36.69434",3,Apartments,125,40,9500000,76000,45000,360,3000,112585.51,106330.7588,2.5,5
Donholm,Kenya,Greenspan Estate,Greenspan Investment Ltd,"-1.28687, 36.90325",2,Apartments,88,30,6750000,76705,32000,364,3000,79994.97,123660.884771413,2.5,5
Donholm,Kenya,Greenspan Estate,Greenspan Investment Ltd,"-1.28687, 36.90325",3,Apartments,111,20,7500000,67568,37000,333,3000,88883.3,123660.884771413,2.4,5
Donholm,Kenya,Greenspan Estate,Greenspan Investment Ltd,"-1.28687, 36.90325",3,Apartments,105,11,8100000,77143,46300,441,3000,95993.96,123660.884771413,2.1,6
Donholm,Kenya,Greenspan Estate,Greenspan Investment Ltd,"-1.28687, 36.90325",2,Apartments,88,30,7500000,85227,32000,364,3000,88883.3,81706.7936,2.8,4
Donholm,Kenya,Greenspan Estate,Greenspan Investment Ltd,"-1.28687, 36.90325",3,Apartments,111,20,8000000,71760,37000,332,3000,94808.85,89541.69162,2.6,5
Donholm,Kenya,Greenspan Estate,Greenspan Investment Ltd,"-1.28687, 36.90325",3,Apartments,139,11,11050000,79295,50000,359,3000,130954.72,123679.4615,2.6,5
Imara Daima,Kenya,Imara Gardens,Imara Gardens Developers,"-1.32354, 36.87497",2,Apartments,98,90,8500000,86735,35000,357,3000,100734.4,123660.884771413,2.9,4
Imara Daima,Kenya,Imara Gardens,Imara Gardens Developers,"-1.32354, 36.87497",3,Apartments,111,90,13000000,117117,50000,450,3000,154064.38,123660.884771413,3.1,4
Imara Daima,Kenya,Imara Gardens,Imara Gardens Developers,"-1.32354, 36.87497",2,Apartments,97,40,6800000,70103,40000,412,3000,80587.52,76110.43787,2,6
Imara Daima,Kenya,Imara Gardens,Imara Gardens Developers,"-1.32354, 36.87497",3,Apartments,132,40,7800000,59091,45000,341,3000,92438.63,87303.14933,2.1,6
Kahawa Wendani,Kenya,Kahawa Downs,HF development and investment limited,"-1.19362, 36.93028",2,Apartments,86,220,6700000,77907,35000,407,3000,79402.41,74991.16673,2.3,5
Kahawa Wendani,Kenya,Kahawa Downs,HF development and investment limited,"-1.19362, 36.93028",3,Apartments,104,40,7700000,74038,45000,433,3000,91253.52,86183.87818,2,6
Kitengela,Kenya,Kitengela Terraces,Sejal Dhulashia Patel and Susan Omino,"-1.48884, 36.95282",1,Apartments,75,40,5000000,66667,10000,133,3003,59255.53,123660.884771413,5.9,2
Kitengela,Kenya,Kitengela Terraces,Sejal Dhulashia Patel and Susan Omino,"-1.48884, 36.95282",2,Apartments,67,40,4800000,71889,25000,374,3000,56885.31,53725.01497,2.3,5
Kitengela,Kenya,Kitengela Terraces,Sejal Dhulashia Patel and Susan Omino,"-1.48884, 36.95282",2,Apartments,70,40,5060000,72059,25000,356,3000,59966.6,56635.11995,2.4,5
Kitengela,Kenya,Kitengela Terraces,Sejal Dhulashia Patel and Susan Omino,"-1.48884, 36.95282",2,Apartments,74,40,5350000,72200,28000,378,3000,63403.42,59881.00627,2.3,5
Kitengela,Kenya,Kitengela Terraces,Sejal Dhulashia Patel and Susan Omino,"-1.48884, 36.95282",2,Apartments,77,40,5530000,71996,28000,365,3000,65536.62,61895.69433,2.3,5
Kitengela,Kenya,Kitengela Terraces,Sejal Dhulashia Patel and Susan Omino,"-1.48884, 36.95282",2,Apartments,78,40,5600000,71915,30000,385,3000,66366.19,62679.18413,2.2,5
Lower Kabete,Kenya,Kitisuru Spur Apartments,Heri Homes,"-1.23084, 36.73856",2,Apartments,85,96,6800000,80000,40000,471,3000,80587.52,76110.43787,2,6
Lower Kabete,Kenya,Kitisuru Spur Apartments,Heri Homes,"-1.23084, 36.73856",3,Apartments,105,48,8400000,80000,50000,476,3000,99549.29,94018.7762,2,6
Racecourse,Kenya,Lenana Forest View Apts,Cytonn Real Estate,"-1.30665, 36.73560",3,Apartments,117,30,13500000,115031,70000,596,3000,159989.93,123660.884771413,2.3,5
Racecourse,Kenya,Lenana Forest View Apts,Cytonn Real Estate,"-1.30665, 36.73560",3,Apartments,117,30,13500000,115031,65000,554,3000,159989.93,151101.6046,2.5,5
Ruiru,Kenya,Lifestyle  Heights,Lifestyle Estate Holdings Limited,"-1.15551, 36.88861",2,Apartments,81,78,8000000,98765,50000,617,3003,94808.85,123660.884771413,1.9,6
Ruiru,Kenya,Lifestyle  Heights,Lifestyle Estate Holdings Limited,"-1.15551, 36.88861",2,Apartments,100,82,9500000,95000,50000,500,3003,112585.51,123660.884771413,2.3,5
Ruiru,Kenya,Lifestyle  Heights,Lifestyle Estate Holdings Limited,"-1.15551, 36.88861",3,Apartments,118,40,12174005.0890585,93429.5354752343,59775.1237623762,488.966974900925,3003,139923.78536802,123660.884771413,2.46908850726552,5
Ruiru,Kenya,Lifestyle  Heights,Lifestyle Estate Holdings Limited,"-1.15551, 36.88861",3,Apartments,154,40,12174005.0890585,93429.5354752343,59775.1237623762,488.966974900925,3003,139923.78536802,123660.884771413,2.46908850726552,5
Ruiru,Kenya,Lifestyle Heights,Lifestyle Estate Holdings Limited,"-1.15551, 36.88861",3,Apartments,115,40,10000000,86957,70000,609,3003,118511.06,123660.884771413,1.7,7
Ruiru,Kenya,Lifestyle Heights,Lifestyle Estate Holdings Limited,"-1.15551, 36.88861",3,Apartments,132,244,12000000,90909,70000,530,3003,142213.27,123660.884771413,2,6
Ruiru,Kenya,Lifestyle Heights,Lifestyle Estate Holdings Limited,"-1.15551, 36.88861",2,Apartments,100,40,7500000,75000,55000,550,3000,88883.3,83945.33589,1.6,7
Ruiru,Kenya,Lifestyle Heights,Lifestyle Estate Holdings Limited,"-1.15551, 36.88861",3,Apartments,132,40,12500000,94697,65000,492,3000,148138.83,139908.8931,2.3,5
Ruiru,Kenya,Lifestyle Heights,Lifestyle Estate Holdings Limited,"-1.15551, 36.88861",3,Apartments,154,40,14500000,94156,65000,422,3000,171841.04,162294.3161,2.6,5
Syokimau,Kenya,Lifestyle Terraces,Lifestyle Estate Holdings Limited,"-1.36252, 36.92136",2,Apartments,77,200,12174005.0890585,93429.5354752343,30000,390,3003,139923.78536802,123660.884771413,2.46908850726552,5
Syokimau,Kenya,Lifestyle Terraces,Lifestyle Estate Holdings Limited,"-1.36252, 36.92136",3,Apartments,110,80,8000000,72727,40000,364,3000,94808.85,123660.884771413,2.4,5
Mlolongo,Kenya,Lone View Apartments,Suraya Property Group,"-1.38746, 36.92612",1,Apartments,111,40,4600000,93429.5354752343,28000,488.966974900925,3000,54515.09,54515.08872,1.9,6
Syokimau,Kenya,Lone View Apartments,Suraya Property Group,"-1.38746, 36.92612",2,Apartments,75,40,5750000,76667,28000,373,3003,68143.86,123660.884771413,2.4,5
Mlolongo,Kenya,Lone View Apartments,Suraya Property Group,"-1.38746, 36.92612",2,Apartments,75,40,6950000,92667,30000,400,3000,82365.19,82365.18839,2.7,4
Syokimau,Kenya,Lone View Apartments,Suraya Property Group,"-1.38746, 36.92612",3,Apartments,125,40,7800000,62400,35000,280,3003,92438.63,123660.884771413,2.6,5
Mlolongo,Kenya,Lone View Apartments,Suraya Property Group,"-1.38746, 36.92612",3,Apartments,77,40,8800000,114286,35000,455,3000,104289.73,104289.7349,3,4
Mlolongo,Kenya,Lone View Apartments,Suraya Property Group,"-1.38746, 36.92612",3,Apartments,96,40,10500000,109375,40000,417,3000,124436.62,124436.6156,3.1,4
Mlolongo,Kenya,Lone View Apartments,Suraya Property Group,"-1.38746, 36.92612",3,Apartments,125,40,12000000,96000,40000,320,3000,142213.27,142213.2749,3.6,3
Thindigua,Kenya,Mocah Courtyard Apartments,Qwanza Homes Ltd,"-1.20399, 36.84313",2,Apartments,100,40,9000000,90000,46000,460,3003,106659.96,123660.884771413,2.3,5
Thindigua,Kenya,Mocah Courtyard Apartments,Qwanza Homes Ltd,"-1.20399, 36.84313",3,Apartments,140,40,14200000,101429,63000,450,3003,168285.71,123660.884771413,2.7,5
Thindigua,Kenya,Mocah Courtyard Apartments,Qwanza Homes Ltd,"-1.20399, 36.84313",3,Apartments,170,40,18000000,105882,70000,412,3003,213319.91,123660.884771413,3,4
Thindigua,Kenya,Mocah Courtyard Apartments,Qwanza Homes Ltd,"-1.20399, 36.84313",3,Apartments,140,40,13000000,92857,50000,357,3000,154064.38,145505.2489,3.1,4
Athi River,Kenya,Moke Garden Apartments,Harun Nyamboki,"-1.43562, 37.02860",1,Apartments,21,40,1500000,71429,20000,952,3000,17776.66,17776.65936,0.9,14
Athi River,Kenya,Moke Garden Apartments,Harun Nyamboki,"-1.43562, 37.02860",1,Apartments,48,64,3500000,72917,12500,260,3003,41478.87,123660.884771413,3.3,4
Athi River,Kenya,Moke Garden Apartments,Harun Nyamboki,"-1.43562, 37.02860",1,Apartments,48,64,2985000,62188,25000,521,3000,35375.55,35375.55214,1.4,9
Athi River,Kenya,Moke Garden Apartments,Harun Nyamboki,"-1.43562, 37.02860",2,Apartments,83,98,4500000,54217,21000,253,3003,53329.98,123660.884771413,2.5,5
Athi River,Kenya,Moke Garden Apartments,Harun Nyamboki,"-1.43562, 37.02860",2,Apartments,83,98,4950000,59639,40000,482,3000,58662.98,58662.9759,1.5,8
Athi River,Kenya,Moke Garden Apartments,Harun Nyamboki,"-1.43562, 37.02860",3,Apartments,105,52,12174005.0890585,93429.5354752343,27500,262,3003,139923.78536802,123660.884771413,2.46908850726552,5
Athi River,Kenya,Moke Garden Apartments,Harun Nyamboki,"-1.43562, 37.02860",3,Apartments,105,52,5990000,57048,45000,429,3000,70988.13,70988.1264,1.6,8
Athi River,Kenya,Moke Garden Apartments,Harun Nyamboki,"-1.43562, 37.02860",4,Apartments,186,40,12500000,67385,60000,323,3000,148138.83,148138.828,2.5,5
Komarock,Kenya,Mowlem Heights,Cytonn Real Estate,"-1.25468, 36.91091",1,Apartments,55,40,5500000,100000,20000,364,3003,65181.08,123660.884771413,3.3,4
Komarock,Kenya,Mowlem Heights,Cytonn Real Estate,"-1.25468, 36.91091",1,Apartments,55,40,4500000,81818,20000,364,3000,53329.98,50367.20153,2.7,5
Komarock,Kenya,Mowlem Heights,Cytonn Real Estate,"-1.25468, 36.91091",2,Apartments,78,40,7000000,89744,30000,385,3003,82957.74,123660.884771413,2.8,4
Komarock,Kenya,Mowlem Heights,Cytonn Real Estate,"-1.25468, 36.91091",2,Apartments,78,40,6000000,76923,30000,385,3000,71106.64,67156.26871,2.4,5
Komarock,Kenya,Mowlem Heights,Cytonn Real Estate,"-1.25468, 36.91091",3,Apartments,100,40,8500000,85000,40000,400,3003,100734.4,123660.884771413,2.5,5
Komarock,Kenya,Mowlem Heights,Cytonn Real Estate,"-1.25468, 36.91091",3,Apartments,100,40,7500000,75000,40000,400,3000,88883.3,83945.33589,2.2,5
Thindigua,Kenya,Mugumo Executive Apartments,Banda Homes,"-1.20197, 36.83629",2,Apartments,96,340,5350000,55729,28000,292,3000,63403.42,59881.00627,2.3,5
Ruaka,Kenya,Mulberry Apartments,TRV Group,"-1.20454, 36.77397",2,Apartments,90,18,8000000,88889,35000,389,3003,94808.85,123660.884771413,2.7,4
Ruaka,Kenya,Mulberry Apartments,TRV Group,"-1.20454, 36.77397",2,Apartments,90,18,7500000,83333,30000,333,3000,88883.3,83945.33589,3,4
Ruaka,Kenya,Mulberry Apartments,TRV Group,"-1.20454, 36.77397",3,Apartments,110,18,8500000,77273,50000,455,3000,100734.4,95138.04734,2,6
Kitengela,Kenya,Mwalimu Kisaju Park,Mwalimu Asset Mgt Ltd,"-1.64834, 36.88250",1,Apartments,58,280,2900000,50000,15000,259,3003,34368.21,123660.884771413,2.3,5
Kitengela,Kenya,Mwalimu Kisaju Park,Mwalimu Asset Mgt Ltd,"-1.64834, 36.88250",1,Apartments,48,280,2900000,60417,18000,375,3000,34368.21,32458.86321,1.9,6
Kitengela,Kenya,Mwalimu Kisaju Park,Mwalimu Asset Mgt Ltd,"-1.64834, 36.88250",2,Apartments,86,280,4000000,46512,18000,209,3003,47404.42,123660.884771413,2.6,5
Kitengela,Kenya,Mwalimu Kisaju Park,Mwalimu Asset Mgt Ltd,"-1.64834, 36.88250",2,Apartments,56,40,3900000,69643,23000,411,3000,46219.31,43651.57466,2,6
Kitengela,Kenya,Mwalimu Kisaju Park,Mwalimu Asset Mgt Ltd,"-1.64834, 36.88250",3,Apartments,139,260,5000000,35971,30000,216,3003,59255.53,123660.884771413,2,6
Kitengela,Kenya,Mwalimu Kisaju Park,Mwalimu Asset Mgt Ltd,"-1.64834, 36.88250",3,Apartments,70,40,4900000,70000,28000,400,3000,58070.42,54844.28611,2.1,6
Kitengela,Kenya,Mwalimu Kisaju Park,Mwalimu Asset Mgt Ltd,"-1.64834, 36.88250",3,Apartments,116,40,8400000,72414,33000,284,3000,99549.29,94018.7762,3,4
Kitengela,Kenya,Mwalimu Kisaju Park,Mwalimu Asset Mgt Ltd,"-1.64834, 36.88250",3,Apartments,130,40,9600000,73846,38000,292,3000,113770.62,107450.0299,3,4
Ruaka,Kenya,Nalani Homes,Allen Street Investments,"-1.20934, 36.78474",2,Apartments,97,40,8000000,82216,45000,462,3003,94808.85,123660.884771413,2.1,6
Ruaka,Kenya,Nalani Homes,Allen Street Investments,"-1.20934, 36.78474",2,Apartments,88,40,9000000,102273,40000,455,3000,106659.96,100734.4031,2.7,5
Lavington,Kenya,Natureville Meadows Apartments,Natureville,"-1.28249, 36.73639",2,Apartments,80,30,12174005.0890585,93429.5354752343,50000,625,3003,139923.78536802,123660.884771413,2.46908850726552,5
Lavington,Kenya,Natureville Meadows Apartments,Natureville,"-1.28249, 36.73639",2,Apartments,80,30,7295000,91188,37000,463,3003,86453.82,123660.884771413,2.3,5
Dagoretti,Kenya,Natureville Valley Apartments,Natureville,"-1.27404, 36.73427",1,Apartments,40,2,12174005.0890585,93429.5354752343,59775.1237623762,488.966974900925,3003,139923.78536802,123660.884771413,2.46908850726552,5
Dagoretti,Kenya,Natureville Valley Apartments,Natureville,"-1.27404, 36.73427",2,Apartments,80,23,4900000,61250,59775.1237623762,488.966974900925,3003,58070.42,123660.884771413,2.46908850726552,5
Dagoretti,Kenya,Natureville Valley Apartments,Natureville,"-1.27404, 36.73427",1,Apartments,41,2,12174005.0890585,93429.5354752343,20000,488,3003,139923.78536802,123660.884771413,2.46908850726552,5
Dagoretti,Kenya,Natureville Valley Apartments,Natureville,"-1.27404, 36.73427",2,Apartments,80,23,7250000,90625,37000,463,3003,85920.52,123660.884771413,2.3,5
Athi River,Kenya,NHC Stone Athi View,National Housing Corporation,"-1.44502, 37.00869",1,Apartments,35,50,12174005.0890585,93429.5354752343,9000,257,3003,139923.78536802,123660.884771413,2.46908850726552,5
Athi River,Kenya,NHC Stone Athi View,National Housing Corporation,"-1.44502, 37.00869",1,Maisonette,45,100,12174005.0890585,93429.5354752343,11500,256,3003,139923.78536802,123660.884771413,2.46908850726552,5
Athi River,Kenya,NHC Stone Athi View,National Housing Corporation,"-1.44502, 37.00869",2,Maisonette,55,10,12174005.0890585,93429.5354752343,16500,300,3003,139923.78536802,123660.884771413,2.46908850726552,5
Athi River,Kenya,NHC Stone Athi View,National Housing Corporation,"-1.44502, 37.00869",4,Maisonette,139,41,8750000,62950,28000,201,3000,103697.18,103697.1796,3.7,3
Athi River,Kenya,NHC Stone Athi View,National Housing Corporation,"-1.44502, 37.00869",4,Maisonette,153,12,8850000,57843,30000,196,3000,104882.29,104882.2903,3.5,3
Athi River,Kenya,NHC Stone Athi View,National Housing Corporation,"-1.44502, 37.00869",4,Maisonette,164,19,9750000,59451,35000,213,3000,115548.29,115548.2859,3.3,4
Ruiru,Kenya,Oak Ridge Estate,Banda Homes,"-1.06091, 36.92265",3,Bungalows,135,45,4250000,31481,30000,222,3000,50367.2,47569.02367,1.7,7
Juja,Kenya,Oak Wood Estate,Banda Homes,"-1.04988, 36.95458",3,Bungalows,138,50,5500000,39855,30000,217,3000,65181.08,61559.91299,2.2,6
Syokimau,Kenya,Olonyori Apartments,Heritans Limited,"-1.37710, 36.93880",2,Apartments,90,240,6700000,74444,30000,333,3003,79402.41,123660.884771413,2.6,5
Syokimau,Kenya,Olonyori Apartments,Heritans Limited,"-1.37710, 36.93880",2,Apartments,90,240,5500000,61111,28000,311,3000,65181.08,65181.08434,2.3,5
Riverside,Kenya,One Riverside Apartment,AMS Properties,"-1.26937, 36.79385",4,Apartments,288,12,42000000,145833,330000,1146,3003,497746.46,123660.884771413,1.5,8
Kitengela,Kenya,Osoit Gardens,Mahiga Homes,"-1.21526, 36.86898",3,Bungalows,110,31,4850000,44091,30000,273,3000,57477.87,54284.65054,1.9,6
Juja,Kenya,Pinewood Estate,Banda Homes,"-1.08314, 36.98371",3,Bungalows,130,96,3990000,30692,30000,231,3000,47285.91,44658.91869,1.6,8
Juja,Kenya,Pinewood Estate,Banda Homes,"-1.08314, 36.98371",3,Bungalows,135,145,4990000,36963,30000,222,3000,59137.02,55851.63015,2,6
Racecourse,Kenya,Racecourse Gardens Apartments,Peninsula Development Company Ltd,"-1.29932, 36.74658",1,Apartments,25,50,3300000,132000,22000,880,3003,39108.65,123660.884771413,1.8,7
Racecourse,Kenya,Racecourse Gardens Apartments,Peninsula Development Company Ltd,"-1.29932, 36.74658",1,Apartments,40,180,4600000,115000,32000,800,3003,54515.09,123660.884771413,1.7,7
Racecourse,Kenya,Racecourse Gardens Apartments,Peninsula Development Company Ltd,"-1.29932, 36.74658",2,Apartments,66,206,8000000,121212,42000,636,3003,94808.85,123660.884771413,2.3,5
Racecourse,Kenya,Racecourse Gardens Apartments,Peninsula Development Company Ltd,"-1.29932, 36.74658",1,Apartments,25,50,3500000,140000,25000,1000,3000,41478.87,39174.49008,1.7,7
Racecourse,Kenya,Racecourse Gardens Apartments,Peninsula Development Company Ltd,"-1.29932, 36.74658",1,Apartments,40,180,4800000,120000,35000,875,3000,56885.31,53725.01497,1.6,7
Racecourse,Kenya,Racecourse Gardens Apartments,Peninsula Development Company Ltd,"-1.29932, 36.74658",1,Apartments,40,40,5000000,125000,38000,950,3000,59255.53,55963.55726,1.6,8
