area,Country,project_name,developer,Google Pin Location,number_of_bedrooms,typology,unit_plinth_area_sqm,total_units, Unit Price, price_per_sqm, Rent per Month,rent_per_sqm,service_charge,"Mortgage Installments (90%present value, 20years tenor, 15% interest rate)",mortgage_installments, mortgage_to_rent_ratio,"Projected Yield assuming 90% occupancy rate, 6% stamp duty"
Kilimani,Kenya,Silverstone,Cytonn Real Estate,"-1.29377, 36.79246",2,Apartments,111,52,13500000,93429.5354752343,150000,488.966974900925,3003,159989.93,123660.884771413,1.1,11
Embakasi,Kenya,Simba Villas Estate,Cytonn Real Estate,"-1.30991, 36.92022",3,Apartments,108,40,9000000,83333,35000,324,3000,106659.96,100734.4031,3,4
Karen,Kenya,Situ Village,Cytonn Real Estate,"-1.34779, 36.69183",3,Bungalows,221,10,12174005.0890585,93429.5354752343,59775.1237623762,488.966974900925,3003,139923.78536802,123660.884771413,2.46908850726552,5
Karen,Kenya,Situ Village,Cytonn Real Estate,"-1.34779, 36.69183",4,Bungalows,380,50,12174005.0890585,93429.5354752343,59775.1237623762,488.966974900925,3003,139923.78536802,123660.884771413,2.46908850726552,5
Karen,Kenya,Situ Village,Cytonn Real Estate,"-1.34779, 36.69183",2.64383561643836,Bungalows,111,60,12174005.0890585,93429.5354752343,59775.1237623762,488.966974900925,3003,139923.78536802,123660.884771413,2.46908850726552,5
Embakasi,Kenya,Skyline Apartments,Cytonn Real Estate,"-1.31556, 36.91177",3,Apartments,120,40,6500000,54321,25000,209,3000,77032.19,72752.62444,3.1,4
Ngong,Kenya,Sopa apartments,Cytonn Real Estate,"-1.36147, 36.65268",2,Apartments,90,40,4700000,52222,25000,278,3003,55700.2,123660.884771413,2.2,5
Ngong,Kenya,South End Apartments,Cytonn Real Estate,"-1.35670, 36.65547",2,Apartments,120,40,6500000,54167,30000,250,3003,77032.19,123660.884771413,2.6,5
Kileleshwa,Kenya,Southern Oasis,Cytonn Real Estate,"-1.28617, 36.77806",3,Apartments,247,30,23500000,95142,150000,607,3003,278501,123660.884771413,1.9,7
Westlands,Kenya,St Michael Gardens,Cytonn Real Estate,"-1.26187, 36.78508",2,Apartments,152,40,18000000,118098,100000,656,3003,213319.91,123660.884771413,2.1,6
Malaa,Kenya,Stima Plains,Stima Sacco,"-1.27696, 37.13967",2,Apartments,60,40,4000000,66667,25000,417,3000,47404.42,44770.84581,1.9,6
Malaa,Kenya,Stima Plains,Stima Sacco,"-1.27696, 37.13967",3,Bungalows,83,40,5940000,71566,30000,361,3000,70395.57,66484.70602,2.3,5
Malaa,Kenya,Stima Plains,Stima Sacco,"-1.27696, 37.13967",3,Bungalows,88,40,6780000,77045,35000,398,3000,80350.5,75886.58364,2.3,5
Syokimau,Kenya,Stima Village,Stima Sacco,"-1.34975, 36.94343",3,Maisonette,124,40,10500000,84677,40000,323,3000,124436.62,124436.6156,3.1,4
Syokimau,Kenya,Stima Village,Stima Sacco,"-1.34975, 36.94343",4,Maisonette,141,40,11500000,81560,50000,355,3000,136287.72,136287.7218,2.7,4
Athi River,Kenya,Sun city,Cytonn Real Estate,"-1.45420, 36.97653",1,Apartments,50,175,2600000,52000,15000,300,3003,30812.88,123660.884771413,2.1,6
Athi River,Kenya,Sun city,Cytonn Real Estate,"-1.45420, 36.97653",2,Apartments,80,1050,4500000,56250,25000,313,3003,53329.98,123660.884771413,2.1,6
Athi River,Kenya,Sun city,Cytonn Real Estate,"-1.45420, 36.97653",3,Apartments,110,2275,6000000,54545,33000,300,3003,71106.64,123660.884771413,2.2,6
Kileleshwa,Kenya,Sunny Heights,Cytonn Real Estate,"-1.28647, 36.78010",3,Apartments,258,39,25000000,96899,120000,465,3003,296277.66,123660.884771413,2.5,5
Loresho,Kenya,sunny side,Cytonn Real Estate,"-1.26199, 36.74153",2,Apartments,110,20,15000000,136364,60000,545,3003,177766.59,123660.884771413,3,4
Loresho,Kenya,sunny side,Cytonn Real Estate,"-1.26199, 36.74153",3,Apartments,150,45,20000000,133333,80000,533,3003,237022.12,123660.884771413,3,4
Imara Daima,Kenya,Sunrise Park Estate,TRV Group,"-1.32418, 36.87715",2,Apartments,111,40,7000000,93429.5354752343,35000,488.966974900925,3000,82957.74,78348.98016,2.4,5
Lang'ata,Kenya,Sunvalley Apartments,Cytonn Real Estate,"-1.32687, 36.77424",1,Apartments,50,16,6000000,120000,27500,550,3003,71106.64,123660.884771413,2.6,5
South C,Kenya,Taah Heights,Marwa Properties Ltd,"-1.32562, 36.84194",3,Apartments,110,40,12500000,113636,75000,682,3003,148138.83,123660.884771413,2,6
Riverside,Kenya,Taj View,Cytonn Real Estate,"-1.27270, 36.80311",3,Apartments,185,40,20000000,108108,80000,432,3003,237022.12,123660.884771413,3,4
Riverside,Kenya,Taj View,Cytonn Real Estate,"-1.27270, 36.80311",4,Apartments,151,40,25000000,165563,120000,795,3003,296277.66,123660.884771413,2.5,5
Embakasi,Kenya,Tamarind Valley,Cherwell Limited,"-1.29816, 36.98646",2,Apartments,70,40,4950000,70714,25000,357,3000,58662.98,55403.92169,2.3,5
Embakasi,Kenya,Tamarind Valley,Cherwell Limited,"-1.29816, 36.98646",3,Apartments,100,40,6950000,69500,30000,300,3000,82365.19,77789.34459,2.7,4
Embakasi,Kenya,Tamarind Valley,Cherwell Limited,"-1.29816, 36.98646",3,Apartments,129,40,9500000,73643,35000,271,3000,112585.51,106330.7588,3.2,4
Nkoroi,Kenya,Tamboti Homes,Cytonn Real Estate,"-1.40699, 36.71773",1,Apartments,111,40,3500000,93429.5354752343,6000,488.966974900925,3000,41478.87,39174.49008,6.9,2
Nkoroi,Kenya,Tamboti Homes,Cytonn Real Estate,"-1.40699, 36.71773",2,Apartments,111,40,5500000,93429.5354752343,12000,488.966974900925,3000,65181.08,61559.91299,5.4,2
Nkoroi,Kenya,Tamboti Homes,Cytonn Real Estate,"-1.40699, 36.71773",3,Maisonette,111,40,11500000,93429.5354752343,20000,488.966974900925,3000,136287.72,128716.1817,6.8,2
Lavington,Kenya,Tashana Apartments,Siavonga Gardens Ltd,"-1.28492, 36.77781",1,Apartments,81,40,14000000,173697,70000,868,3000,165915.49,156697.9603,2.4,5
Lavington,Kenya,Tashana Apartments,Siavonga Gardens Ltd,"-1.28492, 36.77781",2,Apartments,166,40,18000000,108565,80000,483,3000,213319.91,201468.8061,2.7,5
