Year,Urban population (%),Country
2000,45.542,Cameroon
2001,46.139,Cameroon
2002,46.738,Cameroon
2003,47.338,Cameroon
2004,47.94,Cameroon
2005,48.541,Cameroon
2006,49.143,Cameroon
2007,49.746,Cameroon
2008,50.35,Cameroon
2009,50.954,Cameroon
2010,51.559,Cameroon
2011,52.164,Cameroon
2012,52.769,Cameroon
2013,53.373,Cameroon
2014,53.976,Cameroon
2015,54.578,Cameroon
2016,55.179,Cameroon
