Country Name,Time,"Population, total [SP.POP.TOTL]",GDP (constant 2015 US$) [NY.GDP.MKTP.KD],GDP growth (annual %) [NY.GDP.MKTP.KD.ZG],GDP per capita (constant 2015 US$) [NY.GDP.PCAP.KD],GDP per capita growth (annual %) [NY.GDP.PCAP.KD.ZG],Net migration [SM.POP.NETM],Population density (people per sq. km of land area) [EN.POP.DNST],Population in largest city [EN.URB.LCTY],Population in the largest city (% of urban population) [EN.URB.LCTY.UR.ZS],Population growth (annual %) [SP.POP.GROW],Urban population growth (annual %) [SP.URB.GROW],Population ages 0-14 (% of total population) [SP.POP.0014.TO.ZS],"Population ages 0-14, female (% of female population) [SP.POP.0014.FE.ZS]","Population ages 0-14, male (% of male population) [SP.POP.0014.MA.ZS]","Population ages 0-14, total [SP.POP.0014.TO]","Population ages 15-19, female (% of female population) [SP.POP.1519.FE.5Y]","Population ages 15-19, male (% of male population) [SP.POP.1519.MA.5Y]","Population ages 20-24, female (% of female population) [SP.POP.2024.FE.5Y]","Population ages 20-24, male (% of male population) [SP.POP.2024.MA.5Y]","Population ages 25-29, female (% of female population) [SP.POP.2529.FE.5Y]","Population ages 25-29, male (% of male population) [SP.POP.2529.MA.5Y]","Population ages 30-34, female (% of female population) [SP.POP.3034.FE.5Y]","Population ages 30-34, male (% of male population) [SP.POP.3034.MA.5Y]","Population ages 35-39, female (% of female population) [SP.POP.3539.FE.5Y]","Population ages 35-39, male (% of male population) [SP.POP.3539.MA.5Y]","Population ages 40-44, female (% of female population) [SP.POP.4044.FE.5Y]","Population ages 40-44, male (% of male population) [SP.POP.4044.MA.5Y]","Population ages 45-49, female (% of female population) [SP.POP.4549.FE.5Y]","Population ages 45-49, male (% of male population) [SP.POP.4549.MA.5Y]","Population ages 50-54, female (% of female population) [SP.POP.5054.FE.5Y]","Population ages 50-54, male (% of male population) [SP.POP.5054.MA.5Y]","Population ages 55-59, female (% of female population) [SP.POP.5559.FE.5Y]","Population ages 55-59, male (% of male population) [SP.POP.5559.MA.5Y]","Population ages 60-64, female (% of female population) [SP.POP.6064.FE.5Y]","Population ages 60-64, male (% of male population) [SP.POP.6064.MA.5Y]",Population ages 65 and above (% of total population) [SP.POP.65UP.TO.ZS],"Population ages 65 and above, female [SP.POP.65UP.FE.IN]","Population ages 65 and above, male [SP.POP.65UP.MA.IN]","Population ages 65-69, female (% of female population) [SP.POP.6569.FE.5Y]","Population ages 65-69, male (% of male population) [SP.POP.6569.MA.5Y]","Population ages 70-74, female (% of female population) [SP.POP.7074.FE.5Y]","Population ages 70-74, male (% of male population) [SP.POP.7074.MA.5Y]","Population ages 75-79, female (% of female population) [SP.POP.7579.FE.5Y]","Population ages 75-79, male (% of male population) [SP.POP.7579.MA.5Y]","Population ages 80 and above, female (% of female population) [SP.POP.80UP.FE.5Y]","Population ages 80 and above, male (% of male population) [SP.POP.80UP.MA.5Y]",Urban population [SP.URB.TOTL],Urban population (% of total population) [SP.URB.TOTL.IN.ZS]
Cameroon,1960.0,5117608.0,4827329385.417281,,943.2784584941404,,0.0,,152612.0,21.39697521595085,,,39.0454523915716,38.3708359368861,39.7539129140636,1998193.0,9.69681294627564,9.85588233585631,8.74038402116717,8.75252059188615,7.69760869880347,7.64799707714499,6.75098362794487,6.67855946032943,5.90665052273235,5.80512817636642,5.09249192612548,5.01003629732438,4.36813205677233,4.26800529366861,3.70951904656182,3.5683388620936,3.08510508434748,2.89447175384721,2.46177831997797,2.25000946442568,3.82481462284867,107995.0,87744.0,1.82195285147199,1.62121104988223,1.20511112687866,1.03655992463713,0.675016346114965,0.551340352965991,0.417617487939733,0.306026445508244,713241.0,13.937
Cameroon,1961.0,5200355.0,4884469557.036808,1.183680811011982,939.2569463117052,-0.4263335122541605,0.0,11.001152926741554,161214.0,21.39742801890561,1.60397501025788,5.481276043482473,39.4290043111484,38.5424335489137,40.3687457577838,2050448.0,9.67936505326476,9.8666000653997,8.67911392073928,8.58467092088201,7.67478935885717,7.5043281250588,6.72635299516644,6.56936200436011,5.88270466740262,5.73055443376082,5.08246265337956,4.95855279302461,4.35404753131495,4.23226359999786,3.69893545221419,3.54715126086537,3.07891465903901,2.88035955177242,2.46098663690945,2.24204899510849,3.83671920827705,110778.0,88745.0,1.82670884098602,1.61898912507207,1.21025696986185,1.03655153850709,0.679608711607928,0.551460867233266,0.423319000343065,0.308360961173534,753427.0,14.488
Cameroon,1962.0,5303841.0,5033033582.932091,3.041559050793012,948.9412640635514,1.0310616056527238,0.0,11.220073618074506,170313.0,21.325057722262013,1.97043825707522,5.829317430641845,39.739317198547,38.743356292912,40.7987313867957,2107710.0,9.64883915736029,9.86169337917679,8.60470262895102,8.48465818084119,7.65580018948054,7.4176752557975,6.70029519458334,6.49156504901363,5.85780180628358,5.67356555834214,5.07279271633885,4.91496178771584,4.340037091364,4.20199914359659,3.68879833491234,3.52687622286021,3.07161486434583,2.86926268569431,2.458711166549,2.23520899686601,3.85030432193427,113651.0,90563.0,1.83007838934227,1.61852850751376,1.21474217112507,1.03898736620156,0.683702844768618,0.554385993582616,0.428727151683194,0.311900486002123,798652.0,15.058
Cameroon,1963.0,5427511.0,5221397397.4331045,3.742550320740733,962.0242865344916,1.3786967609476903,0.0,11.481692792621269,179927.0,21.186751024147387,2.30493744253899,6.142005798104108,40.019489598408,39.0069376729253,41.0946209346648,2172062.0,9.56537714283363,9.77746999041562,8.52892104275998,8.4564176767364,7.63376571476921,7.38450977792585,6.67335336480625,6.44886489903355,5.83200645844167,5.63614924580489,5.0635012717785,4.88178318794686,4.3263366285625,4.17894787626087,3.679222382443,3.50878225989958,3.06359178727499,2.86167537035468,2.45517023263735,2.23035250221375,3.86558441480675,116607.0,93199.0,1.83199071661619,1.6199230438735,1.21857828776522,1.04383475364201,0.687381120148946,0.559924388649332,0.433866176237249,0.316744092578319,849243.0,15.647
Cameroon,1964.0,5556209.0,5406608701.425592,3.547159694903513,973.0751131617966,1.1487055765622642,-15.0,11.753948509657084,190097.0,21.047940458079506,2.34353916911816,6.155657487997533,40.4106379007701,39.3712287893999,41.512260605573,2245299.0,9.3949098057597,9.57321903966776,8.4686217788396,8.44710735866187,7.59660420521682,7.34312827377984,6.64532343651074,6.40640414268814,5.80426258294477,5.59600634541902,5.0470821979621,4.84744635440552,4.31517438952299,4.15427346323968,3.66814396099103,3.48894241409902,3.05441386861059,2.85225027702818,2.45044301340059,2.22477078675262,3.87813885330807,119608.0,95870.0,1.83232301326067,1.61975754982893,1.22207336567757,1.04798028011636,0.690789588747844,0.565067052127269,0.438606003155137,0.321386056612734,903162.0,16.255
Cameroon,1965.0,5690086.0,5516149497.878453,2.0260537150390974,969.43165672337,-0.374427049787343,-51.0,12.037160203930528,204834.0,21.32605646927028,2.38093210842847,6.153850817990308,40.804711985435,39.7492145969501,41.9213235466972,2321823.0,9.21791992418696,9.37583973931237,8.42861101220629,8.45442758486001,7.54361275317806,7.29697522057002,6.61465004245168,6.36279631608737,5.7756332667314,5.55397026034405,5.02413515069021,4.81302859498842,4.30673854364506,4.12823531326458,3.65576723181727,3.46836070227975,3.04470921497984,2.84094546283086,2.44506964827242,2.21890093833804,3.88841257306239,122676.0,98577.0,1.83151598215508,1.61823077437753,1.22543217038926,1.05144855596484,0.694063995626802,0.569657449651808,0.442926466719577,0.325859540433165,960487.0,16.88
Cameroon,1966.0,5829580.0,5770717349.0859165,4.614955619048615,989.9027629925168,2.111660592799126,-109.0,12.332254447758668,220736.0,21.606172073364828,2.42195943414093,6.171813779253721,41.1471066526233,40.0916256726892,42.2616622952126,2398703.0,9.08825542167548,9.25441580339707,8.39730553591533,8.46102951886497,7.47861071246191,7.25208177493378,6.58453064470287,6.32069226621185,5.74619281202376,5.51087114843864,4.9989997124382,4.77789874661473,4.29659411269817,4.10005004512526,3.64213217890018,3.44720627232237,3.03442826134658,2.82744377329664,2.43888142801654,2.21275984934971,3.89672154769297,125827.0,101335.0,1.82984156714167,1.61567459876612,1.22838318461501,1.05420990949909,0.697178721495562,0.573720278432879,0.447040033879523,0.330283719534281,1021634.0,17.525
Cameroon,1967.0,5975087.0,5141012887.010712,-10.91206558877728,860.4080387466679,-13.08156003670311,-163.0,12.640068964058305,237873.0,21.88609840385401,2.46537017800941,6.189685931260327,41.4912836004494,40.4366991105981,42.6028713002668,2479140.0,8.98300692902184,9.15999581976303,8.35649068061157,8.44303017677315,7.40321408379826,7.20972276365917,6.55831403531745,6.28347025672018,5.71559912940007,5.46722398575969,4.97160700765436,4.74168129405836,4.2843307503535,4.06907910342168,3.62692897944221,3.42513009956252,3.02343826311823,2.81165626076428,2.43137877766713,2.20591723543328,3.90288008334606,129055.0,104146.0,1.8272847010831,1.61217576521369,1.23064293906241,1.05612861929111,0.700077279034389,0.577292100245933,0.450987333837438,0.334625219067106,1086868.0,18.19
Cameroon,1968.0,6127193.0,5467278214.184309,6.346323853767018,892.2973724157716,3.706303548204403,-218.0,12.96184341350934,256366.0,22.16724830264901,2.51380747847747,6.210495446605722,41.831883036154,40.7790155230124,42.9396688076859,2563120.0,8.93673811422378,9.13685190627745,8.27142750277339,8.35841516012429,7.3272342680883,7.17593953232504,6.52983560217924,6.24671876452221,5.68427469349491,5.4238707316726,4.94242335980188,4.70411315165232,4.26995048488524,4.03618548578194,3.61029010350266,3.40196819703071,3.01182728440393,2.79402591160781,2.42289823378583,2.19802376472736,3.90715649948977,132384.0,107015.0,1.82418075643052,1.60789958226261,1.2322913035797,1.05707905359749,0.702872704295607,0.580411306792063,0.454740065542669,0.338828643940212,1156508.0,18.875
Cameroon,1969.0,6286232.0,5735255736.38801,4.90147952428066,912.3519043503342,2.247516641259125,-291.0,13.298284360390092,276241.0,22.446646341463413,2.56251119418139,6.214224045729359,42.1613376661886,41.1112603418868,43.2642278762869,2650360.0,8.98363231676121,9.22797331845626,8.11097387055377,8.17122684840532,7.26471115693272,7.15831578748242,6.48858345748385,6.20305285575134,5.65221138013193,5.380763854835,4.91182660798533,4.66431257908272,4.2498371616203,4.00250879439742,3.59590617714487,3.37752805800495,2.99923840548038,2.77500318410105,2.41390527192651,2.18878612609301,3.90985410656177,135826.0,109957.0,1.82071552620281,1.60318876508901,1.23328626094355,1.05710524200065,0.705635566541701,0.583200112067311,0.458276498404223,0.342806597946618,1230656.0,19.577
