,population_growth,population_growth_rate,population,year,city,country
475,49210,0.0240497631188745,2095384,1990,Kano,Nigeria
476,47988,0.0240157823145592,2046174,1989,Kano,Nigeria
477,46991,0.0240831900450748,1998186,1988,Kano,Nigeria
478,45823,0.0240493719861527,1951195,1987,Kano,Nigeria
479,44748,0.0240499961303304,1905372,1986,Kano,Nigeria
480,43636,0.0240155686223575,1860624,1985,Kano,Nigeria
481,42730,0.0240833069373225,1816988,1984,Kano,Nigeria
482,154689,0.0955124480648863,1774258,1983,Kano,Nigeria
483,141202,0.0955121427899838,1619569,1982,Kano,Nigeria
484,128721,0.0953738980443761,1478367,1981,Kano,Nigeria
485,117824,0.0956501832245242,1349646,1980,Kano,Nigeria
486,107396,0.095511843376087,1231822,1979,Kano,Nigeria
487,98033,0.0955121478809772,1124426,1978,Kano,Nigeria
488,89368,0.095374189589392,1026393,1977,Kano,Nigeria
489,81802,0.0956499065156104,937025,1976,Kano,Nigeria
490,74563,0.095512771244844,855223,1975,Kano,Nigeria
491,68062,0.095512476880373,780660,1974,Kano,Nigeria
492,62046,0.0953743897490131,712598,1973,Kano,Nigeria
493,56793,0.0956499185696553,650552,1972,Kano,Nigeria
494,51767,0.0955124798890021,593759,1971,Kano,Nigeria
495,47253,0.095510966388338,541992,1970,Kano,Nigeria
496,43077,0.0953744171526496,494739,1969,Kano,Nigeria
497,39430,0.0956500223175298,451662,1968,Kano,Nigeria
498,35940,0.0955109329988412,412232,1967,Kano,Nigeria
499,32807,0.095512176659825,376292,1966,Kano,Nigeria
500,29908,0.0953768930757039,343485,1965,Kano,Nigeria
501,25840,0.0898042309470106,313577,1964,Kano,Nigeria
502,21017,0.0787979904019196,287737,1963,Kano,Nigeria
503,19482,0.0787985665633923,266720,1962,Kano,Nigeria
504,18035,0.0786857065570694,247238,1961,Kano,Nigeria
505,16764,0.0789120641690084,229203,1960,Kano,Nigeria
506,15517,0.0787976965499031,212439,1959,Kano,Nigeria
507,14384,0.0788000306785436,196922,1958,Kano,Nigeria
508,13315,0.0786831577267865,182538,1957,Kano,Nigeria
509,12377,0.0789117988345255,169223,1956,Kano,Nigeria
510,11457,0.0788023853248869,156846,1955,Kano,Nigeria
511,10619,0.0787935000371002,145389,1954,Kano,Nigeria
512,6142,0.0477501010666416,134770,1953,Kano,Nigeria
513,2810,0.0223338473032475,128628,1952,Kano,Nigeria
514,2745,0.0223038359347704,125818,1951,Kano,Nigeria
515,0,0.0,123073,1950,Kano,Nigeria
