,city,Population,Land Area (Sq. Km),Population Density (No. per Sq. Km),country,year
121,AthiRiver,322499,827.2,390,Kenya,2019
122,Kalama,54462,487.2,112,Kenya,2019
123,Kangundo,97917,172.7,567,Kenya,2019
124,Kathiani,111890,205.6,544,Kenya,2019
125,Machakos,170606,280.2,609,Kenya,2019
126,Masinga,148522,1405.7,106,Kenya,2019
127,Matungulu,161557,581.4,278,Kenya,2019
128,Mwala,181896,1020.3,178,Kenya,2019
129,Yatta,172583,1062.4,162,Kenya,2019
130,Makueni,987653,8169.8,121,Kenya,2019
131,Kathonzweni,79780,880.7,91,Kenya,2019
132,Kibwezi,197000,3137.4,63,Kenya,2019
133,Kilungu,60952,154.3,395,Kenya,2019
134,Makindu,84946,852.1,100,Kenya,2019
135,Makueni,130375,609.3,214,Kenya,2019
136,MbooniEast,97756,686.5,142,Kenya,2019
137,MbooniWest,102594,270.7,379,Kenya,2019
138,Mukaa,107549,803.7,134,Kenya,2019
139,Nzaui,126701,775.2,163,Kenya,2019
140,Nyandarua,638289,3285.7,194,Kenya,2019
141,Kinangop,111410,293.6,379,Kenya,2019
142,NyandaruaSouth,93870,313.6,299,Kenya,2019
143,Mirangine,67214,245.6,274,Kenya,2019
144,Kipipiri,93855,456.3,206,Kenya,2019
145,NyandaruaCentral,75262,346.6,217,Kenya,2019
146,NyandaruaWest,97965,384.9,255,Kenya,2019
147,NyandaruaNorth,98698,528.4,187,Kenya,2019
148,AberdareNationalPark*,15,716.7,0,Kenya,2019
149,Nyeri,759164,3325.0,228,Kenya,2019
150,Tetu,80453,216.5,372,Kenya,2019
151,KieniEast,110376,448.7,246,Kenya,2019
152,KieniWest,88525,517.8,171,Kenya,2019
153,MathiraEast,99065,130.4,760,Kenya,2019
154,MathiraWest,59895,162.3,369,Kenya,2019
155,NyeriSouth,91081,169.2,538,Kenya,2019
156,Mukurwe-ini,89137,179.1,498,Kenya,2019
157,NyeriCentral,140338,167.6,837,Kenya,2019
158,MtKenyaForest*,188,611.4,0,Kenya,2019
159,AberdareForest*,106,722.0,0,Kenya,2019
160,Kirinyaga,610411,1478.3,413,Kenya,2019
161,KirinyagaCentral,122740,153.3,800,Kenya,2019
162,KirinyagaEast,135559,231.8,585,Kenya,2019
163,KirinyagaWest,114660,207.8,552,Kenya,2019
164,MweaEast,132554,303.0,437,Kenya,2019
165,MweaWest,104828,239.4,438,Kenya,2019
166,MtKenyaForest*,70,343.0,0,Kenya,2019
167,Murang'a,1056640,2524.2,419,Kenya,2019
168,Murang'aEast,110311,240.8,458,Kenya,2019
169,Kangema,80447,173.7,463,Kenya,2019
170,Mathioya,92814,177.5,523,Kenya,2019
171,Kahuro,88193,169.4,521,Kenya,2019
172,Murang'aSouth,184824,456.9,405,Kenya,2019
173,Gatanga,187989,532.3,353,Kenya,2019
174,Kigumo,136921,244.2,561,Kenya,2019
175,Kandara,175098,234.6,746,Kenya,2019
176,AberdareForest,43,294.7,0,Kenya,2019
177,Kiambu,2417735,2538.6,952,Kenya,2019
178,GatunduNorth,109870,285.9,384,Kenya,2019
179,GatunduSouth,122103,193.6,631,Kenya,2019
180,Githunguri,165232,174.4,948,Kenya,2019
181,Juja,300948,342.0,880,Kenya,2019
182,Kabete,199653,60.7,3289,Kenya,2019
183,Kiambaa,236400,91.1,2595,Kenya,2019
184,Kiambu,145903,98.3,1484,Kenya,2019
185,Kikuyu,187122,172.9,1082,Kenya,2019
186,Lari,135303,432.3,313,Kenya,2019
187,Limuru,159314,285.1,559,Kenya,2019
188,Ruiru,371111,201.1,1846,Kenya,2019
189,ThikaEast,38956,109.9,354,Kenya,2019
190,ThikaWest,245820,91.4,2689,Kenya,2019
191,Turkana,926976,68232.9,14,Kenya,2019
192,Kibish,36769,10466.1,4,Kenya,2019
193,Loima,107795,9113.3,12,Kenya,2019
194,TurkanaCentral,185305,6415.2,29,Kenya,2019
195,TurkanaEast,138526,11395.6,12,Kenya,2019
196,TurkanaNorth,65218,7012.2,9,Kenya,2019
197,TurkanaSouth,153736,7051.5,22,Kenya,2019
198,TurkanaWest,239627,16778.9,14,Kenya,2019
199,WestPokot,621241,9123.2,68,Kenya,2019
200,Kipkomo,102633,765.6,134,Kenya,2019
201,PokotCentral,119016,2055.2,58,Kenya,2019
202,PokotNorth,134485,3910.9,34,Kenya,2019
203,PokotSouth,80661,536.7,150,Kenya,2019
204,WestPokot,184446,1854.8,99,Kenya,2019
205,Samburu,310327,21065.1,15,Kenya,2019
206,SamburuCentral,164942,3674.4,45,Kenya,2019
207,SamburuEast,77994,1015.9,8,Kenya,2019
208,SamburuNorth,67391,7374.8,9,Kenya,2019
209,TransNzoia,990341,2495.2,397,Kenya,2019
210,TransNzoiaWest,202377,355.4,569,Kenya,2019
211,TransNzoiaEast,229538,629.1,365,Kenya,2019
212,Kwanza,203821,465.3,438,Kenya,2019
213,Endebess,111782,678.4,165,Kenya,2019
214,Kiminini,242823,366.9,662,Kenya,2019
215,UasinGishu,1163186,3392.2,343,Kenya,2019
216,Ainabkoi,138184,492.9,280,Kenya,2019
217,Kapseret,198499,299.3,663,Kenya,2019
218,Kesses,148798,731.0,204,Kenya,2019
219,Moiben,181338,769.8,236,Kenya,2019
220,Soy,229094,667.6,343,Kenya,2019
221,Turbo,267273,431.4,620,Kenya,2019
222,Elgeyo/Marakwet,454480,3032.0,150,Kenya,2019
223,KeiyoNorth,99176,543.2,183,Kenya,2019
224,KeiyoSouth,120750,897.8,134,Kenya,2019
225,MarakwetEast,97041,853.2,114,Kenya,2019
226,MarakwetWest,137513,737.9,186,Kenya,2019
227,Nandi,885711,2855.8,310,Kenya,2019
228,Chesumei,164133,474.6,346,Kenya,2019
229,NandiCentral,147553,362.9,407,Kenya,2019
230,NandiEast,119173,397.6,300,Kenya,2019
231,NandiNorth,166171,606.3,274,Kenya,2019
232,NandiSouth,172750,457.4,378,Kenya,2019
233,Tinderet,115931,557.1,208,Kenya,2019
234,Baringo,666763,10976.4,61,Kenya,2019
235,BaringoCentral,96951,786.5,123,Kenya,2019
236,BaringoNorth,104871,1629.3,64,Kenya,2019
237,EastPokot,79923,2500.5,32,Kenya,2019
238,Koibatek,129535,938.6,138,Kenya,2019
239,Marigat,90955,1453.4,63,Kenya,2019
240,Mogotio,91104,1375.3,66,Kenya,2019
241,TiatyEast,73424,2106.5,35,Kenya,2019
242,Laikipia,518560,9532.2,54,Kenya,2019
243,LaikipiaCentral,95594,1232.6,78,Kenya,2019
244,LaikipiaEast,102815,1539.0,67,Kenya,2019
245,LaikipiaNorth,36184,2575.0,14,Kenya,2019
246,LaikipiaWest,129263,3372.2,38,Kenya,2019
247,Nyahururu,154704,813.4,190,Kenya,2019
248,Nakuru,2162202,7462.4,290,Kenya,2019
249,Gilgil,185209,1075.4,172,Kenya,2019
250,KuresoiNorth,175074,618.1,283,Kenya,2019
251,KuresoiSouth,155324,548.2,283,Kenya,2019
252,Molo,156732,483.2,324,Kenya,2019
253,Naivasha,355383,1958.4,181,Kenya,2019
254,NakuruEast,193926,230.9,840,Kenya,2019
255,NakuruNorth,218050,387.3,563,Kenya,2019
256,NakuruWest,198661,71.9,2764,Kenya,2019
257,Njoro,238773,699.5,341,Kenya,2019
258,Rongai,199906,988.1,202,Kenya,2019
259,Subukia,85164,401.5,212,Kenya,2019
260,Narok,1157873,17950.3,65,Kenya,2019
261,NarokEast,115323,2042.0,56,Kenya,2019
262,NarokNorth,251862,2159.4,117,Kenya,2019
263,NarokSouth,238472,4577.3,52,Kenya,2019
264,NarokWest,195287,5563.0,35,Kenya,2019
265,TransMaraEast,111183,309.8,359,Kenya,2019
266,TransMaraWest,245714,2545.9,97,Kenya,2019
267,MauForest*,32,752.9,0,Kenya,2019
268,Kajiado,1117840,21871.1,51,Kenya,2019
269,Isinya,210473,1071.6,196,Kenya,2019
270,KajiadoCentral,161862,4239.5,38,Kenya,2019
271,KajiadoNorth,306596,110.6,2773,Kenya,2019
272,KajiadoWest,182849,7862.1,23,Kenya,2019
273,Loitokitok,191846,6336.7,30,Kenya,2019
274,Mashuuru,64214,2250.7,29,Kenya,2019
275,Kericho,901777,2436.1,370,Kenya,2019
276,Belgut,145072,264.3,549,Kenya,2019
277,Bureti,199470,320.6,622,Kenya,2019
278,KerichoEast,170625,240.6,709,Kenya,2019
279,Kipkelion,122530,349.9,350,Kenya,2019
280,Londiani,137580,399.5,344,Kenya,2019
281,SoinSigowet,126500,466.2,271,Kenya,2019
282,MauForest,0,201.2,0,Kenya,2019
283,TinderetForest*,0,193.7,0,Kenya,2019
284,Bomet,875689,2530.9,346,Kenya,2019
285,BometEast,144275,305.0,473,Kenya,2019
286,Chepalungu,164837,460.5,358,Kenya,2019
