latitude,longitude,Adjusted-Population-Count_2000,Adjusted-Population-Count_2005,Adjusted-Population-Count_2010,Adjusted-Population-Count_2015,Adjusted-Population-Count_2020,Data-Code_2010,Data-Quality_Data-Context_2010,Data-Quality_Mean-Administrative-Unit-Area_2010,Data-Quality_Water-Mask_2010,Growth-Rate-End-Year_2010,Growth-Rate-Start-Year_2010,Growth_Rate-Admin-Level_2010,Input-Data-Age_2010,Input-Data-Level_2010,Input-Data-Sex_2010,Input-Data-Year_2010,Land-Area_2010,National-Identifier-Grid_2010,Water-Area_2010,Year-most-recent-Census_2010,Country_Name,City
-7.0625,39.145833333333314,3191.153,3764.0605,4497.6123,5448.305,6693.9585,1.0,0.0,125.55493,2.0,2012.0,2002.0,2.0,2.0,3.0,3.0,2012.0,21.350702,834.0,0.0,2012.0,United Republic of Tanzania,"Dar es-Salam, Coastal Zone, Tanzania"
-7.0625,39.1875,3023.4604,3301.7468,3605.6475,3937.5195,4299.938,1.0,0.0,145.15073,2.0,2012.0,2002.0,2.0,2.0,3.0,3.0,2012.0,21.350704,834.0,0.0,2012.0,United Republic of Tanzania,"Dar es-Salam, Coastal Zone, Tanzania"
-7.0625,39.22916666666666,2837.4414,3098.6062,3383.809,3695.2627,4035.3833,1.0,0.0,143.23471,2.0,2012.0,2002.0,2.0,2.0,3.0,3.0,2012.0,21.350702,834.0,0.0,2012.0,United Republic of Tanzania,"Dar es-Salam, Coastal Zone, Tanzania"
-7.0625,39.270833333333314,3663.6467,4000.8572,4369.1055,4771.248,5210.405,1.0,0.0,132.41577,2.0,2012.0,2002.0,2.0,2.0,3.0,3.0,2012.0,21.350702,834.0,0.0,2012.0,United Republic of Tanzania,"Dar es-Salam, Coastal Zone, Tanzania"
-7.0625,39.3125,1508.3855,1647.2208,1798.8348,1964.4038,2145.2122,1.0,0.0,128.69794,2.0,2012.0,2002.0,2.0,2.0,3.0,3.0,2012.0,21.350704,834.0,0.0,2012.0,United Republic of Tanzania,"Dar es-Salam, Coastal Zone, Tanzania"
-7.0625,39.35416666666666,1430.0897,1561.7186,1705.4628,1862.4375,2033.8606,1.0,0.0,128.694,2.0,2012.0,2002.0,2.0,2.0,3.0,3.0,2012.0,21.350704,834.0,0.0,2012.0,United Republic of Tanzania,"Dar es-Salam, Coastal Zone, Tanzania"
-7.0625,39.395833333333314,1155.8544,1297.0297,1462.8416,1659.4541,1894.9027,1.0,0.0,148.32867,2.0,2012.0,2002.0,2.0,2.0,3.0,3.0,2012.0,21.350702,834.0,0.0,2012.0,United Republic of Tanzania,"Dar es-Salam, Coastal Zone, Tanzania"
-7.0625,39.4375,471.77267,629.6621,840.39276,1121.6493,1497.0345,1.0,0.0,216.1402,2.0,2012.0,2002.0,2.0,2.0,3.0,3.0,2012.0,21.350704,834.0,0.0,2012.0,United Republic of Tanzania,"Dar es-Salam, Coastal Zone, Tanzania"
-7.0625,39.47916666666666,467.47046,623.92004,832.729,1111.4207,1483.3827,1.0,0.0,220.94029,2.0,2012.0,2002.0,2.0,2.0,3.0,3.0,2012.0,21.350704,834.0,0.0,2012.0,United Republic of Tanzania,"Dar es-Salam, Coastal Zone, Tanzania"
-7.0625,39.520833333333314,466.20367,622.2293,830.4724,1108.4088,1479.3629,1.0,0.0,220.94029,2.0,2012.0,2002.0,2.0,2.0,3.0,3.0,2012.0,21.292847,834.0,0.0,2012.0,United Republic of Tanzania,"Dar es-Salam, Coastal Zone, Tanzania"
-7.0625,39.5625,45.62637,60.896267,81.27658,108.47762,144.78212,1.0,0.0,220.94029,1.0,2012.0,2002.0,2.0,2.0,3.0,3.0,2012.0,2.083886,834.0,2.186255,2012.0,United Republic of Tanzania,"Dar es-Salam, Coastal Zone, Tanzania"
-7.020833333333329,39.020833333333314,2449.4087,3004.5845,3761.6665,4798.2856,6222.0664,1.0,0.0,124.31179,2.0,2012.0,2002.0,2.0,2.0,3.0,3.0,2012.0,21.35262,834.0,0.0,2012.0,United Republic of Tanzania,"Dar es-Salam, Coastal Zone, Tanzania"
-7.020833333333329,39.0625,5170.9165,6989.146,9504.322,12985.643,17806.352,1.0,0.0,97.050026,2.0,2012.0,2002.0,2.0,2.0,3.0,3.0,2012.0,21.35262,834.0,0.0,2012.0,United Republic of Tanzania,"Dar es-Salam, Coastal Zone, Tanzania"
-7.020833333333329,39.10416666666666,6413.9033,8893.039,12330.422,17096.441,23704.646,1.0,0.0,60.793797,2.0,2012.0,2002.0,2.0,2.0,3.0,3.0,2012.0,21.352621,834.0,0.0,2012.0,United Republic of Tanzania,"Dar es-Salam, Coastal Zone, Tanzania"
-7.020833333333329,39.145833333333314,3574.5066,4778.748,6432.131,8706.757,11841.111,1.0,0.0,82.19204,2.0,2012.0,2002.0,2.0,2.0,3.0,3.0,2012.0,21.352621,834.0,0.0,2012.0,United Republic of Tanzania,"Dar es-Salam, Coastal Zone, Tanzania"
-7.020833333333329,39.1875,2612.2773,2916.0188,3272.1853,3695.059,4203.893,1.0,0.0,136.03775,2.0,2012.0,2002.0,2.0,2.0,3.0,3.0,2012.0,21.352621,834.0,0.0,2012.0,United Republic of Tanzania,"Dar es-Salam, Coastal Zone, Tanzania"
-7.020833333333329,39.22916666666666,2521.1956,2753.2522,3006.668,3283.4087,3585.6213,1.0,0.0,138.51836,2.0,2012.0,2002.0,2.0,2.0,3.0,3.0,2012.0,21.352621,834.0,0.0,2012.0,United Republic of Tanzania,"Dar es-Salam, Coastal Zone, Tanzania"
-7.020833333333329,39.270833333333314,3943.0342,4305.96,4702.2905,5135.1006,5607.747,1.0,0.0,132.0967,2.0,2012.0,2002.0,2.0,2.0,3.0,3.0,2012.0,21.352621,834.0,0.0,2012.0,United Republic of Tanzania,"Dar es-Salam, Coastal Zone, Tanzania"
-7.020833333333329,39.3125,3667.2969,4004.8433,4373.4585,4776.002,5215.596,1.0,0.0,128.75902,2.0,2012.0,2002.0,2.0,2.0,3.0,3.0,2012.0,21.352621,834.0,0.0,2012.0,United Republic of Tanzania,"Dar es-Salam, Coastal Zone, Tanzania"
-7.020833333333329,39.35416666666666,3668.771,4006.4534,4375.217,4777.922,5217.693,1.0,0.0,128.75311,2.0,2012.0,2002.0,2.0,2.0,3.0,3.0,2012.0,21.352621,834.0,0.0,2012.0,United Republic of Tanzania,"Dar es-Salam, Coastal Zone, Tanzania"
-7.020833333333329,39.395833333333314,3360.816,3716.7156,4120.956,4583.202,5115.7534,1.0,0.0,132.83138,2.0,2012.0,2002.0,2.0,2.0,3.0,3.0,2012.0,21.352621,834.0,0.0,2012.0,United Republic of Tanzania,"Dar es-Salam, Coastal Zone, Tanzania"
-7.020833333333329,39.4375,612.4996,817.4864,1091.0768,1456.2302,1943.5907,1.0,0.0,153.73889,2.0,2012.0,2002.0,2.0,2.0,3.0,3.0,2012.0,21.352621,834.0,0.0,2012.0,United Republic of Tanzania,"Dar es-Salam, Coastal Zone, Tanzania"
-7.020833333333329,39.47916666666666,792.6131,1057.879,1411.9222,1884.4539,2515.1292,1.0,0.0,138.34232,2.0,2012.0,2002.0,2.0,2.0,3.0,3.0,2012.0,21.352621,834.0,0.0,2012.0,United Republic of Tanzania,"Dar es-Salam, Coastal Zone, Tanzania"
-7.020833333333329,39.520833333333314,1110.283,1481.8644,1977.8038,2639.7207,3523.163,1.0,0.0,74.65767,2.0,2012.0,2002.0,2.0,2.0,3.0,3.0,2012.0,21.352621,834.0,0.0,2012.0,United Republic of Tanzania,"Dar es-Salam, Coastal Zone, Tanzania"
