Country,Measure,Large subnational region,Variable,Year,Value
Algeria,Square kilometers,Khenchela,Area built-up before,1975,2.7432
Algeria,Square kilometers,Khenchela,Area built-up before,1990,12.9105
Algeria,Square kilometers,Khenchela,Area built-up before,2000,22.6368
Algeria,Square kilometers,Khenchela,Area built-up before,2014,30.177
Algeria,Square kilometers,Khenchela,Built-up since 1990,2000,9.7263
Algeria,Square kilometers,Khenchela,Built-up since 1990,2014,17.2665
Algeria,Square kilometers,Khenchela,Built-up since 2000,2014,7.5402
Algeria,Square kilometers,Khenchela,Built-up since 1975,1990,10.1673
Algeria,Percent of total land area,Khenchela,Area built-up before,1975,0.028586984
Algeria,Percent of total land area,Khenchela,Area built-up before,1990,0.134540777
Algeria,Percent of total land area,Khenchela,Area built-up before,2000,0.235898893
Algeria,Percent of total land area,Khenchela,Area built-up before,2014,0.314475584
Algeria,Percent of total land area,Khenchela,Built-up since 1990,2000,0.101358116
Algeria,Percent of total land area,Khenchela,Built-up since 1990,2014,0.179934807
Algeria,Percent of total land area,Khenchela,Built-up since 2000,2014,0.078576691
Algeria,Percent of total land area,Khenchela,Built-up since 1975,1990,0.105953793
Algeria,Square kilometers,Tlemcen,Area built-up before,1975,23.5494
Algeria,Square kilometers,Tlemcen,Area built-up before,1990,54.3492
Algeria,Square kilometers,Tlemcen,Area built-up before,2000,74.943
Algeria,Square kilometers,Tlemcen,Area built-up before,2014,95.1597
Algeria,Square kilometers,Tlemcen,Built-up since 1990,2000,20.5938
Algeria,Square kilometers,Tlemcen,Built-up since 1990,2014,40.8105
Algeria,Square kilometers,Tlemcen,Built-up since 2000,2014,20.2167
Algeria,Square kilometers,Tlemcen,Built-up since 1975,1990,30.7998
Algeria,Percent of total land area,Tlemcen,Area built-up before,1975,0.261048416
Algeria,Percent of total land area,Tlemcen,Area built-up before,1990,0.602468537
Algeria,Percent of total land area,Tlemcen,Area built-up before,2000,0.83075371
Algeria,Percent of total land area,Tlemcen,Area built-up before,2014,1.054858677
Algeria,Percent of total land area,Tlemcen,Built-up since 1990,2000,0.228285173
Algeria,Percent of total land area,Tlemcen,Built-up since 1990,2014,0.45239014
Algeria,Percent of total land area,Tlemcen,Built-up since 2000,2014,0.224104967
Algeria,Square kilometers,Tizi Ouzou,Area built-up before,1975,34.7643
Algeria,Square kilometers,Tizi Ouzou,Area built-up before,1990,50.9211
Algeria,Square kilometers,Tizi Ouzou,Area built-up before,2000,73.6155
Algeria,Square kilometers,Tizi Ouzou,Area built-up before,2014,86.9571
Algeria,Square kilometers,Tizi Ouzou,Built-up since 1990,2000,22.6944
Algeria,Square kilometers,Tizi Ouzou,Built-up since 1990,2014,36.036
Algeria,Square kilometers,Tizi Ouzou,Built-up since 2000,2014,13.3416
Algeria,Square kilometers,Tizi Ouzou,Built-up since 1975,1990,16.1568
Algeria,Percent of total land area,Tizi Ouzou,Area built-up before,1975,1.174074733
Algeria,Percent of total land area,Tizi Ouzou,Area built-up before,1990,1.719729057
Algeria,Percent of total land area,Tizi Ouzou,Area built-up before,2000,2.486173991
Algeria,Percent of total land area,Tizi Ouzou,Area built-up before,2014,2.936752184
Algeria,Percent of total land area,Tizi Ouzou,Built-up since 1990,2000,0.766444934
Algeria,Percent of total land area,Tizi Ouzou,Built-up since 1990,2014,1.217023126
Algeria,Percent of total land area,Tizi Ouzou,Built-up since 1975,1990,0.545654325
Algeria,Square kilometers,Relizane,Area built-up before,1975,7.2081
Algeria,Square kilometers,Relizane,Area built-up before,1990,21.6243
Algeria,Square kilometers,Relizane,Area built-up before,2000,34.5582
Algeria,Square kilometers,Relizane,Area built-up before,2014,43.623
Algeria,Square kilometers,Relizane,Built-up since 1990,2000,12.9339
Algeria,Square kilometers,Relizane,Built-up since 1990,2014,21.9987
Algeria,Square kilometers,Relizane,Built-up since 2000,2014,9.0648
Algeria,Square kilometers,Relizane,Built-up since 1975,1990,14.4162
Algeria,Percent of total land area,Relizane,Area built-up before,1975,0.147786042
Algeria,Percent of total land area,Relizane,Area built-up before,1990,0.443358125
Algeria,Percent of total land area,Relizane,Area built-up before,2000,0.708538948
Algeria,Percent of total land area,Relizane,Area built-up before,2014,0.894392489
Algeria,Percent of total land area,Relizane,Built-up since 1990,2000,0.265180822
Algeria,Percent of total land area,Relizane,Built-up since 1990,2014,0.451034364
Algeria,Percent of total land area,Relizane,Built-up since 2000,2014,0.185853541
Algeria,Square kilometers,Saida,Area built-up before,1975,7.5168
Algeria,Square kilometers,Saida,Area built-up before,1990,15.921
Algeria,Square kilometers,Saida,Area built-up before,2000,21.1554
Algeria,Square kilometers,Saida,Area built-up before,2014,25.569
Algeria,Square kilometers,Saida,Built-up since 1990,2000,5.2344
Algeria,Square kilometers,Saida,Built-up since 1990,2014,9.648
Algeria,Percent of total land area,Saida,Area built-up before,1975,0.110898323
Algeria,Percent of total land area,Saida,Area built-up before,1990,0.234888809
Algeria,Percent of total land area,Saida,Area built-up before,2000,0.312113982
Algeria,Percent of total land area,Saida,Area built-up before,2014,0.377229568
Algeria,Percent of total land area,Saida,Built-up since 1990,2000,0.077225173
Algeria,Percent of total land area,Saida,Built-up since 1990,2014,0.142340759
Algeria,Percent of total land area,Saida,Built-up since 2000,2014,0.065115586
Algeria,Square kilometers,Ouargla,Area built-up before,1975,29.7522
Algeria,Square kilometers,Ouargla,Area built-up before,1990,50.2938
Algeria,Square kilometers,Ouargla,Area built-up before,2000,60.3603
Algeria,Square kilometers,Ouargla,Area built-up before,2014,68.1642
Algeria,Square kilometers,Ouargla,Built-up since 1975,1990,20.5416
Algeria,Percent of total land area,Ouargla,Area built-up before,1975,0.019210695
Algeria,Percent of total land area,Ouargla,Area built-up before,1990,0.032474198
Algeria,Percent of total land area,Ouargla,Area built-up before,2000,0.038974035
Algeria,Percent of total land area,Ouargla,Area built-up before,2014,0.044012935
Algeria,Percent of total land area,Ouargla,Built-up since 1990,2000,0.006499837
Algeria,Percent of total land area,Ouargla,Built-up since 1990,2014,0.011538737
Algeria,Percent of total land area,Ouargla,Built-up since 2000,2014,0.005038899
Algeria,Percent of total land area,Ouargla,Built-up since 1975,1990,0.013263503
Algeria,Square kilometers,Naama,Area built-up before,1975,5.0166
Algeria,Square kilometers,Naama,Area built-up before,1990,11.5425
Algeria,Square kilometers,Naama,Area built-up before,2000,14.6088
Algeria,Square kilometers,Naama,Area built-up before,2014,18.4347
Algeria,Square kilometers,Naama,Built-up since 1990,2000,3.0663
Algeria,Square kilometers,Naama,Built-up since 1990,2014,6.8922
Algeria,Square kilometers,Naama,Built-up since 2000,2014,3.8259
Algeria,Square kilometers,Naama,Built-up since 1975,1990,6.5259
Algeria,Percent of total land area,Naama,Area built-up before,1975,0.016892011
Algeria,Percent of total land area,Naama,Area built-up before,1990,0.038866172
Algeria,Percent of total land area,Naama,Area built-up before,2000,0.049191088
Algeria,Percent of total land area,Naama,Area built-up before,2014,0.062073747
Algeria,Percent of total land area,Naama,Built-up since 2000,2014,0.012882659
Algeria,Percent of total land area,Naama,Built-up since 1975,1990,0.021974161
Algeria,Square kilometers,Mascara,Area built-up before,1975,21.3228
Algeria,Square kilometers,Mascara,Area built-up before,1990,42.6339
Algeria,Square kilometers,Mascara,Area built-up before,2000,62.4249
Algeria,Square kilometers,Mascara,Area built-up before,2014,76.707
Algeria,Square kilometers,Mascara,Built-up since 2000,2014,14.2821
Algeria,Square kilometers,Mascara,Built-up since 1975,1990,21.3111
Algeria,Percent of total land area,Mascara,Area built-up before,1975,0.375002236
Algeria,Percent of total land area,Mascara,Area built-up before,1990,0.749798705
Algeria,Percent of total land area,Mascara,Area built-up before,2000,1.097861306
Algeria,Percent of total land area,Mascara,Area built-up before,2014,1.349039361
Algeria,Percent of total land area,Mascara,Built-up since 1990,2000,0.348062602
Algeria,Percent of total land area,Mascara,Built-up since 1990,2014,0.599240657
Algeria,Percent of total land area,Mascara,Built-up since 2000,2014,0.251178055
Algeria,Percent of total land area,Mascara,Built-up since 1975,1990,0.374796469
Algeria,Square kilometers,Oum El Bouaghi,Area built-up before,1975,6.0624
Algeria,Square kilometers,Oum El Bouaghi,Area built-up before,1990,25.7796
Algeria,Square kilometers,Oum El Bouaghi,Area built-up before,2000,38.5416
Algeria,Square kilometers,Oum El Bouaghi,Area built-up before,2014,45.4041
Algeria,Square kilometers,Oum El Bouaghi,Built-up since 1990,2000,12.762
Algeria,Square kilometers,Oum El Bouaghi,Built-up since 1990,2014,19.6245
Algeria,Square kilometers,Oum El Bouaghi,Built-up since 2000,2014,6.8625
Algeria,Square kilometers,Oum El Bouaghi,Built-up since 1975,1990,19.7172
Algeria,Percent of total land area,Oum El Bouaghi,Area built-up before,1975,0.096626452
Algeria,Percent of total land area,Oum El Bouaghi,Area built-up before,1990,0.410891936
Algeria,Percent of total land area,Oum El Bouaghi,Area built-up before,2000,0.614300944
Algeria,Percent of total land area,Oum El Bouaghi,Area built-up before,2014,0.723679907
Algeria,Percent of total land area,Oum El Bouaghi,Built-up since 1990,2000,0.203409009
Algeria,Percent of total land area,Oum El Bouaghi,Built-up since 1990,2014,0.312787971
Algeria,Square kilometers,El Bayadh,Area built-up before,1975,5.085
Algeria,Square kilometers,El Bayadh,Area built-up before,1990,10.0602
Algeria,Square kilometers,El Bayadh,Area built-up before,2000,12.6747
Algeria,Square kilometers,El Bayadh,Area built-up before,2014,15.3909
Algeria,Square kilometers,El Bayadh,Built-up since 1990,2000,2.6145
Algeria,Square kilometers,El Bayadh,Built-up since 1990,2014,5.3307
Algeria,Square kilometers,El Bayadh,Built-up since 1975,1990,4.9752
Algeria,Percent of total land area,El Bayadh,Area built-up before,1975,0.00707233
Algeria,Percent of total land area,El Bayadh,Area built-up before,1990,0.013991947
Algeria,Percent of total land area,El Bayadh,Area built-up before,2000,0.017628251
Algeria,Percent of total land area,El Bayadh,Area built-up before,2014,0.021406002
Algeria,Percent of total land area,El Bayadh,Built-up since 1990,2000,0.003636304
Algeria,Percent of total land area,El Bayadh,Built-up since 1990,2014,0.007414055
Algeria,Percent of total land area,El Bayadh,Built-up since 2000,2014,0.003777751
Algeria,Percent of total land area,El Bayadh,Built-up since 1975,1990,0.006919617
Algeria,Square kilometers,Ain-Defla,Area built-up before,1975,7.515
Algeria,Square kilometers,Ain-Defla,Area built-up before,1990,22.959
Algeria,Square kilometers,Ain-Defla,Area built-up before,2000,30.3318
Algeria,Square kilometers,Ain-Defla,Area built-up before,2014,37.6551
Algeria,Square kilometers,Ain-Defla,Built-up since 1990,2000,7.3728
Algeria,Square kilometers,Ain-Defla,Built-up since 1990,2014,14.6961
Algeria,Square kilometers,Ain-Defla,Built-up since 2000,2014,7.3233
Algeria,Square kilometers,Ain-Defla,Built-up since 1975,1990,15.444
Algeria,Percent of total land area,Ain-Defla,Area built-up before,1975,0.165109268
Algeria,Percent of total land area,Ain-Defla,Area built-up before,1990,0.504423643
Algeria,Percent of total land area,Ain-Defla,Area built-up before,2000,0.666408688
Algeria,Percent of total land area,Ain-Defla,Area built-up before,2014,0.827306186
Algeria,Percent of total land area,Ain-Defla,Built-up since 1990,2000,0.161985044
Algeria,Percent of total land area,Ain-Defla,Built-up since 1990,2014,0.322882543
Algeria,Percent of total land area,Ain-Defla,Built-up since 2000,2014,0.160897498
Algeria,Percent of total land area,Ain-Defla,Built-up since 1975,1990,0.339314375
Algeria,Square kilometers,Souk-Ahras,Area built-up before,1975,1.5768
Algeria,Square kilometers,Souk-Ahras,Area built-up before,1990,9.9576
Algeria,Square kilometers,Souk-Ahras,Area built-up before,2000,19.4931
Algeria,Square kilometers,Souk-Ahras,Area built-up before,2014,24.0012
Algeria,Square kilometers,Souk-Ahras,Built-up since 1990,2000,9.5355
Algeria,Square kilometers,Souk-Ahras,Built-up since 1990,2014,14.0436
Algeria,Percent of total land area,Souk-Ahras,Area built-up before,1975,0.037265131
Algeria,Percent of total land area,Souk-Ahras,Area built-up before,1990,0.235331853
Algeria,Percent of total land area,Souk-Ahras,Area built-up before,2000,0.460688052
Algeria,Percent of total land area,Souk-Ahras,Area built-up before,2014,0.567229742
Algeria,Percent of total land area,Souk-Ahras,Built-up since 1990,2000,0.225356199
Algeria,Percent of total land area,Souk-Ahras,Built-up since 1990,2014,0.331897888
Algeria,Percent of total land area,Souk-Ahras,Built-up since 2000,2014,0.10654169
Algeria,Square kilometers,Guelma,Area built-up before,1975,3.1023
Algeria,Square kilometers,Guelma,Area built-up before,1990,10.7739
Algeria,Square kilometers,Guelma,Area built-up before,2000,17.7129
Algeria,Square kilometers,Guelma,Area built-up before,2014,23.1795
Algeria,Square kilometers,Guelma,Built-up since 1990,2000,6.939
Algeria,Square kilometers,Guelma,Built-up since 1990,2014,12.4056
Algeria,Percent of total land area,Guelma,Area built-up before,1975,0.084001524
Algeria,Percent of total land area,Guelma,Area built-up before,1990,0.291726788
Algeria,Percent of total land area,Guelma,Area built-up before,2000,0.479615313
Algeria,Percent of total land area,Guelma,Area built-up before,2014,0.627635405
Algeria,Percent of total land area,Guelma,Built-up since 1990,2000,0.187888525
Algeria,Percent of total land area,Guelma,Built-up since 1990,2014,0.335908616
Algeria,Percent of total land area,Guelma,Built-up since 2000,2014,0.148020091
Algeria,Square kilometers,Chlef,Area built-up before,1975,10.9872
Algeria,Square kilometers,Chlef,Area built-up before,1990,32.1066
Algeria,Square kilometers,Chlef,Area built-up before,2000,44.7777
Algeria,Square kilometers,Chlef,Area built-up before,2014,53.8605
Algeria,Square kilometers,Chlef,Built-up since 1990,2000,12.6711
Algeria,Square kilometers,Chlef,Built-up since 1990,2014,21.7539
Algeria,Square kilometers,Chlef,Built-up since 1975,1990,21.1194
Algeria,Percent of total land area,Chlef,Area built-up before,1975,0.27121548
Algeria,Percent of total land area,Chlef,Area built-up before,1990,0.792541041
Algeria,Percent of total land area,Chlef,Area built-up before,2000,1.105323048
Algeria,Percent of total land area,Chlef,Area built-up before,2014,1.32952903
Algeria,Percent of total land area,Chlef,Built-up since 1990,2000,0.312782007
Algeria,Percent of total land area,Chlef,Built-up since 1990,2014,0.536987989
Algeria,Percent of total land area,Chlef,Built-up since 1975,1990,0.521325561
Algeria,Square kilometers,Mostaganem,Area built-up before,1975,21.8988
Algeria,Square kilometers,Mostaganem,Area built-up before,1990,34.6185
Algeria,Square kilometers,Mostaganem,Area built-up before,2000,50.4558
Algeria,Square kilometers,Mostaganem,Area built-up before,2014,63.7695
Algeria,Square kilometers,Mostaganem,Built-up since 1990,2000,15.8373
Algeria,Square kilometers,Mostaganem,Built-up since 1990,2014,29.151
Algeria,Percent of total land area,Mostaganem,Area built-up before,1975,1.002673576
Algeria,Percent of total land area,Mostaganem,Area built-up before,1990,1.585066543
Algeria,Percent of total land area,Mostaganem,Area built-up before,2000,2.310204095
Algeria,Percent of total land area,Mostaganem,Area built-up before,2014,2.919794355
Algeria,Percent of total land area,Mostaganem,Built-up since 1990,2000,0.725137552
Algeria,Percent of total land area,Mostaganem,Built-up since 1990,2014,1.334727813
Algeria,Percent of total land area,Mostaganem,Built-up since 2000,2014,0.60959026
Algeria,Square kilometers,El Oued,Area built-up before,1975,21.2976
Algeria,Square kilometers,El Oued,Area built-up before,1990,35.4654
Algeria,Square kilometers,El Oued,Area built-up before,2000,50.4495
Algeria,Square kilometers,El Oued,Area built-up before,2014,60.1101
Algeria,Square kilometers,El Oued,Built-up since 2000,2014,9.6606
Algeria,Square kilometers,El Oued,Built-up since 1975,1990,14.1678
Algeria,Percent of total land area,El Oued,Area built-up before,1975,0.048464261
Algeria,Percent of total land area,El Oued,Area built-up before,1990,0.080704136
Algeria,Percent of total land area,El Oued,Area built-up before,2000,0.114801562
Algeria,Percent of total land area,El Oued,Area built-up before,2014,0.13678497
Algeria,Percent of total land area,El Oued,Built-up since 1990,2000,0.034097426
Algeria,Percent of total land area,El Oued,Built-up since 1990,2014,0.056080834
Algeria,Percent of total land area,El Oued,Built-up since 1975,1990,0.032239875
Algeria,Square kilometers,Illizi,Area built-up before,1975,3.1284
Algeria,Square kilometers,Illizi,Area built-up before,1990,5.6151
Algeria,Square kilometers,Illizi,Area built-up before,2000,7.7958
Algeria,Square kilometers,Illizi,Area built-up before,2014,11.3697
Algeria,Square kilometers,Illizi,Built-up since 1990,2000,2.1807
Algeria,Square kilometers,Illizi,Built-up since 1990,2014,5.7546
Algeria,Square kilometers,Illizi,Built-up since 2000,2014,3.5739
Algeria,Square kilometers,Illizi,Built-up since 1975,1990,2.4867
Algeria,Percent of total land area,Illizi,Area built-up before,1975,0.001053256
Algeria,Percent of total land area,Illizi,Area built-up before,1990,0.001890467
Algeria,Percent of total land area,Illizi,Area built-up before,2000,0.002624656
Algeria,Percent of total land area,Illizi,Area built-up before,2014,0.003827901
Algeria,Percent of total land area,Illizi,Built-up since 1990,2000,0.000734189
Algeria,Percent of total land area,Illizi,Built-up since 1990,2014,0.001937434
Algeria,Percent of total land area,Illizi,Built-up since 2000,2014,0.001203245
Algeria,Percent of total land area,Illizi,Built-up since 1975,1990,0.000837211
Algeria,Square kilometers,Tindouf,Area built-up before,1975,1.179
Algeria,Square kilometers,Tindouf,Area built-up before,1990,2.4417
Algeria,Square kilometers,Tindouf,Area built-up before,2000,4.6197
Algeria,Square kilometers,Tindouf,Area built-up before,2014,6.1281
Algeria,Square kilometers,Tindouf,Built-up since 1990,2000,2.178
Algeria,Square kilometers,Tindouf,Built-up since 1990,2014,3.6864
Algeria,Square kilometers,Tindouf,Built-up since 2000,2014,1.5084
Algeria,Percent of total land area,Tindouf,Area built-up before,1975,0.000730535
Algeria,Percent of total land area,Tindouf,Area built-up before,1990,0.001512932
Algeria,Percent of total land area,Tindouf,Area built-up before,2000,0.002862469
Algeria,Percent of total land area,Tindouf,Area built-up before,2014,0.003797107
Algeria,Percent of total land area,Tindouf,Built-up since 1990,2000,0.001349537
Algeria,Percent of total land area,Tindouf,Built-up since 1990,2014,0.002284175
Algeria,Percent of total land area,Tindouf,Built-up since 2000,2014,0.000934638
Algeria,Square kilometers,Blida,Area built-up before,1975,26.7453
Algeria,Square kilometers,Blida,Area built-up before,1990,60.138
Algeria,Square kilometers,Blida,Area built-up before,2000,71.064
Algeria,Square kilometers,Blida,Area built-up before,2014,85.5801
Algeria,Square kilometers,Blida,Built-up since 1990,2000,10.926
Algeria,Square kilometers,Blida,Built-up since 1990,2014,25.4421
Algeria,Square kilometers,Blida,Built-up since 2000,2014,14.5161
Algeria,Percent of total land area,Blida,Area built-up before,1975,1.801394949
Algeria,Percent of total land area,Blida,Area built-up before,1990,4.050516893
Algeria,Percent of total land area,Blida,Area built-up before,2000,4.786423434
Algeria,Percent of total land area,Blida,Area built-up before,2014,5.764136498
Algeria,Percent of total land area,Blida,Built-up since 1990,2000,0.735906541
Algeria,Percent of total land area,Blida,Built-up since 1990,2014,1.713619605
Algeria,Percent of total land area,Blida,Built-up since 1975,1990,2.249121943
Algeria,Square kilometers,Tebessa,Area built-up before,1975,7.6959
Algeria,Square kilometers,Tebessa,Area built-up before,1990,27.441
Algeria,Square kilometers,Tebessa,Area built-up before,2000,36.8208
Algeria,Square kilometers,Tebessa,Area built-up before,2014,43.3989
Algeria,Square kilometers,Tebessa,Built-up since 2000,2014,6.5781
Algeria,Square kilometers,Tebessa,Built-up since 1975,1990,19.7451
Algeria,Percent of total land area,Tebessa,Area built-up before,1975,0.057848204
Algeria,Percent of total land area,Tebessa,Area built-up before,1990,0.206267306
Algeria,Percent of total land area,Tebessa,Area built-up before,2000,0.276772975
Algeria,Percent of total land area,Tebessa,Area built-up before,2014,0.326218949
Algeria,Percent of total land area,Tebessa,Built-up since 1990,2000,0.070505669
Algeria,Percent of total land area,Tebessa,Built-up since 1990,2014,0.119951643
Algeria,Percent of total land area,Tebessa,Built-up since 2000,2014,0.049445974
Algeria,Square kilometers,Djelfa,Area built-up before,1975,5.7213
Algeria,Square kilometers,Djelfa,Area built-up before,1990,30.726
Algeria,Square kilometers,Djelfa,Area built-up before,2000,43.5357
Algeria,Square kilometers,Djelfa,Area built-up before,2014,54.1098
Algeria,Square kilometers,Djelfa,Built-up since 1990,2000,12.8097
Algeria,Square kilometers,Djelfa,Built-up since 1990,2014,23.3838
Algeria,Square kilometers,Djelfa,Built-up since 2000,2014,10.5741
Algeria,Percent of total land area,Djelfa,Area built-up before,1975,0.017634692
Algeria,Percent of total land area,Djelfa,Area built-up before,1990,0.094706369
Algeria,Percent of total land area,Djelfa,Area built-up before,2000,0.134189548
Algeria,Percent of total land area,Djelfa,Area built-up before,2014,0.166781966
Algeria,Percent of total land area,Djelfa,Built-up since 1990,2000,0.03948318
Algeria,Percent of total land area,Djelfa,Built-up since 1990,2014,0.072075597
Algeria,Percent of total land area,Djelfa,Built-up since 2000,2014,0.032592417
Algeria,Percent of total land area,Djelfa,Built-up since 1975,1990,0.077071677
Algeria,Square kilometers,M'Sila,Area built-up before,1975,7.0767
Algeria,Square kilometers,M'Sila,Area built-up before,1990,33.1209
Algeria,Square kilometers,M'Sila,Area built-up before,2000,55.8774
Algeria,Square kilometers,M'Sila,Area built-up before,2014,73.6263
Algeria,Square kilometers,M'Sila,Built-up since 1990,2000,22.7565
Algeria,Square kilometers,M'Sila,Built-up since 1990,2014,40.5054
Algeria,Square kilometers,M'Sila,Built-up since 2000,2014,17.7489
Algeria,Square kilometers,M'Sila,Built-up since 1975,1990,26.0442
Algeria,Percent of total land area,M'Sila,Area built-up before,1975,0.039362599
Algeria,Percent of total land area,M'Sila,Area built-up before,1990,0.184227777
Algeria,Percent of total land area,M'Sila,Area built-up before,2000,0.310805842
Algeria,Percent of total land area,M'Sila,Area built-up before,2014,0.409530224
Algeria,Percent of total land area,M'Sila,Built-up since 1990,2000,0.126578065
Algeria,Percent of total land area,M'Sila,Built-up since 1990,2014,0.225302447
Algeria,Percent of total land area,M'Sila,Built-up since 1975,1990,0.144865178
Algeria,Square kilometers,Alger,Area built-up before,1975,145.6425
Algeria,Square kilometers,Alger,Area built-up before,1990,219.6675
Algeria,Square kilometers,Alger,Area built-up before,2000,250.6275
Algeria,Square kilometers,Alger,Area built-up before,2014,266.9256
Algeria,Square kilometers,Alger,Built-up since 1990,2000,30.96
Algeria,Square kilometers,Alger,Built-up since 1990,2014,47.2581
Algeria,Square kilometers,Alger,Built-up since 2000,2014,16.2981
Algeria,Square kilometers,Alger,Built-up since 1975,1990,74.025
Algeria,Percent of total land area,Alger,Area built-up before,1975,19.29232658
Algeria,Percent of total land area,Alger,Area built-up before,1990,29.09794291
Algeria,Percent of total land area,Alger,Area built-up before,2000,33.19901527
Algeria,Percent of total land area,Alger,Area built-up before,2014,35.3579199
Algeria,Percent of total land area,Alger,Built-up since 1990,2000,4.101072359
Algeria,Percent of total land area,Alger,Built-up since 1990,2014,6.259976991
Algeria,Percent of total land area,Alger,Built-up since 2000,2014,2.158904632
Algeria,Percent of total land area,Alger,Built-up since 1975,1990,9.805616323
Algeria,Square kilometers,El-Tarf,Area built-up before,1975,11.817
Algeria,Square kilometers,El-Tarf,Area built-up before,1990,23.8275
Algeria,Square kilometers,El-Tarf,Area built-up before,2000,34.0938
Algeria,Square kilometers,El-Tarf,Area built-up before,2014,39.5262
Algeria,Square kilometers,El-Tarf,Built-up since 1990,2000,10.2663
Algeria,Square kilometers,El-Tarf,Built-up since 1990,2014,15.6987
Algeria,Square kilometers,El-Tarf,Built-up since 2000,2014,5.4324
Algeria,Square kilometers,El-Tarf,Built-up since 1975,1990,12.0105
Algeria,Percent of total land area,El-Tarf,Area built-up before,1975,0.416304686
Algeria,Percent of total land area,El-Tarf,Area built-up before,1990,0.839426241
Algeria,Percent of total land area,El-Tarf,Area built-up before,2000,1.201100845
Algeria,Percent of total land area,El-Tarf,Area built-up before,2014,1.392480516
Algeria,Percent of total land area,El-Tarf,Built-up since 1990,2000,0.361674604
Algeria,Percent of total land area,El-Tarf,Built-up since 1990,2014,0.553054275
Algeria,Percent of total land area,El-Tarf,Built-up since 2000,2014,0.191379671
Algeria,Percent of total land area,El-Tarf,Built-up since 1975,1990,0.423121556
Algeria,Square kilometers,Adrar,Area built-up before,1975,12.6909
Algeria,Square kilometers,Adrar,Area built-up before,1990,22.3164
Algeria,Square kilometers,Adrar,Area built-up before,2000,29.0655
Algeria,Square kilometers,Adrar,Area built-up before,2014,36.4041
Algeria,Square kilometers,Adrar,Built-up since 1990,2000,6.7491
Algeria,Square kilometers,Adrar,Built-up since 1990,2014,14.0877
Algeria,Square kilometers,Adrar,Built-up since 2000,2014,7.3386
Algeria,Square kilometers,Adrar,Built-up since 1975,1990,9.6255
Algeria,Percent of total land area,Adrar,Area built-up before,1975,0.002939991
Algeria,Percent of total land area,Adrar,Area built-up before,1990,0.005169846
Algeria,Percent of total land area,Adrar,Area built-up before,2000,0.006733352
Algeria,Percent of total land area,Adrar,Area built-up before,2014,0.008433421
Algeria,Percent of total land area,Adrar,Built-up since 1990,2000,0.001563505
Algeria,Percent of total land area,Adrar,Built-up since 1990,2014,0.003263575
Algeria,Percent of total land area,Adrar,Built-up since 2000,2014,0.00170007
Algeria,Percent of total land area,Adrar,Built-up since 1975,1990,0.002229856
Algeria,Square kilometers,Jijel,Area built-up before,1975,27.2961
Algeria,Square kilometers,Jijel,Area built-up before,1990,50.1498
Algeria,Square kilometers,Jijel,Area built-up before,2000,60.165
Algeria,Square kilometers,Jijel,Area built-up before,2014,65.4804
Algeria,Square kilometers,Jijel,Built-up since 2000,2014,5.3154
Algeria,Square kilometers,Jijel,Built-up since 1975,1990,22.8537
Algeria,Percent of total land area,Jijel,Area built-up before,1975,1.146272262
Algeria,Percent of total land area,Jijel,Area built-up before,1990,2.105990405
Algeria,Percent of total land area,Jijel,Area built-up before,2000,2.526568655
Algeria,Percent of total land area,Jijel,Area built-up before,2014,2.749783531
Algeria,Percent of total land area,Jijel,Built-up since 2000,2014,0.223214876
Algeria,Percent of total land area,Jijel,Built-up since 1975,1990,0.959718143
Algeria,Square kilometers,Laghouat,Area built-up before,1975,9.8082
Algeria,Square kilometers,Laghouat,Area built-up before,1990,21.2247
Algeria,Square kilometers,Laghouat,Area built-up before,2000,26.9127
Algeria,Square kilometers,Laghouat,Area built-up before,2014,30.9861
Algeria,Square kilometers,Laghouat,Built-up since 1990,2000,5.688
Algeria,Square kilometers,Laghouat,Built-up since 1990,2014,9.7614
Algeria,Square kilometers,Laghouat,Built-up since 1975,1990,11.4165
Algeria,Percent of total land area,Laghouat,Area built-up before,1975,0.035499888
Algeria,Percent of total land area,Laghouat,Area built-up before,1990,0.076820873
Algeria,Percent of total land area,Laghouat,Area built-up before,2000,0.097408072
Algeria,Percent of total land area,Laghouat,Area built-up before,2014,0.112151373
Algeria,Percent of total land area,Laghouat,Built-up since 1990,2000,0.020587199
Algeria,Percent of total land area,Laghouat,Built-up since 1990,2014,0.0353305
Algeria,Percent of total land area,Laghouat,Built-up since 2000,2014,0.014743301
Algeria,Percent of total land area,Laghouat,Built-up since 1975,1990,0.041320984
Algeria,Square kilometers,Sidi Bel Abbes,Area built-up before,1975,26.8344
Algeria,Square kilometers,Sidi Bel Abbes,Area built-up before,1990,39.9159
Algeria,Square kilometers,Sidi Bel Abbes,Area built-up before,2000,53.7903
Algeria,Square kilometers,Sidi Bel Abbes,Area built-up before,2014,64.5237
Algeria,Square kilometers,Sidi Bel Abbes,Built-up since 1990,2000,13.8744
Algeria,Square kilometers,Sidi Bel Abbes,Built-up since 1990,2014,24.6078
Algeria,Square kilometers,Sidi Bel Abbes,Built-up since 2000,2014,10.7334
Algeria,Square kilometers,Sidi Bel Abbes,Built-up since 1975,1990,13.0815
Algeria,Percent of total land area,Sidi Bel Abbes,Area built-up before,1975,0.285379507
Algeria,Percent of total land area,Sidi Bel Abbes,Area built-up before,1990,0.424499145
