,Unnamed: 0,Name,Adm.,PopulationCalculation (UE-P)2022-03-21
0,1,Lagos,LA,15070000
1,2,Kano,KN,4910000
2,3,Ibadan,OY,3190000
3,4,Abuja,FC,2690000
4,5,Port Harcourt,RI,2120000
5,6,Kaduna,KD,1850000
6,7,Benin City,ED,1680000
7,8,Aba,AB,1160000
8,9,Onitsha,AN,1150000
9,10,Maiduguri,BO,1110000
10,11,Ilorin,KW,1080000
11,12,Sokoto,SO,1040000
12,13,Jos,PL,1040000
