,Name,Status,PopulationCensus1991-11-26,PopulationCensus2006-03-21,PopulationProjection2022-03-21,Unnamed: 5
534,Apapa,Local Government Area,154477,222986,330100,→
535,Badagry,Local Government Area,119267,237731,351900,→
536,Epe,Local Government Area,101464,181734,269000,→
537,Eti-Osa,Local Government Area,157387,283791,420100,→
538,Ibeju/Lekki,Local Government Area,24937,117793,174400,→
539,Ifako-Ijaye,Local Government Area,233341,427737,633200,→
540,Ikeja,Local Government Area,203383,317614,470200,→
541,Ikorodu,Local Government Area,184674,527917,781500,→
542,Kosofe,Local Government Area,412407,682772,1010800,→
543,Lagos Island,Local Government Area,165996,212700,314900,→
544,Lagos Mainland,Local Government Area,273079,326700,483600,→
545,Mushin,Local Government Area,539783,631857,935400,→
546,Ojo,Local Government Area,215837,609173,901800,→
547,Oshodi-Isolo,Local Government Area,449781,629061,931300,→
548,Shomolu,Local Government Area,358787,403569,597400,→
549,Surulere,Local Government Area,462261,502865,744400,→
550,Nasarawa,State,1207876,1869377,2886000,→
551,Akwanga,Local Government Area,...,111902,172800,→
552,Awe,Local Government Area,...,113083,174600,→
553,Doma,Local Government Area,90719,138991,214600,→
554,Karu,Local Government Area,120127,216230,333800,→
555,Keana,Local Government Area,...,81801,126300,→
556,Keffi,Local Government Area,...,92550,142900,→
557,Kokona,Local Government Area,...,108558,167600,→
558,Lafia,Local Government Area,240656,329922,509300,→
559,Nasarawa,Local Government Area,127843,187220,289000,→
560,Nasarawa-Eggon,Local Government Area,73129,148405,229100,→
561,Obi,Local Government Area,101074,148977,230000,→
562,Toto,Local Government Area,89596,119051,183800,→
563,Wamba,Local Government Area,...,72687,112200,→
564,Niger,State,2421581,3954772,6783300,→
565,Agaie,Local Government Area,79937,132098,226600,→
566,Agwara,Local Government Area,38916,57347,98400,→
567,Bida,Local Government Area,...,185553,318300,→
568,Borgu,Local Government Area,110336,172835,296500,→
569,Bosso,Local Government Area,86273,148136,254100,→
570,Chanchaga,Local Government Area,143896,202151,346700,→
571,Edati,Local Government Area,...,159818,274100,→
572,Gbako,Local Government Area,88768,126845,217600,→
573,Gurara,Local Government Area,48903,90879,155900,→
574,Katcha,Local Government Area,...,120893,207400,→
575,Kontagora,Local Government Area,...,151968,260700,→
576,Lapai,Local Government Area,73647,117021,200700,→
577,Lavun,Local Government Area,...,209777,359800,→
578,Magama,Local Government Area,129749,181470,311300,→
579,Mariga,Local Government Area,...,199600,342400,→
580,Mashegu,Local Government Area,...,215197,369100,→
581,Mokwa,Local Government Area,98234,242858,416600,→
582,Muya,Local Government Area,...,103461,177500,→
583,Paikoro,Local Government Area,109356,158178,271300,→
584,Rafi,Local Government Area,116948,186118,319200,→
585,Rijau,Local Government Area,122050,176199,302200,→
586,Shiroro,Local Government Area,...,235665,404200,→
587,Suleja,Local Government Area,151300,215075,368900,→
588,Tafa,Local Government Area,...,83874,143900,→
589,Wushishi,Local Government Area,...,81756,140200,→
590,Ogun,State,2333726,3751140,6379500,→
591,Abeokuta North,Local Government Area,93966,198793,338100,→
592,Abeokuta South,Local Government Area,...,250295,425700,→
593,Ado-Odo/Ota,Local Government Area,234647,527242,896700,→
594,Ewekoro,Local Government Area,...,55093,93700,→
595,Ifo,Local Government Area,215055,539170,917000,→
596,Ijebu East,Local Government Area,61120,109321,185900,→
597,Ijebu North,Local Government Area,148342,280520,477100,→
598,Ijebu North East,Local Government Area,...,68800,117000,→
599,Ijebu Ode,Local Government Area,...,157161,267300,→
600,Ikenne,Local Government Area,...,119117,202600,→
601,Imeko Afon,Local Government Area,...,82952,141100,→
602,Ipokia,Local Government Area,...,150387,255800,→
603,Obafemi-Owode,Local Government Area,135774,235071,399800,→
604,Odeda,Local Government Area,86950,109522,186300,→
605,Odogbolu,Local Government Area,88384,125657,213700,→
606,Ogun Waterside,Local Government Area,61919,74222,126200,→
607,Remo North,Local Government Area,...,59752,101600,→
608,Sagamu,Local Government Area,155726,255885,435200,→
609,Yewa North (Egbado North),Local Government Area,...,183844,312700,→
610,Yewa South (Egbado South),Local Government Area,...,168336,286300,→
611,Ondo,State,2249548,3460877,5316600,→
612,Akoko North East,Local Government Area,...,179092,275100,→
613,Akoko North West,Local Government Area,119278,211867,325500,→
614,Akoko South East,Local Government Area,...,82443,126600,→
615,Akoko South West,Local Government Area,...,228383,350800,→
616,Akure North,Local Government Area,...,130765,200900,→
617,Akure South,Local Government Area,...,360268,553400,→
618,Ese-Odo,Local Government Area,...,158256,243100,→
619,Idanre,Local Government Area,85776,129795,199400,→
620,Ifedore,Local Government Area,102617,176372,270900,→
621,Ilaje,Local Government Area,...,289838,445200,→
622,Ile-Oluji-Okeigbo,Local Government Area,116094,171876,264000,→
623,Irele,Local Government Area,100127,144136,221400,→
624,Odigbo,Local Government Area,154320,232287,356800,→
625,Okitipupa,Local Government Area,176615,234138,359700,→
626,Ondo East,Local Government Area,...,76092,116900,→
627,Ondo West,Local Government Area,...,288868,443800,→
628,Ose,Local Government Area,93033,144139,221400,→
629,Owo,Local Government Area,157191,222262,341400,→
630,Osun,State,2158143,3416959,4435800,→
631,Aiyedaade,Local Government Area,94777,149569,194200,→
632,Aiyedire,Local Government Area,41636,76309,99100,→
633,Atakunmosa East,Local Government Area,...,76105,98800,→
634,Atakunmosa West,Local Government Area,...,68350,88700,→
635,Boluwaduro,Local Government Area,...,70954,92100,→
636,Boripe,Local Government Area,110174,138742,180100,→
637,Ede North,Local Government Area,...,83818,108800,→
638,Ede South,Local Government Area,...,75489,98000,→
639,Egbedore,Local Government Area,40293,73969,96000,→
640,Ejigbo,Local Government Area,69366,132515,172000,→
641,Ife Central,Local Government Area,...,167204,217100,→
642,Ifedayo,Local Government Area,24671,37508,48700,→
643,Ife East,Local Government Area,...,188614,244900,→
644,Ifelodun,Local Government Area,76565,96444,125200,→
645,Ife North,Local Government Area,133258,153274,199000,→
646,Ife South,Local Government Area,88170,134490,174600,→
647,Ila,Local Government Area,...,62054,80600,→
648,Ilesha East,Local Government Area,...,105416,136800,→
649,Ilesha West,Local Government Area,...,106809,138700,→
650,Irepodun,Local Government Area,...,119590,155200,→
651,Irewole,Local Government Area,...,142806,185400,→
652,Isokan,Local Government Area,...,102060,132500,→
653,Iwo,Local Government Area,105401,191348,248400,→
654,Obokun,Local Government Area,61218,116850,151700,→
655,Odo-Otin,Local Government Area,82314,132078,171500,→
656,Ola-Oluwa,Local Government Area,39454,76227,99000,→
657,Olorunda,Local Government Area,83347,131649,170900,→
658,Oriade,Local Government Area,80833,148379,192600,→
659,Orolu,Local Government Area,...,102832,133500,→
660,Osogbo,Local Government Area,106386,155507,201900,→
661,Oyo,State,3452720,5580894,7976100,→
662,Afijio,Local Government Area,82792,132184,188900,→
663,Akinyele,Local Government Area,140118,211811,302700,→
664,Atiba,Local Government Area,...,168246,240500,→
665,Atisbo,Local Government Area,...,109965,157200,→
666,Egbeda,Local Government Area,129461,283643,405400,→
667,Ibadan North,Local Government Area,302271,308119,440400,→
668,Ibadan North East,Local Government Area,275627,331444,473700,→
669,Ibadan North West,Local Government Area,147918,154029,220100,→
670,Ibadan South East,Local Government Area,225800,266457,380800,→
671,Ibadan South West,Local Government Area,277047,283098,404600,→
672,Ibarapa Central,Local Government Area,...,103243,147600,→
673,Ibarapa East,Local Government Area,...,117182,167500,→
674,Ibarapa North,Local Government Area,...,100293,143300,→
675,Ido,Local Government Area,53582,104087,148800,→
676,Irepo,Local Government Area,...,121240,173300,→
677,Iseyin,Local Government Area,170936,255619,365300,→
678,Itesiwaju,Local Government Area,...,127391,182100,→
679,Iwajowa,Local Government Area,...,102847,147000,→
680,Kajola,Local Government Area,...,200528,286600,→
681,Lagelu,Local Government Area,68901,148133,211700,→
682,Ogbomosho North,Local Government Area,104295,198859,284200,→
683,Ogbomosho South,Local Government Area,65958,100379,143500,→
684,Ogo Oluwa,Local Government Area,36188,65198,93200,→
685,Olorunsogo,Local Government Area,...,81339,116200,→
686,Oluyole,Local Government Area,91527,203461,290800,→
687,Ona-Ara,Local Government Area,123048,265571,379500,→
688,Orelope,Local Government Area,68566,104004,148600,→
689,Ori Ire,Local Government Area,103611,149408,213500,→
690,Oyo East,Local Government Area,...,124095,177400,→
691,Oyo West,Local Government Area,...,136457,195000,→
692,Saki East,Local Government Area,...,108957,155700,→
693,Saki West,Local Government Area,...,273268,390500,→
694,Surulere,Local Government Area,64097,140339,200600,→
695,Plateau,State,2104536,3206531,4717300,→
696,Barkin Ladi,Local Government Area,...,179805,264500,→
697,Bassa,Local Government Area,121652,189834,279300,→
698,Bokkos,Local Government Area,95218,179550,264100,→
699,Jos East,Local Government Area,...,88301,129900,→
700,Jos North,Local Government Area,...,437217,643200,→
701,Jos South,Local Government Area,237408,311392,458100,→
702,Kanam,Local Government Area,113500,167619,246600,→
703,Kanke,Local Government Area,...,124268,182800,→
704,Langtang North,Local Government Area,94707,142316,209400,→
705,Langtang South,Local Government Area,47108,105173,154700,→
706,Mangu,Local Government Area,187397,300520,442100,→
707,Mikang,Local Government Area,...,96388,141800,→
708,Pankshin,Local Government Area,...,190114,279700,→
709,Qua'an Pan,Local Government Area,141082,197276,290200,→
710,Riyom,Local Government Area,...,131778,193900,→
711,Shendam,Local Government Area,...,205119,301800,→
712,Wase,Local Government Area,102336,159861,235200,→
713,Rivers,State,3187844,5198716,7476800,→
714,Abua - Odual,Local Government Area,134420,282410,406200,→
715,Ahoada East,Local Government Area,...,166324,239200,→
716,Ahoada West,Local Government Area,...,249232,358400,→
717,Akuku Toru,Local Government Area,102169,161103,231700,→
718,Andoni,Local Government Area,...,217924,313400,→
719,Asari-Toru,Local Government Area,166788,219787,316100,→
720,Bonny,Local Government Area,76124,214983,309200,→
721,Degema,Local Government Area,95889,249467,358800,→
722,Eleme,Local Government Area,...,190194,273500,→
723,Emuoha,Local Government Area,154923,201057,289200,→
724,Etche,Local Government Area,...,249939,359500,→
725,Gokana,Local Government Area,159461,233813,336300,→
726,Ikwerre,Local Government Area,125385,188930,271700,→
727,Khana,Local Government Area,207095,292924,421300,→
728,Obio/Akpor,Local Government Area,263017,462350,665000,→
729,Ogba - Egbema - Ndoni,Local Government Area,190751,283294,407400,→
730,Ogu - Bolo,Local Government Area,...,75282,108300,→
731,Okrika,Local Government Area,...,222285,319700,→
732,Omumma,Local Government Area,...,100388,144400,→
733,Opobo - Nkoro,Local Government Area,...,152833,219800,→
734,Oyigbo,Local Government Area,85334,125331,180300,→
735,Port-Harcourt,Local Government Area,440399,538558,774600,→
736,Tai,Local Government Area,...,120308,173000,→
737,Sokoto,State,2418585,3702676,6391000,→
738,Binji,Local Government Area,54239,104274,180000,→
739,Bodinga,Local Government Area,114067,174302,300900,→
740,Dange Shuni,Local Government Area,...,193443,333900,→
741,Gada,Local Government Area,147915,249051,429900,→
742,Goronyo,Local Government Area,106666,182118,314300,→
743,Gudu,Local Government Area,...,95400,164700,→
744,Gwadabawa,Local Government Area,142996,231569,399700,→
745,Illela,Local Government Area,131930,150133,259100,→
746,Isa,Local Government Area,...,150268,259400,→
747,Kebbe,Local Government Area,...,123154,212600,→
748,Kware,Local Government Area,116139,134084,231400,→
749,Rabah,Local Government Area,91119,149152,257400,→
750,Sabon Birni,Local Government Area,152994,207470,358100,→
751,Shagari,Local Government Area,...,156907,270800,→
752,Silame,Local Government Area,65122,104601,180500,→
753,Sokoto North,Local Government Area,...,233012,402200,→
754,Sokoto South,Local Government Area,...,197686,341200,→
755,Tambuwal,Local Government Area,146976,225917,389900,→
756,Tangaza,Local Government Area,...,114770,198100,→
757,Tureta,Local Government Area,...,68414,118100,→
758,Wamakko,Local Government Area,140137,179246,309400,→
759,Wurno,Local Government Area,100964,162403,280300,→
760,Yabo,Local Government Area,...,115302,199000,→
761,Taraba,State,1512163,2294800,3609800,→
762,Ardo-Kola,Local Government Area,...,87784,138100,→
763,Bali,Local Government Area,...,211024,332000,→
764,Disputed Areas,Local Government Area,...,19964,31400,→
765,Donga,Local Government Area,84626,133105,209400,→
766,Gashaka,Local Government Area,49765,87166,137100,→
767,Gassol,Local Government Area,...,245086,385500,→
768,Ibi,Local Government Area,58150,84302,132600,→
769,Jalingo,Local Government Area,...,140318,220700,→
770,Karim-Lamido,Local Government Area,134268,193924,305100,→
771,Kurmi,Local Government Area,...,91282,143600,→
772,Lau,Local Government Area,63524,95190,149700,→
773,Sardauna,Local Government Area,...,224357,352900,→
774,Takum,Local Government Area,...,134576,211700,→
775,Ussa,Local Government Area,...,90889,143000,→
776,Wukari,Local Government Area,157170,238283,374800,→
777,Yorro,Local Government Area,58096,89865,141400,→
778,Zing,Local Government Area,78654,127685,200900,→
779,Yobe,State,1399687,2321339,3649600,→
780,Bade,Local Government Area,106206,139804,219800,→
781,Bursari,Local Government Area,70326,109692,172500,→
782,Damaturu,Local Government Area,...,87706,137900,→
783,Fika,Local Government Area,118918,136736,215000,→
784,Fune,Local Government Area,124817,301954,474700,→
785,Geidam,Local Government Area,86991,155740,244900,→
786,Gujba,Local Government Area,...,129797,204100,→
787,Gulani,Local Government Area,...,103516,162700,→
788,Jakusko,Local Government Area,80326,232458,365500,→
789,Karasuwa,Local Government Area,...,105514,165900,→
790,Machina,Local Government Area,44274,60994,95900,→
791,Nangere,Local Government Area,...,87517,137600,→
792,Nguru,Local Government Area,...,150699,236900,→
793,Potiskum,Local Government Area,...,204866,322100,→
794,Tarmua,Local Government Area,...,77667,122100,→
795,Yunusari,Local Government Area,76160,125940,198000,→
796,Yusufari,Local Government Area,...,110739,174100,→
797,Zamfara,State,2051591,3278873,5833500,→
798,Anka,Local Government Area,...,143637,255500,→
799,Bakura,Local Government Area,126865,187141,332900,→
800,Birnin Magaji,Local Government Area,...,184083,327500,→
801,Bukkuyum,Local Government Area,121069,216348,384900,→
802,Bungudu,Local Government Area,189783,258644,460200,→
803,Gummi,Local Government Area,...,206721,367800,→
804,Gusau,Local Government Area,259336,383712,682700,→
805,Kaura Namoda,Local Government Area,...,285363,507700,→
806,Maradun,Local Government Area,131423,207563,369300,→
807,Maru,Local Government Area,...,293141,521500,→
808,Shinkafi,Local Government Area,...,135964,241900,→
809,Talata Mafara,Local Government Area,138844,215650,383700,→
810,Tsafe,Local Government Area,163512,266929,474900,→
811,Zurmi,Local Government Area,176683,293977,523000,→
812,Nigeria,Federal Republic,88992220,140431790,216783400,
