,Name,Status,PopulationCensus1991-11-26,PopulationCensus2006-03-21,PopulationProjection2022-03-21,Unnamed: 5
0,Dala,Local Government Area,...,418759,688700,→
1,Fagge,Local Government Area,...,200095,329100,→
2,Gwale,Local Government Area,...,357827,588500,→
3,Kano Municipal,Local Government Area,...,371243,610600,→
4,Kumbotso,Local Government Area,166558,294391,484200,→
5,Nasarawa,Local Government Area,...,596411,980900,→
6,Tarauni,Local Government Area,...,221844,364900,→
7,Ungogo,Local Government Area,168373,365737,601500,→
8,Kano,Metropolitan Area,1747186,2828861,4648400,
