,0,1,2,3
0,,Name,Adm.,Population Census (Cf) 2021-12-09
1,1,Freetown,W,"609,174"
2,2,Kenema,E,"255,110"
3,3,Bo,S,"223,075"
4,4,Koidu,E,"196,418"
5,5,Makeni,N,"85,116"
