,Name,Status,PopulationCensus2004-12-04,PopulationCensus2015-12-04,PopulationCensus2021-12-09,Unnamed: 5
0,Western Area Urban,District,772873,1055964,609174,
1,Central I,Ward,50271,62499,30807,→
2,Central II,Ward,20135,21413,9943,→
3,East I,Ward,55166,61244,30567,→
4,East II,Ward,79934,89530,42201,→
5,East III,Ward,316409,448572,286198,→
6,West I,Ward,46319,53981,27244,→
7,West II,Ward,91345,130149,68313,→
8,West III,Ward,113294,188576,113901,→
9,Sierra Leone,Republic,4976871,7092113,7548702,
