,0,1,2,3,4,5
0,Name,Status,Population Census 1999-08-24,Population Census 2009-08-24,Population Census 2019-08-24,
1,Garissa,County,"392,510","623,060","841,353",
2,Mandera,County,"250,372","1,025,756","867,457",
3,Wajir,County,"319,261","661,941","781,263",
4,North Eastern,Former Province,"962,143","2,310,757","2,490,073",
