,0,1,2,3,4,5,6,7,8,9
77,,El M'Ghair,المغير,OUE,"18,368","23,329","31,540","39,106",0,
78,,El Milia,الميلية,JIJ,"13,392",...,"39,196","45,945",0,
79,,El Oued ( El Wad ),الوادى,OUE,"47,173","70,073","146,521","186,525",0,
80,,El Tarf,الطارف,TAR,"4,941",...,"7,885","13,346",0,
81,,En Nedjma,,ORA,...,...,"33,130","51,665",0,
82,,Es Sénia,السانية,ORA,"17,030",...,"26,893","39,064",0,
83,,Faidh El Botma,فيض البطمة,DJE,...,...,"15,712","26,857",0,
84,,Ferjioua,فرجيوة,MIL,"7,556",...,"18,764","26,176",0,
85,,Frenda,فرندة,TIA,"18,044",...,"43,505","49,376",0,
86,,Gdyel,قديل,ORA,"10,921",...,"25,195","32,774",0,
87,,Ghardaïa,غرداية,GHA,...,"62,251","127,959","142,913",0,
88,,Ghazaouet,الغزوات,TLE,"17,176",...,"27,776","28,433",0,
89,,Grarem Gouga,قرام قوقة,MIL,"8,760",...,"21,875","28,551",0,
90,,Guelma,قالمة,GUE,"56,106","77,821","108,682","120,004",0,
91,,Guemar,قمار,OUE,"7,586",...,"33,905","48,413",0,
92,,Hadjar Eddiss,,ANN,...,...,"18,693","29,629",0,
93,,Hadjout,حجوط,TIP,"15,882",...,"31,324","33,830",0,
94,,Hamma Bouziane,حامة بوزيان,CON,"21,622",...,"64,749","83,603",0,
95,,Hammam Bouhadjar,حمام بو حجر,ATE,"16,416",...,"22,547","25,912",0,
96,,Hassi Bahbah,حاسي بحبح,DJE,"12,322","34,176","58,718","77,000",0,
97,,Hassi Bounif,حاسي بونيف,ORA,"5,568",...,"36,117","53,700",0,
98,,Hassi Messaoud,حاسى مسعود,OUA,...,...,"37,539","44,478",0,
99,,Hennaya,الحناية,TLE,"12,780",...,"24,458","26,515",0,
100,,Illizi,ايليزى,ILL,...,"5,286","5,640","13,029",0,
101,,Jijel,جيجل,JIJ,"35,065","62,793","106,306","131,513",0,
102,,Kais,قايس,KHE,...,...,"27,210","32,668",0,
103,,Khemis El Khechna,خميس الخشنة,BOM,"15,409",...,"32,010","46,965",0,
104,,Khemis Miliana,خميس مليانة,ADE,"37,252","55,335","70,874","80,512",0,
105,,Khenchela,خنشلة,KHE,"44,223","69,743","86,615","114,472",0,
106,,Koléa,القليعة,TIP,"23,838",...,"50,082","61,643",0,
107,,Ksar Chellala,قصر الشلالة,TIA,"15,152","27,058","39,344","51,451",0,
108,,Ksar El Boukhari,قصر البخارى,MED,"25,412",...,"51,801","59,634",0,
109,,Laghouat,الأغواط,LAG,"40,156","67,214","99,536","134,372",0,
110,,Lakhdaria,الأخضرية,BOI,"20,761",...,"37,770","42,886",0,
111,,La Nouvelle Ville Ali Mendjeli,,CON,...,...,...,"64,120",0,
112,,Larbaâ,الاربعاء,BLI,"24,568",...,"44,317","58,295",0,
113,,Maâtkas,المعاتقة,TIZ,"8,010",...,"25,490","26,142",0,
114,,Maghnia,مغنية,TLE,"39,294","52,275","73,558","87,373",0,
115,,Mahdia,المهدية,TIA,"12,588","20,007","28,493","31,396",0,
116,,Mascara ( Mouaskar ),معسكر,MAS,"49,370","64,691","87,979","108,629",0,
117,,M'Daourouch,مداوروش,SAH,"7,772","12,698","20,645","36,351",0,
118,,Mécheria,مشرية,NAA,"21,295",...,"52,159","65,043",0,
119,,Médéa ( Lemdiyya ),المدية,MED,"57,828","81,655","128,427","145,441",0,
120,,Meftah,مفتاح,BLI,"18,933",...,"31,971","40,878",0,
121,,Messaâd,مسعد,DJE,"19,885","47,460","75,552","97,091",0,
122,,Métlili,متليلي,GHA,"14,474",...,"33,670","39,588",0,
123,,Mila,ميلة,MIL,"17,267","35,942","54,719","63,251",0,
124,,Miliana,مليانة,ADE,"22,528",...,"39,044","43,366",0,
125,,Mohammadia,المحمدية,MAS,"33,969",...,"51,705","62,410",0,
126,,Mostaganem ( Mestghanem ),مستغانم,MOS,"85,059","114,037","139,210","162,885",0,
127,,Mouzaïa,موزاية,BLI,"13,458",...,"24,061","28,552",0,
128,,M'Sila,المسيلة,MSI,"33,642","65,805","102,151","132,975",0,
129,,Naâma,النعامة,NAA,...,...,"6,991","14,624",0,
130,,Nedroma,ندرومة,TLE,"14,399",...,"20,801","27,742",0,
131,,N'Gaous,نقاوس,BAT,"9,284","15,132","25,723","29,453",0,
132,,Oran ( Wahran ),وهران,ORA,"491,901","603,578","735,166","803,329",0,
133,,Ouargla ( Wargla ),ورقلة,OUA,"42,098","81,721","139,381","169,928",0,
134,,Oued Rhiou,وادى رهيو,REL,"15,471","27,056","42,579","55,430",0,
135,,Oued Zenati,وادي زناتي,GUE,"13,617",...,"22,502","27,441",0,
136,,Ouenza,الونزة,TEB,"30,281",...,"39,176","47,312",0,
137,,Ouled Djellal,أولاد جلال,BIS,"19,192",...,"41,674","58,481",0,
138,,Ouled Hedadj,أولاد هداج,BOM,...,"13,176","8,751","29,012",0,
139,,Ouled Mimoun,أولاد ميمون,TLE,"10,766",...,"23,398","25,377",0,
140,,Ouled Moussa,أولاد موسى,BOM,"7,482",...,"16,900","40,692",0,
141,,Ouled Selama,أولاد سلامة,BLI,"4,394",...,"10,193","27,573",0,
142,,Oum El Bouaghi,أم البواقي,OEB,"15,123",...,"47,835","67,201",0,
143,,Ras El Oued,راس الواد,BBA,"14,834","24,841","34,081","44,947",0,
144,,Reguiba,الرقيبة,OUE,"6,844",...,"19,469","25,210",0,
145,,Relizane ( Ghilizane ),غليزان,REL,"55,450","80,091","114,963","123,255",0,
146,,Remchi,الرمشى,TLE,"15,967",...,"25,922","31,837",0,
147,,Rouïba,الرويبة,DJZ,"18,934",...,"104,845","117,558",0,
148,,Saïda,سعيدة,SAI,"55,855","80,825","124,084","142,497",0,
149,,Sebdou,سبدو,TLE,"9,949",...,"28,781","32,570",0,
150,,Sedrata,سدراتة,SAH,"22,538","31,464","39,146","45,300",0,
151,,Sétif ( Stif ),سطيف,SET,"129,754","170,182","214,842","252,127",0,
152,,Sfisef,سفيزف,SBA,"14,922","20,134","26,907","27,914",0,
153,,Sidi Aïssa,سيدي عيسى,MSI,"16,898","31,455","53,121","66,856",0,
154,,Sidi Amar,سيدي عامر,ANN,"5,342",...,"41,071","45,148",0,
155,,Sidi bel Abbès,سيدي بلعباس,SBA,"112,988","152,778","183,931","210,146",0,
