,0,1,2,3
0,,Name,Adm.,Population Estimate (E) 2020-01-01
1,1,Ṭarābulus,TB,"1,293,016"
2,2,Banghāzī,BA,"750,000"
3,3,Miṣrātah,MI,"360,000"
