,0,1,2,3,4,5,6,7,8,9,10
68,,Ksar El Kébir,UCom,القصر الكبير,TTH,"73,541","107,065","107,380","126,617",1895,
69,,Laâttaouia,UCom,العطاوية,MSF,"3,200","11,219","20,237","30,315",2852,
70,,Lahraouyine,UCom,الهراويين,GCS,...,...,"47,261","64,821",1627,
71,,Larache,UCom,العرائش,TTH,"63,893","90,400","107,371","125,008",5911,
72,,Lbir Jdid,UCom,لبير الجديد,GCS,...,"10,540","15,267","24,136",429,
73,,Lqliâa,UCom,القليعة,SMS,...,"8,339","38,220","83,235",10756,
74,,Marrakech ( incl. Méchouar Kasba ) [ Marrakesh ],City,مراكش,MSF,"439,728","669,043","826,634","928,850",20916,
75,,Martil,UCom,مرتيل,TTH,"9,185","23,143","39,011","64,355",2239,
76,,M'Diq,UCom,المضيق,TTH,"4,878","21,093","36,596","56,227",3081,
77,,Mechra Bel Ksiri,UCom,مشرع بلقصيري,RSK,"15,992","23,876","27,630","31,497",799,
78,,Médiouna,UCom,مديونة,GCS,...,"11,669","14,712","22,442",318,
79,,Mehdia,UCom,مهدية,RSK,...,"5,905","16,262","28,636",1211,
80,,Meknès,UCom,مكناس,FMK,"319,783","393,791","469,169","520,428",7340,
81,,Midelt,UCom,ميدلت,DTF,"24,578","38,986","44,781","55,304",1006,
82,,Missour,UCom,ميسور,FMK,"5,055","12,777","20,978","25,584",894,
83,,Mohammédia,UCom,المحمدية,GCS,"105,120","170,063","188,619","208,612",3505,
84,,Moulay Ali Cherif ( Rissani ),UCom,مولاي علي الشريف,DTF,"7,755","18,450","20,469","22,209",0,
85,,M'Rirt,UCom,مريرت,BMK,"13,856","25,942","35,196","42,730",755,
86,,Nador ( incl. Touima ),UCom,الناضور,ORI,"62,040","112,450","133,116","161,726",2420,
87,,Nouaceur,UCom,النواصر,GCS,...,"9,989","12,696","23,802",5926,
88,,Ouarzazate,UCom,ورزازات,DTF,"17,227","39,203","56,616","71,067",2618,
89,,Oued Zem,UCom,وادي زم,BMK,"58,744","73,953","83,970","95,267",1670,
90,,Ouezzane,UCom,وزان,TTH,"40,485","52,168","57,972","59,606",1030,
91,,Ouislane,UCom,ويسلان,FMK,...,"28,694","47,824","87,910",1122,
92,,Oujda,UCom,وجدة,ORI,"260,082","357,278","400,738","494,252",9637,
93,,Oulad Ayad,UCom,أولاد عياد,BMK,"11,687","18,958","21,466","23,818",600,
94,,Oulad Berhil,UCom,أولاد برحيل,SMS,...,"9,211","15,369","24,288",2234,
95,,Oulad Teïma,UCom,أولاد تايمة,SMS,"12,519","47,126","66,183","89,387",2961,
96,,Rabat ( incl. Touarga ),City,الرباط,RSK,"526,124","623,457","625,336","577,827",11333,
97,,Ras El Mae ( Ain Chkef ),UrbC,رأس الماء,FMK,...,...,...,"20,463",0,
98,,Sabaâ Aïyoun,UCom,سبع عيون,FMK,"3,656","15,575","21,513","26,277",4565,
99,,Safi,UCom,آسفي,MSF,"197,309","262,276","284,750","308,508",7261,
100,,Salé,City,سلا,RSK,"306,355","579,850","760,186","890,403",11007,
101,,Séfrou,UCom,صفرو,FMK,"38,833","54,163","64,006","79,887",1191,
102,,Selouane,UCom,سلوان,ORI,...,...,"9,211","21,570",0,
103,,Settat,UCom,سطات,GCS,"65,203","96,217","116,570","142,250",5472,
104,,Sidi Bennour,UCom,سيدي بنور,GCS,"23,429","37,734","47,396","55,815",1064,
105,,Sidi Bouknadel,UCom,سيدي بوقنادل,RSK,...,...,"9,314","25,255",0,
106,,Sidi Ifni,UCom,سيدي إفني,GUE,"16,188","19,722","20,051","21,618",1768,
107,,Sidi Kacem,UCom,سيدي قاسم,RSK,"55,833","67,622","74,062","75,672",1670,
108,,Sidi Rahal Chatai,UCom,سيدي رحال الشاطئ,GCS,...,...,"8,140","20,628",7621,
109,,Sidi Slimane,UCom,سيدي سليمان,RSK,"50,457","69,645","78,060","92,989",1221,
110,,Sidi Slimane Echcharaa,UCom,سيدي سليمان - الشراعة,ORI,...,"16,518","22,904","30,202",624,
111,,Sidi Taïbi,UrbC,سيدي الطيبي,RSK,...,"7,871","19,979","46,751",0,
112,,Sidi Yahya El Gharb,UCom,سيدي يحيى الغرب,RSK,...,"29,965","31,705","37,979",845,
113,,Skhirat,UCom,الصخيرات,RSK,"6,203","29,599","43,025","59,775",4781,
114,,Souk El Arbaa,UCom,سوق الاربعاء,RSK,"25,057","37,213","43,392","69,265",1202,
115,,Souk Sebt Oulad Nemma,UCom,سوق السبت أولاد النمة,BMK,"22,687","40,339","51,049","60,076",1096,
116,,Tabounte,UrbC,تبونت,DTF,...,"13,149","21,168","31,072",0,
117,,Tahla,UCom,تاهلة,FMK,"10,033","20,147","25,655","27,729",1131,
118,,Tamensourt,UrbC,تمنصورت,MSF,...,...,...,"25,077",0,
119,,Tamesna,UrbC,تامسنا,RSK,...,...,...,"28,119",0,
120,,Tanger ( incl. Boukhalef ) [ Tangier ],City,طنجة,TTH,"293,446","497,147","687,667","947,952",11611,
121,,Tan-Tan,UCom,طانطان,GUE,"41,451","45,821","60,698","73,209",1990,
122,,Taounate,UCom,تاونات,FMK,"10,810","24,378","32,629","37,616",5885,
123,,Taourirt,UCom,تاوريرت,ORI,"32,667","57,956","80,024","103,398",1720,
124,,Taroudant,UCom,تارودانت,SMS,"35,848","57,136","69,489","80,149",7416,
125,,Taza,UCom,تازة,FMK,"77,216","120,971","139,686","148,456",2502,
126,,Témara,UCom,تمارة,RSK,"48,644","130,793","225,497","313,510",2702,
127,,Temsia,UrbC,تمسية,SMS,...,...,"14,902","27,955",0,
128,,Tétouan,UCom,تطوان,TTH,"199,615","277,516","320,539","380,787",6087,
129,,Tiflet,UCom,تيفلت,RSK,"29,658","49,918","69,640","86,709",939,
130,,Tinghir,UCom,تنغير,DTF,"10,527","30,471","36,391","42,044",9676,
131,,Tit Mellil,UCom,تيط مليل,GCS,...,"5,796","11,710","32,782",968,
132,,Tiznit,UCom,تزنيت,SMS,"22,922","43,001","53,682","74,699",7005,
133,,Toulal,UCom,تولال,FMK,...,"12,668","13,852","19,077",1164,
134,,Youssoufia,UCom,اليوسفية,MSF,"42,195","60,451","64,518","67,628",2056,
135,,Zagora,UCom,زاكورة,DTF,"9,839","26,174","34,851","40,067",3773,
136,,Zaïo,UCom,زايو,ORI,"14,559","25,920","29,851","35,806",1216,
137,,Zaouïat Cheikh,UCom,زاوية الشيخ,BMK,"13,171","19,906","22,728","25,388",700,
138,,Zeghanghane ( incl. Jaadar ),UCom,ازغنغان,ORI,...,...,"29,678","34,025",622,
