,0,1
0,Age Distribution (C 2014),
1,0-9 years,"6,345,666"
2,10-19 years,"5,937,227"
3,20-29 years,"5,765,169"
4,30-39 years,"4,910,334"
5,40-49 years,"3,917,688"
6,50-59 years,"3,133,266"
7,60-69 years,"1,746,191"
8,70+ years,"1,399,761"
