,0,1,2,3
0,,Name,Adm.,Population Census (C) 2017-05-11
1,1,Mbabane,HH,"60,691"
2,2,Manzini,MA,"30,248"
3,3,Nhlangano,SH,"10,456"
4,4,Matsapha,MA,"7,571"
