,0,1,2,3
0,,Name,Adm.,Population Census (Cf) 2009-04-01
1,1,Bamako,BAM,"1,810,366"
2,2,Sikasso,SIK,"226,618"
3,3,Koutiala,SIK,"141,444"
4,4,Ségou,SEG,"133,501"
5,5,Kayes,KAY,"126,319"
6,6,Mopti,MOP,"120,786"
7,7,Kalabancoro,KOU,"96,173"
8,8,Gao,GAO,"86,353"
9,9,Kati,KOU,"84,500"
