,0,1,2,3
0,,Name,Adm.,Population Census (C) 2017-09-05
1,1,Labattoir,DZA,"17,739"
2,2,Kawéni,MAM,"17,060"
3,3,Mtsapéré,MAM,"15,880"
4,4,Majicavo-Koropa,KOU,"11,698"
5,5,Pamandzi,PAM,"11,442"
