,0,1
0,Age Distribution (C 2017),
1,0-9 years,"9,106,379"
2,10-19 years,"6,306,985"
3,20-29 years,"4,293,600"
4,30-39 years,"2,878,160"
5,40-49 years,"1,901,787"
6,50-59 years,"1,136,534"
7,60-69 years,"706,341"
8,70-79 years,"360,213"
9,80+ years,"209,106"
