,0,1,2,3
0,,Name,Adm.,Population Estimate (E) 2022-01-01
1,1,Tūnis,TUN,"602,560"
2,2,Ṣafāqis,SAF,"286,203"
3,3,Sūsah,SUS,"249,469"
4,4,Al-Qayrawān,QAY,"153,500"
5,5,Banzart,BIN,"153,100"
6,6,Sukrah,ARY,"152,275"
7,7,Sīdī Ḥusayn,TUN,"128,240"
