,0,1
0,Age Distribution (C 2014),
1,0-9 years,"1,871,397"
2,10-19 years,"1,652,703"
3,20-29 years,"1,885,925"
4,30-39 years,"1,732,462"
5,40-49 years,"1,422,297"
6,50-59 years,"1,168,040"
7,60+ years,"1,249,652"
