,Name,Status,Native,PopulationCensus2004-04-28,PopulationCensus2014-04-23,PopulationEstimate2022-01-01,Unnamed: 6
99,Kairouan,Governorate,القيروان,546209,570559,600345,→
100,Abida,Municipality,عبيدة,14196,15033,15711,→
101,Aïn Djeloula,Municipality,عين جلولة,7179,6780,6759,→
102,Aïn El Beïdha,Municipality,العين البيضاء,14386,12956,12807,→
103,Bou Hajla,Municipality,بوحجلة,65239,66523,69054,→
104,Chaouachi,Municipality,الشوايحية,11681,11440,10997,→
105,Chebika,Municipality,الشبيكة,19693,20275,21189,→
106,Chraitia - Ksour,Municipality,الشرایطیة القصور,10702,10412,11842,→
107,Echrarda,Municipality,الشراردة,11865,13692,14462,→
108,El Alâa,Municipality,العلا,31773,28991,28530,→
109,Haffouz,Municipality,حفوز,29406,27110,26798,→
110,Hajeb El Ayoun,Municipality,حاجب العيون,23722,24697,25565,→
111,Jehina,Municipality,جهينة,8686,9262,9605,→
112,Kairouan,Municipality,القيروان,141609,165761,182929,→
113,Menzel Mehiri,Municipality,منزل مهيري,12454,12660,13077,→
114,Nasrallah,Municipality,نصر الله,24658,21129,20167,→
115,Oueslatia,Municipality,الوسلاتية,29016,27672,28053,→
116,Raqqada,Municipality,رقادة,22629,24244,26825,→
117,Sbikha,Municipality,السبيخة,39073,40206,42472,→
118,Sisseb - Driaat,Municipality,سيسب - الذريعات,28242,31716,33503,→
119,Kasserine,Governorate,القصرين,412278,439243,464126,→
120,Aïn Khmaissia,Municipality,عين الخمايسية,13691,13346,13238,→
121,Bouzguem,Municipality,بوزقام,13522,14579,15028,→
122,Chrayaa - Machrek Chams,Municipality,الشرائع - مشرق الشمس,24557,23899,25452,→
123,El Ayoun,Municipality,العيون,18634,19211,19828,→
124,Ennour,Municipality,النور,35984,40573,43761,→
125,Ezzouhour,Municipality,الزهور,20277,21819,23030,→
126,Fériana,Municipality,فريانة,29451,34354,37231,→
127,Foussana,Municipality,فوسانة,29365,28558,30007,→
128,Haïdra,Municipality,حيدرة,8716,9762,10918,→
129,Hassi El Ferid,Municipality,حاسي الفريد,16890,19400,21127,→
130,Jedelienne,Municipality,جدليان,13205,12297,12112,→
131,Kasserine,Municipality,القصرين,29976,31823,33985,→
132,Khmouda,Municipality,خمودة,11875,12889,13543,→
