Unnamed: 0,Name,Adm.,Population Census (C) 2011-10-09
1,Johannesburg,GT,7860781
2,Cape Town,WC,3430992
3,Durban,KZN,2786046
4,Pretoria,GT,1763336
5,Port Elizabeth,EC,876436
6,Soshanguve,GT,728063
7,Evaton,GT,605504
8,Pietermaritzburg,KZN,475238
9,Bloemfontein,FS,464591
10,Vereeniging,GT,377922
