First Language (C 2011),First Language (C 2011).1
Zulu,24634
Xhosa,1403233
Afrikaans,2820643
English,1149049
Northern Sotho,8144
Tswana,24534
Sotho,64066
Tsonga,9152
Venda,4415
Southern Ndebele,15238
Sign Language,22172
Other language,127117
