,0,1,2,3,4,5,6,7,8,9,10
85,,Njoro,RV,"3,037",...,...,"16,510","23,770","42,173",0,
86,,Nyahururu,RV,"7,602","11,277","14,829","24,751","40,803","37,650",0,
87,,Nyamira,NY,...,...,...,"9,971","12,657","24,483",0,
88,,Nyeri,CE,"10,004","35,753",...,"46,969","61,187","80,081",0,
89,,Ongata Rongai,RV,...,...,"17,288","35,874","39,951","172,569",0,
90,,Oyugis,NY,...,...,...,"9,084","8,917","19,947",0,
91,,Rhamu,NE,...,...,...,"7,437","23,894","35,644",0,
92,,Rongo,NY,...,...,...,"6,175","12,282","20,688",0,
93,,Ruiru,CE,"1,674","1,718","23,316","79,741","238,329","490,120",0,
94,,Siaya,NY,...,"4,022",...,"13,787","22,182","33,153",0,
95,,Takaba,NE,...,...,...,"2,931","21,271","21,517",0,
96,,Taveta,CO,...,...,...,"11,495","16,889","22,018",0,
97,,Thika,CE,"18,387","41,324","57,603","82,665","136,386","251,407",0,
98,,Ukunda,CO,...,...,...,"43,946","60,489","77,686",0,
99,,Voi,CO,"5,313",...,"13,202","16,863","16,136","53,353",0,
100,,Wajir,NE,...,...,...,...,"16,188","90,116",0,
101,,Wanguru,CE,...,...,...,"8,181","17,581","51,722",0,
102,,Watamu,CO,...,...,...,...,"9,407","27,857",0,
103,,Webuye,WE,...,...,...,"19,606","23,364","42,642",0,
104,,Wote,EA,...,...,...,"5,542","9,433","19,725",0,
