,0,1,2,3
0,,Name,Adm.,Population Census (C) 2019-08-24
1,1,Nairobi,NA,"4,397,073"
2,2,Mombasa,CO,"1,208,333"
3,3,Nakuru,RV,"570,674"
4,4,Ruiru,CE,"490,120"
5,5,Eldoret,RV,"475,716"
6,6,Kisumu,NY,"397,957"
7,7,Kikuyu,CE,"323,881"
8,8,Thika,CE,"251,407"
9,9,Naivasha,RV,"198,444"
10,10,Karuri,CE,"194,342"
