,0,1
0,Age Distribution (C 2019),
1,0-9 years,"12,195,580"
2,10-19 years,"11,631,608"
3,20-29 years,"8,301,870"
4,30-39 years,"6,220,588"
5,40-49 years,"4,045,373"
6,50-59 years,"2,426,634"
7,60-69 years,"1,528,157"
8,70-79 years,"797,637"
9,80-89 years,"317,500"
10,90+ years,"97,143"
