Unnamed: 0,Name,Adm.,Population Census (Cp) 2008-04-22
1,Umm Durmān,KTM,1849659
2,Al-Kharṭūm,KTM,1410858
3,Al-Kharṭūm Baḥrī,KTM,1012211
4,Nyālā,JDF,492984
5,Būr Sūdān,BHR,394561
6,Al-Ubayyiḍ,SKF,345126
