,0,1,2,3
0,,Name,Adm.,Population Census (Cf) 2008-08-16
1,1,Bujumbura,BJM,"497,166"
2,2,Gitega,GIT,"41,944"
3,3,Ngozi,NGO,"39,884"
4,4,Rumonge,BUR,"35,931"
5,5,Cibitoke,CIB,"23,885"
6,6,Kayanza,KAY,"21,767"
7,7,Bubanza,BUB,"20,031"
8,8,Gatumba,BJR,"11,700"
9,9,Karuzi,KAR,"10,317"
10,10,Kirundo,KIR,"10,024"
