Name,Status,Population Census 2014-05-16,Unnamed: 3
Ndala Kachibo,Commune,14371,→
Ngangula,Commune,23626,→
Pambangala,Commune,57030,→
Porto Amboim,Commune,109512,→
Quibala,Commune,100764,→
Quilenda,Commune,81655,→
Quirimbo,Commune,15993,→
Sanga,Commune,28364,→
São Lucas,Commune,16303,→
Sumbe Sede,Commune,209534,→
Uku-Seles,Commune,114760,→
Cunene,Province,990087,→
Cafima-Nehone,Commune,50229,→
Cahama,Commune,40766,→
Chitado,Commune,23163,→
Curoca (Onkokwa),Commune,17923,→
Evale,Commune,55386,→
Humbe,Commune,35985,→
Kalonga,Commune,8619,→
Kuvati (Kubati),Commune,3774,→
Melunga Chiede,Commune,55747,→
Môngua,Commune,75811,→
Mucope (Mucoma),Commune,78225,→
Namacunde,Commune,86299,→
Naulila,Commune,60854,→
Ombala-yo-Mungu,Commune,59331,→
Omukolongonjo (Cuvelai),Commune,24324,→
Omunda (Mupa),Commune,20681,→
Ondjiva,Commune,187914,→
Otchinjau,Commune,29296,→
Tchimporo-Yonde (Oximolo),Commune,5189,→
Xangongo,Commune,70568,→
Huambo,Province,2019555,→
Alto Hama,Commune,36661,→
Bailundo,Commune,102377,→
Caála,Commune,139720,→
Cacoma,Commune,14170,→
Calenga,Commune,44099,→
Calima,Commune,53933,→
Cambuengo,Commune,38446,→
Catabola,Commune,12846,→
Catata,Commune,33691,→
Chilata (Ngombe-yá-Lamba),Commune,27398,→
Chipeio,Commune,30051,→
Cuima (Kalima),Commune,62283,→
Ecunha,Commune,52491,→
Galanga,Commune,34138,→
Hengue (Kululo),Commune,56772,→
Huambo,Commune,625977,→
Hungulo,Commune,30557,→
Katchiungo,Commune,69527,→
Kumbila (Katukuluca),Commune,14236,→
Lépi,Commune,23074,→
Londuimbale,Commune,36249,→
Longonjo,Commune,28786,→
Lunje,Commune,59509,→
Luvemba,Commune,45284,→
Mbave,Commune,10502,→
M'Bimbi (Bimbe),Commune,30552,→
Mundundo,Commune,8543,→
Mungo,Commune,74971,→
Sambo,Commune,34931,→
Tchiaka,Commune,12385,→
Tchikala Tcholohanga,Commune,27656,→
Tchinhama,Commune,23196,→
Tchinjenje,Commune,18059,→
Tchipipa,Commune,33224,→
Tchiumbo,Commune,27953,→
Ukuma,Commune,32340,→
Ussoque,Commune,12969,→
Huíla,Province,2497422,→
Arimba,Commune,46084,→
Bambi,Commune,14760,→
Bata-Bata,Commune,9073,→
Bunjei,Commune,16801,→
Caconda,Commune,59685,→
Cacula,Commune,34429,→
Cainda,Commune,32165,→
Calépi,Commune,30700,→
Caluquembe,Commune,96099,→
Capelongo,Commune,49447,→
Capunda Cavilongo,Commune,66337,→
Chibia,Commune,74331,→
Chicomba,Commune,28939,→
Chicuaqueia (Tchipungo),Commune,33265,→
Chicungo,Commune,11172,→
Chimbemba,Commune,38839,→
Chipindo,Commune,33153,→
Cusse,Commune,46725,→
Cuvango,Commune,36317,→
Dinde,Commune,20102,→
Dongo,Commune,43756,→
Galangue,Commune,34238,→
Gambos (Chiange),Commune,40623,→
Gungui,Commune,23457,→
Hoque,Commune,64475,→
Huíla,Commune,60278,→
Humpata,Commune,35688,→
Impulo,Commune,15721,→
Jamba,Commune,35023,→
Jau,Commune,25186,→
Kaholo,Commune,11638,→
Kutenda (Chitenda),Commune,40847,→
Libongue,Commune,6338,→
Lubango,Commune,581180,→
Matala,Commune,141159,→
Micosse,Commune,47335,→
Mulondo,Commune,24822,→
Neves,Commune,12332,→
N'gola,Commune,53132,→
Ombo,Commune,28388,→
Palanca,Commune,20414,→
Quê,Commune,55683,→
Quihita,Commune,24817,→
Quilenda,Commune,24232,→
Quilengues,Commune,39511,→
Quipungo,Commune,56657,→
Tchamutete (Cassinga),Commune,26310,→
Tchiconco,Commune,30536,→
Tchituto (N'gola),Commune,38875,→
Uaba,Commune,37953,→
Vicungo,Commune,7989,→
Vite-Vivar (Kilengue),Commune,30409,→
Luanda,Province,6945386,→
Barra do Kwanza,Commune,5779,→
Benfica,Commune,274742,→
Bom Jesus,Commune,21798,→
Cabiri,Commune,17551,→
Cabo Ledo,Commune,11709,→
Cacuaco,Commune,259161,→
Caculo Cahango,Commune,3058,→
Calomboloca,Commune,15454,→
Calumbo,Commune,23899,→
Camama,Commune,631741,→
Catete,Commune,23284,→
Cazenga,Commune,345347,→
Demba Chio,Commune,1013,→
Funda,Commune,209387,→
Futungo de Belas,Commune,70157,→
Hoji Ya Henda,Commune,309615,→
Ingombota,Commune,103260,→
Kikolo,Commune,601599,→
Kilamba,Commune,56183,→
Kilamba Kiaxi,Commune,841411,→
Kixinge,Commune,2244,→
Maianga,Commune,598613,→
Mumbondo,Commune,3414,→
Mussulo,Commune,7798,→
Muxima,Commune,8166,→
Ramiros,Commune,28708,→
Rangel,Commune,136453,→
Samba,Commune,147972,→
Sambizanga,Commune,367038,→
Tala Hadi,Commune,237439,→
Viana,Commune,1382854,→
Zango,Commune,198538,→
Lunda Norte,Province,862566,→
Cachimo,Commune,668,→
