,0,1,2,3
0,,Name,Adm.,Population Census (Cf) 2009-05-20
1,1,Ndjamena,NDJ,"951,418"
2,2,Moundou,LOC,"137,251"
3,3,Abéché,OUA,"97,963"
4,4,Sarh,MOY,"97,224"
5,5,Kélo,TAN,"57,859"
6,6,Am Timan,SAL,"52,270"
7,7,Doba,LOR,"49,647"
8,8,Pala,MKO,"49,461"
9,9,Bongor,MKE,"44,578"
10,10,Goz Beïda,SIL,"41,248"
