,0,1,2,3
0,,Name,Adm.,Population Census (Cfa) 2009-03-01
1,1,Bissau,BS,"387,909"
2,2,Gabú,GA,"43,556"
3,3,Bafatá,BA,"29,556"
4,4,Canchungo,CA,"12,044"
5,5,Bissorã,OI,"9,898"
6,6,Bula,CA,"9,010"
7,7,Farim,OI,"9,005"
8,8,Mansôa,OI,"8,313"
9,9,Ingoré,CA,"8,107"
10,10,Buba,QU,"7,898"
