,0,1
0,Age Distribution (C 2012),
1,0-9 years,"3,676,634"
2,10-19 years,"3,107,680"
3,20-29 years,"2,327,355"
4,30-39 years,"1,657,488"
5,40-49 years,"872,800"
6,50-59 years,"633,199"
7,60-69 years,"393,829"
8,70+ years,"364,591"
