,0,1,2,3,4,5,6,7,8,9,10,11
78,,Kotido,Mun,NOR,"1,681","3,200","4,544","12,878","66,454","75,700",27739,
79,,Kumi,Mun,EAS,...,...,...,...,"36,493","43,500",9306,
80,,Kyaka II Refugee Camp,Camp,WES,...,...,...,...,"17,438","27,300",6044,
81,,Kyamuhunga,Town,WES,...,...,...,...,"14,853","15,800",5374,
82,,Kyangwali Refugee Camp,Camp,WES,...,...,...,...,"23,847",...,0,
83,,Kyarusozi,Town,WES,...,...,...,"10,557","13,147","16,300",6772,
84,,Kyazanga ( Bukoto ),Town,CEN,...,...,...,"8,658","15,196","16,000",1542,
85,,Kyegegwa,Town,WES,...,...,...,"6,747","18,763","29,400",9646,
86,,Kyengera,Town,CEN,...,...,...,...,"195,531","285,400",11250,
87,,Kyenjojo,Town,WES,214,...,"1,427","15,038","22,960","28,600",9613,
88,,Lira,Mun,NOR,"7,340","9,122","27,568","80,879","99,392","116,500",3495,
89,,Lugazi,Mun,CEN,...,...,...,...,"114,524","128,400",33327,
90,,Lukaya,Town,CEN,...,...,"6,368","14,147","24,163","25,600",4971,
91,,Luwero ( Luweero ),Town,CEN,715,"4,190","11,112","23,497","42,869","49,100",1966,
92,,Lwengo ( Lwensinga ),Town,CEN,...,...,...,"12,683","14,305","15,100",3188,
93,,Lyantonde,Town,CEN,...,...,...,...,"13,823","16,300",858,
94,,Magamaga,Town,EAS,...,...,...,...,"16,363","19,500",1272,
95,,Makindye Ssabagabo,Mun,CEN,...,...,...,...,"283,272","413,400",6710,
96,,Malaba,Town,EAS,...,...,...,"7,577","17,968","20,800",1515,
97,,Manafwa,Town,EAS,...,...,...,"11,735","13,645","16,000",1843,
98,,Masaka,Mun,CEN,"12,987","29,123","49,585","67,768","103,227","116,600",4620,
99,,Masindi,Mun,WES,"5,226","4,958","10,839","63,583","94,438","110,500",36017,
100,,Masulita ( Kiziba ),Town,CEN,...,...,...,"11,564","14,589","21,300",5630,
101,,Mayuge,Town,EAS,...,...,...,"8,715","17,392","20,800",1647,
102,,Mbale,Mun,EAS,"23,544","28,039","53,987","71,130","92,857","111,300",2410,
