Name,Status,Native,Population Census 1996-11-19,Population Census 2006-11-11,Population Estimate 2017-07-01,Population Estimate 2021-07-01,Unnamed: 7
Samannūd,Markaz,مركز سمنود,249672,298166,399473,418930,→
Ṭanṭā,Markaz,مركز طنطا,446638,538575,686575,705998,→
Ṭanṭā 1,Kism (fully urban),قسم أول طنطا,193666,208579,270603,306719,→
Ṭanṭā 2,Kism (fully urban),قسم ثان طنطا,179226,214275,238151,269929,→
Ziftā [Zefta],Markaz,مركز زفتى,285593,352117,430542,442721,→
Ziftā,Kism (fully urban),قسم زفتى,80864,93740,98551,111700,→
Al-Iskandariyah [Alexandria],Governorate,الإسكندرية,3339076,4123869,5179034,5441866,→
Ādārh Shurṭah Mīnā' al-Iskandariyah [Port Alexandria Police Department],Police-administrated Area,اداره شرطه ميناء الأسكندريه,824,...,...,...,→
Ad-Dukhaylah [Dekhela],Kism (fully urban),قسم الدخيلة,195087,343836,473916,494936,→
Al-'Āmriyah 1 [Amreya],Kism (fully urban),قسم أول العامرية,157069,320500,476271,497375,→
Al-'Āmriyah 2 [Amreya],Kism (fully urban),قسم ثان العامرية,71471,170500,278968,291321,→
Al-'Aṭṭārīn [Ataren],Kism (fully urban),قسم العطارين,49165,40605,36955,38599,→
Al-Jumruk [Gomrok],Kism (fully urban),قسم الجمرك,98477,85192,92549,96657,→
Al-Labān [Labban],Kism (fully urban),قسم اللبان,47744,36750,41126,42954,→
Al-Manshiyah [Mansheya],Kism (fully urban),قسم المنشية,26768,23616,23501,24546,→
Al-Muntazah 1 [Montaza],Kism (fully urban),قسم أول المنتزة,502210,707000,1046785,1093203,→
Al-Muntazah 2 [Montaza],Kism (fully urban),قسم ثان المنتزة,369686,466000,542802,566870,→
Ar-Raml 1 [El Raml],Kism (fully urban),قسم أول الرمل,...,...,277937,290275,→
Ar-Raml 2 [El Raml],Kism (fully urban),قسم ثان الرمل,...,...,631658,659687,→
As-Sāḥal ash-Shamāli [North Coast],Area,الساحل الشمالىجزء,...,2554,2963,3095,→
Bāb Sharqi,Kism (fully urban),قسم باب شرقى,172633,179729,227221,237320,→
Burj al-'Arab [Borg El Arab],Kism (urban and rural parts),قسم برج العرب,34066,51626,92175,129364,→
Karmūz [Karmouz],Kism (fully urban),قسم كرموز,147277,120062,104326,108957,→
Madīnat Burj al-'Arab al-Jadīdah [New Borg El Arab],New City,مدينه برج العرب الجديده,7051,41661,43921,45865,→
Mīnā al-Baṣal,Kism (fully urban),قسم مينا البصل,292722,254986,253187,264425,→
Muḥarram Bik [Moharam Bek],Kism (fully urban),قسم محرم بك,302608,299401,280609,293073,→
Sīdi Jābir [Sidi Gaber],Kism (fully urban),قسم سيدى جابر,189824,226304,252164,263344,→
Al-Ismā'īliyah [Ismaïlia],Governorate,الإسماعيلية,714828,953006,1309474,1408847,→
Abū Ṣuwīr,Markaz,مركز ابو صوير,...,152316,206863,218532,→
Al-Ismā'īliyah [Ismaïlia],Markaz,مركز الاسماعيلية,...,97542,160462,168050,→
Al-Ismā'īliyah 1 [Ismaïlia],Kism (fully urban),قسم أول الاسماعيلية,31673,31903,43226,48047,→
Al-Ismā'īliyah 2 [Ismaïlia],Kism (fully urban),قسم ثان الاسماعيلية,145190,165731,229209,254771,→
Al-Ismā'īliyah 3 [Ismaïlia],Kism (fully urban),قسم ثالث الاسماعيلية,78271,95550,113937,126647,→
Al-Qanṭarah,Markaz,مركز القنطرة,67775,105266,149171,158972,→
Al-Qanṭarah Sharq,Kism (urban and rural parts),قسم القنطرة شرق,21558,42197,56536,61049,→
Al-Qaṣāṣīn al-Jadīdah,New City,مركز القصاصين الجديده,...,71513,112250,118739,→
At-Tall al-Kabīr,Markaz,مركز التل الكبير,...,66442,101382,109119,→
Fa'id [Fayid],Markaz,مركز فايد,71106,109815,136438,144921,→
Al-Jīzah [Giza],Governorate,الجيزة,4784095,6294319,8666090,9250791,→
Ad-Duqqī,Kism (fully urban),قسم الدقي,...,83430,71161,74964,→
Al-Ahrām,Kism (fully urban),قسم الأهرام,...,...,661478,696696,→
Al-'Ajūzah,Kism (fully urban),قسم العجوزة,...,258511,279400,294299,→
Al-'Ayyāṭ,Markaz,مركز العياط,280872,352317,494548,537276,→
Al-Badrashayn [Badrshein],Markaz,مركز البدرشين,285858,383610,539656,584885,→
Al-Ḥawāmidiyah,Kism (urban and rural parts),قسم الحوامدية,115376,140408,191552,203371,→
Al-Jīzah [Giza],Kism (fully urban),قسم الجيزة,238567,251596,286668,301967,→
Al-Jīzah [Giza],Markaz,مركز الجيزة,180568,241506,369351,399467,→
Al-'Umrāniyah,Kism (fully urban),قسم العمرانية,...,...,367274,386844,→
Al-Wāḥāt al-Baḥariyah,Kism (urban and rural parts),قسم الواحات البحرية,25116,33344,39415,42411,→
Al-Warrāq,Kism (urban and rural parts),قسم الوراق,395258,509129,724963,774581,→
Ash-Shaykh Zāyid [Sheikh Zayed City],Kism (fully urban),قسم الشيخ زايد,0,29422,90997,95854,→
Aṣ-Ṣaff,Markaz,مركز الصف,224572,302804,420306,455845,→
Aṭfīḥ [Atfeh],Markaz,مركز أطفيح,199548,266970,370079,402310,→
Aṭ-Ṭālbīah,Kism (fully urban),قسم الطالبيه,...,...,459178,483690,→
Awsīm [Ossim],Markaz,مركز أوسيم,193751,275059,384527,415735,→
Būlāq al-Dakrūr,Kism (fully urban),قسم بولاق الدكرور,...,701655,963201,1014537,→
Imbābah [Imbaba],Kism (fully urban),قسم امبابة,523265,598882,634686,668471,→
Imbābah [Imbaba],Markaz,مركز إمبابة,...,391363,518036,563806,→
Kirdāsah,Markaz,مركز كرداسة,...,...,449596,485132,→
Madīnat Sittah Uktūbar 2 [6th of October City],Kism (fully urban),قسم ثان 6 أكتوبر,...,115302,197019,207505,→
Madīnat Sittah Uktūbar 1 & 3 [6th of October City],Kism (fully urban),قسم أول 6 أكتوبر / قسم ثالث 6 أكتوبر,...,38791,152999,161145,→
Al-Minūfiyah [Monufia],Governorate,المنوفية,2760429,3270431,4319082,4604599,→
Al-Bājūr [El Bagour],Markaz,مركز الباجور,256128,305923,401925,427017,→
Ashmūn [Ashmoun],Markaz,مركز أشمون,534799,639105,848652,901191,→
Ash-Shuhadā',Markaz,مركز الشهداء,219494,253881,346215,368909,→
Birkat as-Sab' [Birket el-Sab],Markaz,مركز بركة السبع,200972,239291,311299,330847,→
Madīnat as-Sādāt [Sadat City],Markaz,مركز و مدينة السادات,95191,143075,178849,192172,→
Minūf [Menouf],Kism (fully urban),قسم مدينة منوف,...,89262,113262,125707,→
Minūf [Menouf],Markaz,مركز منوف,...,336129,441765,465897,→
Quwaysinā [Quweisna],Markaz,مركز قويسنا,318273,382457,496137,526513,→
Shibīn al-Kawm [Shibin el-Kom],Kism (fully urban),قسم شبين الكوم,156794,177112,241409,267945,→
Shibīn al-Kawm [Shibin el-Kom],Markaz,مركز شبين الكوم,303759,352396,480161,506394,→
Sirs al-Layyānah,Kism (fully urban),قسم سرس الليانة,44267,52653,70431,78168,→
Talā,Markaz,مركز تلا,264204,299147,388977,413839,→
Al-Minyā [Minya],Governorate,المنيا,3310129,4166299,5526919,6077791,→
Abū Qurqās,Markaz,مركز ابو قرقاص,378522,467716,604773,662967,→
Al-'Idwah,Markaz,مركز العدوة,156462,206962,281729,307904,→
Al-Minyā,Markaz,مركز المنيا,403466,523516,679821,739279,→
Al-Minyā 1,Kism (fully urban),قسم أول المنيا,...,...,46999,54301,→
Al-Minyā 2,Kism (fully urban),قسم ثان المنيا,...,...,108689,125569,→
Al-Minyā 3,Kism (fully urban),قسم ثالث المنيا,...,...,89790,103735,→
Banī Mazār [Beni Mazar],Markaz,مركز بنى مزار,368458,463509,639122,701816,→
Dayr Mawās [Deir Mawas],Markaz,مركز دير مواس,244173,300379,412089,451702,→
Madīnat al-Minyā al-Jadīdah [New Minya],New City,مدينة المنيا الجديدة,68,4567,15122,17470,→
Maghāghah,Markaz,مركز مغاغة,342477,435239,596474,655588,→
Malawiṭ Gharb,Markaz,مركز سمالوط غرب,...,...,488482,531204,→
Mallawī,Kism (fully urban),قسم ملوى,119285,139929,184048,212628,→
Mallawī,Markaz,مركز ملوى,443582,562841,748372,813824,→
Maṭāy,Markaz,مركز مطاى,194236,238824,319592,352377,→
Samālūṭ,Markaz,مركز سمالوط,...,...,311817,347427,→
Al-Qāhirah [Cairo],Governorate,القاهرة,6800991,7902085,9570441,10044894,→
15 Māyū [15th of May City],Kism (fully urban),قسم 15 مايو,65560,90740,93879,98521,→
'Ābidīn,Kism (fully urban),قسم عابدين,48704,42223,40450,42477,→
Ad-Darb al-Aḥmar,Kism (fully urban),قسم الدرب الأحمر,78375,60488,58677,61588,→
'Ain Schams,Kism (fully urban),قسم عين شمس,469030,525034,616374,646982,→
Al-Amīriīah,Kism (fully urban),قسم الاميريه,164211,165407,153046,160658,→
