Name,Status,Native,Population Census 1996-11-19,Population Census 2006-11-11,Population Estimate 2017-07-01,Population Estimate 2021-07-01,Unnamed: 7
Sumusṭā al-Waqf,Markaz,مركز سمسطا,160242,200439,277235,301486,→
Būr Sa'īd [Port Said],Governorate,بور سعيد,472331,570603,751073,780515,→
Aḍ-Ḍawāḥy [Al-Dawahy],Kism (fully urban),قسم الضواحى,...,99994,141434,146980,→
Al-'Arab [Al-Arab],Kism (fully urban),قسم العرب,58732,46977,57341,59586,→
Al-Janūb [Al-Ganoub],Kism (fully urban),قسم الجنوب,...,24265,39877,41439,→
Al-Janūb 2 [Al-Ganoub],Kism (fully urban),قسم ثان الجنوب,...,22052,36423,37850,→
Al-Manākh [Al-Manakh],Kism (fully urban),قسم المناخ,...,61346,80580,83741,→
Al-Manāṣrah [Al-Manasra],Kism (fully urban),قسم المناصرة,...,2679,5317,5524,→
Ash-Sharq [Al-Sharq],Kism (fully urban),قسم الشرق,30746,29103,33002,34296,→
Az-Zuhūr [Al-Zohour],Kism (fully urban),قسم الزهور,...,208519,253501,263437,→
Būr Fuād [Port Fuad],Kism (fully urban),قسم بورفؤاد,...,66379,85208,88550,→
Būr Fuād 2 [Port Fuad],Kism (fully urban),قسم ثان بورفؤاد,...,6719,11443,11893,→
Idārah Shurṭah Mīnā' Būr Sa'īd [Police Department Port Said],Police-administrated Area,إدارة شرطة ميناء بورسعيد,379,...,...,...,→
Mubārak - Sharq at-Tafrī'tah [Mubarak East],Kism (fully urban),قسم مبارك - شرق التفريعة,...,2570,6947,7219,→
Dumyāṭ [Damietta],Governorate,دمياط,913555,1097339,1501963,1585253,→
Az-Zarqā' [incl. As-Sarw],Markaz,مركز الزرقا,99605,122713,169229,177983,→
Dumyāṭ [Damietta],Markaz,مركز دمياط,...,237373,334298,349281,→
Dumyāṭ 1 [Damietta],Kism (fully urban),قسم أول دمياط,78265,77295,109812,118741,→
Dumyāṭ 2 [Damietta],Kism (fully urban),قسم ثان دمياط,...,129369,173067,187179,→
Fāraskūr,Markaz,مركز فارسكور,173433,200432,256866,269724,→
Idārah Shurṭah Mīnā' Dumyāṭ al-Jadīd [Police Department Port of Damietta],Police-administrated Area,إداره شرطه ميناء دمياط الجديد,...,...,...,...,→
Kafr al-Baṭṭīkh,Markaz,مركز كفر البطيخ,...,91815,133387,140399,→
Kafr Sa'd,Markaz,مركز كفر سعد,...,199323,265467,277225,→
Madīnat Dumyāṭ al-Jadīdah [New Damietta],Kism (fully urban),قسم مدينه دمياط الجديده,6520,27028,50393,54508,→
Ra's al-Bar,Kism (fully urban),قسم رأس البر,7791,11991,9444,10213,→
Kafr ash-Shaykh [Kafr el-Sheikh],Governorate,كفر الشيخ,2223383,2620208,3376809,3620887,→
Al-Burulus,Markaz,مركز البرلس,138164,177976,236095,254504,→
Al-Ḥāmūl,Markaz,مركز الحامول,198296,249605,290628,311153,→
Ar-Riyād,Markaz,مركز الرياض,120472,136309,186960,199801,→
Biyalā,Kism (fully urban),قسم بيلا,56759,66663,81354,89068,→
Biyalā,Markaz,مركز بيلا,147474,167115,217398,231569,→
Disūq [Desouk],Kism (fully urban),قسم دسوق,91318,106827,136367,149291,→
Disūq [Desouk],Markaz,مركز دسوق,292124,331701,412682,439586,→
Fuwah,Markaz,مركز فوه,120806,137735,179800,194046,→
Kafr ash-Shaykh [Kafr el-Sheikh],Markaz,مركز كفر الشيخ,295539,345367,448532,478530,→
Kafr ash-Shaykh 1 [Kafr el-Sheikh],Kism (fully urban),قسم أول كفر الشيخ,98000,117000,141525,154940,→
Kafr ash-Shaykh 2 [Kafr el-Sheikh],Kism (fully urban),قسم ثان كفر الشيخ,26000,31000,36200,39629,→
Muṭūbis [Metoubes],Markaz,مركز مطوبس,185523,228802,303537,324515,→
Qallīn,Markaz,مركز قلين,173743,203552,266195,284853,→
Sīdī Sālim,Markaz,مركز سيدى سالم,278295,321163,439536,469402,→
Maṭrūḥ [Matrouh],Governorate,مطروخ,212001,323381,429370,511545,→
Aḍ-Ḍab'ah,Kism (urban and rural parts),قسم الضبعة,38579,39178,49805,58737,→
Al-'Alamayn,Kism (fully rural),قسم العلمين,...,52,10013,11843,→
Al-Ḥammām,Kism (urban and rural parts),قسم الحمام,39326,56401,54422,63493,→
An-Najīlah,Kism (urban and rural parts),قسم النجيله,11016,18338,27696,32917,→
As-Sāḥal ash-Shamāli,Kism (fully urban),قسم الساحل الشمالى-جزء,...,536,67,81,→
As-Sallūm,Kism (urban and rural parts),قسم السلوم,9052,12750,15960,19265,→
Marsā Maṭrūḥ [Mersa Matruh],Kism (urban and rural parts),قسم مرسى مطروح,80387,140977,189993,228154,→
Sīdī Barrānī,Kism (urban and rural parts),قسم سيدى برانى,20689,33456,53073,63098,→
Sīwa,Kism (urban and rural parts),قسم سيوة,12952,21693,28341,33957,→
Qinā [Qena],Governorate,قنا,2027603,2499964,3181688,3492867,→
Abū Ṭisht,Markaz,مركز أبو طشت,284926,359443,466395,514535,→
Al-Waqf,Markaz,مركز الوقف,55765,67498,81806,89187,→
Dishnā,Markaz,مركز دشنا,253374,310506,390637,429294,→
Farshūṭ,Markaz,مركز فرشوط,118568,145526,190064,207547,→
Madīnat Qinā al-Jadīdah [New Qina],New City,مدينة قنا الجديدة,0,0,1534,1640,→
Naj' Ḥammādī,Markaz,مركز نجع حمادى,373504,451891,581507,640290,→
Naqādah [Naqada],Markaz,مركز نقادة,116895,136668,171910,188984,→
"Qifṭ [Gebtu, Coptos]",Markaz,مركز قفط,99873,122279,143215,157383,→
Qinā [Qena],Kism (fully urban),قسم قنا,155382,201191,236624,252883,→
Qinā [Qena],Markaz,مركز قنا,278552,343247,451141,498297,→
Qūṣ,Markaz,مركز قوص,290764,361715,466855,512827,→
Sawhāj [Sohag],Governorate,سوهاج,3123114,3747289,4995155,5486409,→
Akhmīm,Markaz,مركز أخميم,248191,301294,439080,482666,→
Al-Balyanā [El Balyana],Markaz,مركز البلينا,314696,381900,525042,576226,→
Al-Kawthar,Kism (fully urban),قسم الكوثر,...,3036,4859,5372,→
Al-Marāghah [El Maragha],Markaz,مركز المراغة,256801,303161,394232,432678,→
Al-Munsha'āh,Markaz,مركز المنشأة,...,313400,404030,443727,→
Al-'Usayrāt [Aserat],Markaz,مركز العسيرات,...,138580,195927,214812,→
Dar as-Salām [Dar el-Salam],Markaz,مركز دار السلام,255235,308281,411524,451506,→
Jirjā [Girga],Kism (urban and rural parts),قسم جرجا,95368,108007,146756,162165,→
Jirjā [Girga],Markaz,مركز جرجا,...,263850,331824,363806,→
Juhaynah al-Gharbiyah [Juhaynah West],Markaz,مركز جهينة الغربية,167839,200209,272650,299568,→
Madīnat Akhmīm al-Jadīdah [New Akhmim],New City,مدينة أخميم الجديدة,0,0,0,0,→
Madīnat Sawhāj al-Jadīdah [New Sohag],New City,مدينة سوهاج الجديدة,0,57,174,192,→
Sāqultah [Sakulta],Markaz,مركز ساقلته,134839,160809,207439,227719,→
Sawhāj [Sohag],Markaz,مركز سوهاج,320945,397200,536871,588615,→
Sawhāj 1 [Sohag],Kism (fully urban),قسم اول سوهاج,107645,111921,132058,146011,→
Sawhāj 2 [Sohag],Kism (fully urban),قسم ثان سوهاج,62772,78211,109376,120933,→
Ṭahṭā,Kism (urban and rural parts),قسم طهطا,97526,111867,165026,182052,→
Ṭahṭā,Markaz,مركز طهطا,208189,244878,289312,317195,→
Ṭimā,Markaz,مركز طما,271454,320628,428975,471166,→
Sīnā' al-Janūbiyah [South Sinai],Governorate,جنوب سيناء,54806,150088,102507,112672,→
Abū Radīs [incl. Abū Zanīmah],Kism (urban and rural parts),قسم أبو رديس,13040,17813,16737,19982,→
Aṭ-Ṭūr [El Tor],Kism (urban and rural parts),قسم الطور,14142,26590,39113,43720,→
Dahab,Kism (urban and rural parts),قسم دهب,3700,7494,2942,3106,→
Nuwaybi'a,Kism (urban and rural parts),قسم نويبع,...,7970,7280,7619,→
Ras Sidr,Kism (urban and rural parts),قسم رأس سدر,6584,12062,16480,17571,→
Sānt Kātirīn [Saint Catherine],Kism (urban and rural parts),قسم سانت كاترين,4219,5705,4560,4792,→
Sharm ash-Shaykh 1 [Sharm el-Sheikh],Kism (fully urban),قسم أول شرم الشيخ,7410,69374,13232,13561,→
Sharm ash-Shaykh 2 [Sharm el-Sheikh],Kism (urban and rural parts),قسم ثان شرم الشيخ,...,...,1445,1532,→
Shurṭah Ṭābā [Taba],Kism (fully rural),قسم شرطة طابا,...,3080,718,789,→
Sīnā' ash-Shamāliyah [North Sinai],Governorate,شمال سيناء,252160,343681,451990,492555,→
Al-'Arīsh 1 [El Arish],Kism (urban and rural parts),قسم أول العريش,25554,41177,55843,59047,→
Al-'Arīsh 2 [El Arish],Kism (fully urban),قسم ثان العريش,41121,48060,65772,69504,→
Al-'Arīsh 3 [El Arish],Kism (fully urban),قسم ثالث العريش,18328,32255,44277,46789,→
Al-'Arīsh 4 [El Arish],Kism (urban and rural parts),قسم رابع العريش,15479,20006,27164,28756,→
Al-Ḥasanah,Kism (urban and rural parts),قسم الحسنة,12944,13835,8527,20631,→
Ash-Shaykh Zuwayd [Sheikh Zuweid],Kism (urban and rural parts),قسم الشيخ زويد,34169,45696,60176,64305,→
B'īr al-'Abd,Kism (urban and rural parts),قسم بئر العبد,26457,33788,55535,59316,→
Nakhl,Kism (urban and rural parts),قسم نخل,8983,11023,6051,6482,→
Rafaḥ,Kism (urban and rural parts),قسم رفح,44422,58615,75826,80823,→
Shurṭah al-Qasīmah,Kism (fully rural),قسم شرطة القسيمة,12047,9681,12011,12939,→
Shurṭah Rumānah,Kism (fully rural),قسم شرطة رمانة,12656,29545,40808,43963,→
Miṣr [Egypt],Republic,مِصر‎,59276672,72798031,95202532,102060688,
