Unnamed: 0,Name,Adm.,Population Estimate (E) 2021-07-01
1,Al-Qāhirah,QAH,9606916
2,Al-Iskandariyah,ISK,5263542
3,Al-Jīzah,JIZ,4367343
4,Shubrā al-Khaymah,QLY,1240289
5,Būr Sa'īd,BSD,780515
6,As-Suways,SWS,699541
7,Al-Manṣūrah,DQH,621953
8,Al-Maḥallah al-Kubrā,GHB,592573
9,Ṭanṭā,GHB,576648
10,Asyūṭ,ASY,528669
11,Al-Fayyūm,FYM,519047
