Unnamed: 0,Name,Native,Adm.,Population Census (Cf) 1996-11-19,Population Census (Cf) 2006-11-11,Population Estimate (E) 2018-07-01,Population Estimate (E) 2021-07-01,Area,Unnamed: 9
,Mīt Salsīl,ميت سلسيل,DQH,29773,31272,44160,48166,2845,
,Munshāh Abū 'Umar,منشاه ابوعمر,SQY,...,...,20786,22543,0,
,Mūṭ (Ad-Dākhlah) [Dakhla],الداخلة,WJD,16252,20439,24376,26820,3534,
,Muṭūbis [Metoubes],مطوبس,KSH,24550,29428,41106,43899,1407,
,Nabarūh,نبروه,DQH,31298,38953,54286,59202,1215,
,Naj' Ḥammādī,نجع حمادى,QNA,33252,45038,56899,59601,443,
,Naqādah [Naqada],نقادة,QNA,18905,21530,25561,26774,1038,
,Nāṣir Būsh,ناصر-بوش سابقا,BSW,70543,85319,123075,136441,3588,
,Qahā,قها,QLY,22896,26694,34686,36225,949,
,Qallīn,قلين,KSH,29422,35033,45164,48233,1699,
,Qalyūb,قليوب,QLY,77081,107303,149737,156363,2143,→
,"Qifṭ [Gebtu, Coptos]",قفط,QNA,17918,22063,22921,24010,1494,
,Qinā [Qena],قنا,QNA,155382,201191,241422,252883,3158,→
,Qūṣ,قوص,QNA,49054,60068,80559,84386,1568,
,Quṭūr,قطور,GHB,20791,24518,29380,32043,1495,
,Quwaysinā [Quweisna],قويسنا,MNF,36492,44667,61193,65690,641,
,Rafaḥ,رفح,SSH,24674,31515,42516,44215,5904,
,Rās al-Bar,راس البر,DMY,7791,11741,9677,10213,2237,
,Ras Ghārib,رأس غارب,BAH,27432,31860,42365,44852,493957,
,Rashīd [Rosetta],رشيد,BHR,58322,68947,110048,125778,9228,
,Safājā [Safaga],سفاجا,BAH,23507,33715,50665,53639,99464,
,Sāḥīl Salim [Sahel Selim],ساحل سليم,ASY,24118,31781,49167,54094,1529,
,Samālūṭ,سمالوط,MNY,75437,91475,127447,142009,1393,
,Samannūd,سمنود,GHB,47748,57177,80606,87921,1923,
,Ṣān al-Ḥajar [Tanis],صان الحجر القبلية,SQY,...,...,28555,30969,0,
,Sāqultah [Sakulta],ساقلته,SWJ,18003,21695,31864,34273,854,
,Sawhāj [Sohag],سوهاج,SWJ,170417,190132,248174,266944,903,
,Sharm ash-Shaykh [Sharm el-Sheikh],شرم الشيخ,SJN,4306,38478,...,...,4466,
,Shibīn al-Kawm [Shibin el-Kom],شبين الكوم,MNF,156794,177112,249611,267945,2852,→
,Shibīn al-Qanāṭir [Shibin el-Qanater],شبين القناطر,QLY,48372,55272,70585,73711,1044,
,Shirbīn,شربين,DQH,46926,54785,69761,76081,1039,
,Shubrā al-Khaymah [Shubra el-Kheima],شبرا الخيمة,QLY,870775,1025569,1187747,1240289,2999,
,Shubrākhīt,شبراخيت,BHR,24354,28505,36077,41233,856,
,Ṣidfā [Sodfa],صدفا,ASY,17853,20931,27475,30228,367,
,Sīdī Barrānī,سيدى برانى,MTR,5307,21060,33173,38253,59160,
,Sīdī Ghāzī,سيدى غازى,KSH,18647,21005,26344,28136,1536,
,Sīdī Sālim,سيدي سالم,KSH,41253,45906,41864,44709,1117,
,Sinnūris,سنورس,FYM,68442,82148,125905,133532,1309,
,Sirs al-Layyānah,سرس الليانة,MNF,44267,52653,72821,78168,1615,→
,Sīwa,سيوة,MTR,9756,16056,21711,25031,20055,
,Sumusṭā al-Waqf,سمسطا,BSW,30714,37965,58601,64965,1940,
,Ṭahṭā,طهطا,SWJ,73850,85528,124874,134314,555,
,Talā,تلا,MNF,44010,49468,67576,72536,2299,
,Ṭalkhā,طلخا,DQH,66310,78281,103471,112851,1172,
,Tama al-Āmdīd,تمى الامديد,DQH,...,13834,18695,20389,720,
,Ṭāmiyah [Tamiya],طامية,FYM,38383,49385,68897,73070,1484,
,Ṭanṭā,طنطا,GHB,372892,422854,528672,576648,1953,
,Ṭimā,طما,SWJ,58331,67443,94021,101130,1206,
,Ṭūkh,طوخ,QLY,34699,41624,50360,52593,650,
,Wadi an-Natrun [Natron Valley],وادى النطرون,BHR,14983,21540,36033,41186,4229,
,Yūsuf aṣ-Ṣiddīq,يوسف الصديق,FYM,...,15660,22596,23965,9616,
,Ziftā,زفتى,GHB,80864,93740,102411,111700,1624,
