,0,1,2,3
0,,Name,Adm.,Population Projection (P) 2019-07-01
1,1,Brazzaville,BRA,"1,982,000"
2,2,Pointe-Noire,PNO,"1,032,000"
3,3,Dolisie,NIA,"121,000"
4,4,Nkayi,BOU,"103,000"
