Unnamed: 0,Name,Adm.,Population Census (C) 1978-08-26,Population Census (C) 1988-08-28,Population Census (C) 2002-08-01,Population Census (C) 2012-08-26,Area
,Tanga,TAN,103399,137364,172557,221127,0
,Tarakea,KIL,...,...,9569,...,0
,Tarime,MAR,9854,15590,36122,...,0
,Tukuyu,MBE,7081,19092,15856,41676,0
,Tunduma,SON,...,...,28237,97562,0
,Tunduru,RUV,18160,21737,24512,30761,0
,Turiani,MOR,...,...,7841,...,0
,Ubaruku,MBE,...,...,12685,...,0
,Urambo,TAB,10692,...,18913,29367,0
,Usa River,ARU,...,...,13542,...,0
,Ushirombo,GEI,...,...,16016,...,0
,Utengule,MBE,...,...,30816,...,0
,Vikindu,PWA,...,...,7640,...,0
,Vwawa,SON,1585,...,19298,56256,0
,Wete,ZAN,12874,19196,24983,31872,0
,Zanzibar,ZAN,110531,157634,320701,501459,0
