,Unnamed: 0,Name,Adm.,PopulationEstimate (E)2020-01-01
0,1,Saint-Denis,DEN,187351
1,2,Saint-Pierre,PIE,171748
2,3,Saint-Paul,PAU,170290
3,4,Saint-André,BEN,56857
4,5,Saint-Louis,PIE,53744
5,6,Saint-Joseph,PIE,50866
6,7,Saint-Benoît,BEN,36994
7,8,Saint-Leu,PAU,34740
8,9,L'Étang-Salé,PIE,25115
9,10,Sainte-Suzanne,DEN,24086
