,Unnamed: 0,Name,Adm.,PopulationEstimate (E)2020-01-01
0,1,Saint-Denis,DEN,153001
1,2,Saint-Paul,PAU,104301
2,3,Saint-Pierre,PIE,83930
3,4,Le Tampon,PIE,80778
