,0,1,2,3,4,5,6,7,8,9,10,11,12
0,,Name,Abbr.,Status,Capital,Area A-L (hect),Population Census (Cf) 1981-08-15,Population Census (Cf) 1991-08-04,Population Census (C) 2001-08-25,Population Census (Cf) 2012-05-13,Population Projection (P) 2020-05-13,,
1,,São Tomé and Príncipe,STP,,São Tomé,"100,100","96,611","117,504","137,599","179,200","210,200",,
2,,Água Grande,AGU,Dist,São Tomé,"1,650","32,375","42,331","51,886","69,772","80,900",1650,
3,,Cantagalo,CAN,Dist,Santana,"11,900","10,435","11,433","13,258","17,169","20,200",11900,
4,,Caué,CAU,Dist,São João dos Angolares,"26,700","4,607","5,322","5,501","6,062","7,520",26700,
5,,Lembá,LEM,Dist,Neves,"22,950","7,905","9,016","10,696","14,676","16,900",22950,
6,,Lobata,LOB,Dist,Guadalupe,"10,500","11,776","14,173","15,187","19,414","22,900",10500,
7,,Mé-Zóchi,MEZ,Dist,Trindade,"12,200","24,258","29,758","35,105","44,763","53,000",12200,
8,,Príncipe ( Pagué ),PRI,AReg,Santo António,"14,200","5,255","5,471","5,966","7,344","8,780",14200,
